data_scenario_id,model_implementation_id,placement,scenario,metric_order,metric_id,analysis_unit,available,availability_reason,status
alternative_preprocessing,hypothesis_models,glasses,all_available,1,interdaily_stability,participant,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,2,intradaily_variability,participant,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,3,daily_geometric_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,4,m10_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,5,l10_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,6,duration_above_1000,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,7,duration_above_250_wake,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,8,duration_below_10_pre_sleep,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,9,duration_below_1_sleep_environment,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,10,longest_bout_above_250,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,11,m10_midpoint,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,12,l10_midpoint,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,13,mean_timing_above_250,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,14,first_timing_above_250,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,15,last_timing_above_250,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,16,dose_time_sensitive_corrected_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,all_available,17,mder_mean_of_viable_ratios,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,1,interdaily_stability,participant,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,2,intradaily_variability,participant,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,3,daily_geometric_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,4,m10_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,5,l10_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,6,duration_above_1000,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,7,duration_above_250_wake,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,8,duration_below_10_pre_sleep,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,9,duration_below_1_sleep_environment,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,10,longest_bout_above_250,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,11,m10_midpoint,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,12,l10_midpoint,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,13,mean_timing_above_250,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,14,first_timing_above_250,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,15,last_timing_above_250,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,16,dose_time_sensitive_corrected_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,chest,all_available,17,mder_mean_of_viable_ratios,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,paired_common_sample,1,interdaily_stability,participant,FALSE,paired_common_sample_participant_metric_requires_minute_level_is_iv_recomputation,UNAVAILABLE
alternative_preprocessing,hypothesis_models,glasses,paired_common_sample,2,intradaily_variability,participant,FALSE,paired_common_sample_participant_metric_requires_minute_level_is_iv_recomputation,UNAVAILABLE
alternative_preprocessing,hypothesis_models,glasses,paired_common_sample,3,daily_geometric_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,paired_common_sample,4,m10_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,paired_common_sample,5,l10_mean_medi,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,paired_common_sample,6,duration_above_1000,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,paired_common_sample,7,duration_above_250_wake,participant_day,TRUE,,AVAILABLE
alternative_preprocessing,hypothesis_models,glasses,paired_common_sample,8,duration_below_10_pre_sleep,participant_day,TRUE,,AVAILABLE
