metric_order,metric_id,analysis_unit,source_field,source_unit,manuscript_name,abbreviation,manuscript_category,display_unit,analytical_role,variant_label,value_definition
1,interdaily_stability,participant,interdaily_stability,dimensionless,Interdaily stability,IS,dynamics-based,dimensionless,primary_outcome,Repeated-day regularity,Alternative-preprocessing interdaily stability
2,intradaily_variability,participant,intradaily_variability,dimensionless,Intradaily variability,IV,dynamics-based,dimensionless,primary_outcome,Within-day fragmentation,Alternative-preprocessing intradaily variability
3,daily_geometric_mean_medi,participant_day,daily_geometric_mean_medi_lx,lx,Mean melEDI,Mean,level-based,lx,primary_outcome,Daily geometric mean,Alternative-preprocessing daily zero-aware geometric mean melEDI
4,m10_mean_medi,participant_day,m10_mean_medi_lx,lx,Brightest 10 h mean,M10mean,level-based,lx,primary_outcome,Supported 10-hour window,Alternative-preprocessing brightest 10-hour mean melEDI
5,l10_mean_medi,participant_day,l10_mean_medi_lx,lx,Darkest 10 h mean,L10mean,level-based,lx,primary_outcome,Supported 10-hour window,Alternative-preprocessing darkest 10-hour mean melEDI
6,duration_above_1000,participant_day,duration_above_1000_h,h,"Time above 1,000 lx melEDI",TAT1000,duration-based,h,primary_outcome,Full 24-hour cycle,"Alternative-preprocessing time above 1,000 lx melEDI"
7,duration_above_250_wake,participant_day,duration_above_250_wake_h,h,Time above 250 lx melEDI during wake,TAT250,duration-based,h,primary_outcome,Waking near-eye measurement,Alternative-preprocessing waking time above 250 lx melEDI
8,duration_below_10_pre_sleep,participant_day,duration_below_10_pre_sleep_h,h,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,primary_outcome,Three hours before attempted sleep,Alternative-preprocessing pre-sleep time below 10 lx melEDI
9,duration_below_1_sleep_environment,participant_day,duration_below_1_sleep_environment_h,h,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,primary_outcome,Bedside sleep-environment measurement,Alternative-preprocessing sleep time below 1 lx melEDI
10,longest_bout_above_250,participant_day,longest_bout_above_250_h,h,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,primary_outcome,Observed lower bound,Alternative-preprocessing longest observed period above 250 lx melEDI
11,m10_midpoint,participant_day,m10_midpoint_clock_minute,clock_minute,Midpoint of the brightest 10 hours,M10,timing-based,clock time,primary_outcome,Supported 10-hour window,Alternative-preprocessing midpoint of the brightest 10 hours
12,l10_midpoint,participant_day,l10_midpoint_clock_minute,clock_minute,Midpoint of the darkest 10 hours,L10,timing-based,clock time,primary_outcome,Supported midnight-wrapping 10-hour window,Alternative-preprocessing midpoint of the darkest 10 hours
13,mean_timing_above_250,participant_day,mean_timing_above_250_clock_minute,clock_minute,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,primary_outcome,Duration-weighted mean timing,Alternative-preprocessing mean timing above 250 lx melEDI
14,first_timing_above_250,participant_day,first_timing_above_250_clock_minute,clock_minute,First light timing above 250 lx melEDI,FLIT250,timing-based,clock time,primary_outcome,Boundary-censoring rule,Alternative-preprocessing first timing above 250 lx melEDI
15,last_timing_above_250,participant_day,last_timing_above_250_clock_minute,clock_minute,Last light timing above 250 lx melEDI,LLIT250,timing-based,clock time,primary_outcome,Boundary-censoring rule,Alternative-preprocessing last timing above 250 lx melEDI
16,dose_time_sensitive_corrected_medi,participant_day,dose_corrected_medi_lx_h,lx_h,melEDI dose,Dose,exposure-history-based,lx·h,primary_outcome,Uncorrected alternative-preprocessing dose,Alternative-preprocessing melEDI dose without the new time-sensitive coverage correction
17,mder_mean_of_viable_ratios,participant_day,mder,dimensionless,Melanopic daylight efficacy ratio,MDER,spectrum-based,dimensionless,primary_outcome,Gap-timing-unaware mean of viable one-minute melEDI/illuminance ratios,Gap-timing-unaware arithmetic mean of viable positive finite one-minute melEDI/illuminance ratios
