run_id,placement,lag_hours,correlation,pairs
temporal_activity_long__near_eye,Near-eye,1,0.17560859294490916,12009
temporal_activity_long__near_eye,Near-eye,2,0.05392302837578546,8890
temporal_activity_long__near_eye,Near-eye,3,0.044308686804289024,6625
temporal_activity_long__near_eye,Near-eye,4,-5.859208206990977e-4,4843
temporal_activity_long__near_eye,Near-eye,5,-0.021250647742879283,3418
temporal_activity_long__near_eye,Near-eye,6,0.02038364430939708,2239
temporal_activity_long__chest,Chest,1,0.1671313502621524,14615
temporal_activity_long__chest,Chest,2,0.07863589050504383,10730
temporal_activity_long__chest,Chest,3,0.05873879839300494,7957
temporal_activity_long__chest,Chest,4,0.011163821260588298,5782
temporal_activity_long__chest,Chest,5,-0.006738947062553864,4044
temporal_activity_long__chest,Chest,6,-0.02212473561593585,2634
