"page","href","accessible_label","kind","target_path","fragment","label_required","forbidden","resolved"
"companion","../../../notebooks/hypotheses/H01.html","Hypothesis analyses","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html","",TRUE,FALSE,TRUE
"companion","../../../audit/hypotheses/H02/H02_analysis_preparation.html","H02 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","",TRUE,FALSE,TRUE
"companion","../../../","Nature Health analysis and manuscript","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html","",TRUE,FALSE,TRUE
"companion","../../../index.html","Manuscript","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html","",TRUE,FALSE,TRUE
"companion","../../../supplementary_information.html","Supplementary information","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/preparation/01_import_state_alignment.html","01 Import and state alignment","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/preparation/02_coverage_sample_flow.html","02 Coverage and sample flow","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/preparation/03_reference_profiles.html","03 Reference profiles","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/03_reference_profiles.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/preparation/04_metric_derivation.html","04 Metric derivation","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/preparation/05_model_input_acquisition.html","05 Model-input acquisition","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/preparation/06_model_ready_datasets.html","06 Model-ready datasets","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/preparation/07_example_days.html","07 Example days","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/placement_decision.html","Placement decision","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/placement_decision.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/descriptives.html","Descriptive results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/descriptives.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/preregistration_deviations.html","Preregistration deviations","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html","",TRUE,FALSE,TRUE
"companion","../../../notebooks/hypotheses/H01.html","H01 results","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html","",TRUE,FALSE,TRUE
"companion","../../../audit/hypotheses/H01/H01_analysis_preparation.html","H01 preparation and provenance","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","",TRUE,FALSE,TRUE
