check_id,view,endpoint,method,status,evidence
VQA-001,"desktop 1440 x 1000 CSS px","complete page","secure-loopback browser inspection","PASS","Rendered at a 1425 x 1000 content viewport after accounting for the browser scrollbar; document scroll width was 1425 px, with no page-level horizontal overflow, clipping, overlap, or distorted text."
VQA-002,"narrow 708 x 1000 CSS px","complete page","secure-loopback browser inspection and full-page capture","PASS","Rendered at a 693 x 1000 content viewport; document scroll width was 693 px. Navigation collapsed cleanly, headings and callouts wrapped normally, and no prose, caption, or navigation element crossed the viewport."
VQA-003,"200-percent equivalent 720 x 500 CSS px","complete page","secure-loopback browser inspection","PASS","Rendered at a 705 x 500 content viewport, equivalent to a 1440 x 1000 display viewed at 200 percent. No page-level horizontal overflow, clipping, or overlap was detected."
VQA-004,"desktop and narrow","16 native gt tables","geometry audit plus visual inspection","PASS","All tables used 13 px text (9.75 pt). Thirteen tables fit the narrow content column; the three wider tables were contained in bounded horizontal scrollers rather than clipped. Both the left and right ends of representative wide tables were visually inspected."
VQA-005,"narrow and 200-percent equivalent","Table 7 model settings","secure-loopback browser inspection","PASS","Headers, wrapped cells, units, and technical terms remained legible without overlap or orphaned columns."
VQA-006,"narrow","Tables 2, 5, 6, 14, and 16","secure-loopback browser inspection","PASS","Representative provenance, sample, script-map, and environment tables retained readable typography and row alignment; horizontally scrolled content remained accessible."
VQA-007,"desktop and narrow","Figure 1 response distribution","secure-loopback browser inspection","PASS","The 1920 x 1248 export displayed at 960 x 624 px on desktop and 642 x 417 px at narrow width. Panel labels, axes, zero annotations, caption, and colors were legible and unclipped."
VQA-008,"desktop and narrow","Figure 2 clock support","secure-loopback browser inspection","PASS","The 2112 x 1440 export displayed at 1056 x 720 px on desktop and 642 x 438 px at narrow width. Site labels, time axis, placement labels, and color scale remained distinguishable."
VQA-009,"desktop and narrow","Figure 3 participant-day support","secure-loopback browser inspection","PASS","The 1920 x 1056 export displayed at 960 x 528 px on desktop and 642 x 353 px at narrow width. Both panels, axis labels, and bars were legible and unclipped."
VQA-010,"desktop, narrow, and 200-percent equivalent","Figure 4 residual autocorrelation","secure-loopback browser inspection","PASS","The 1920 x 1056 export displayed at 960 x 528 px on desktop and 642 x 353 px at narrow width. Facet labels, lag ticks, lines, points, legend, and caption remained legible without overlap."
VQA-011,"exported final size","all four PNG figure assets","local image inspection","PASS","Each PNG was inspected at its native exported dimensions. No clipping, cropping, distorted typography, broken units, overlapping annotations, or indistinguishable plotted elements was found."
VQA-012,"narrow 708 x 1000 CSS px","analysis-map Mermaid diagram","secure-loopback browser inspection","PASS","The diagram scaled to 642 x 626 px with its complete 1113.904 x 1086 viewBox visible. Effective node and edge-label size was 6.92 pt, approximately the 7 pt reader-facing target, and the map remained readable without clipping or overlap."
VQA-013,"all inspected views","captions, callouts, reciprocal links, sidebar and previous/next navigation","secure-loopback browser inspection","PASS","Captions stayed within the content column, the opening callout appeared informational, reciprocal H02 links were visible, and navigation remained available in desktop and collapsed narrow layouts."
