"check","status","detail"
"semantic_state","PASS","ALREADY_REPAIRED; tables=16; ids=80; headers=517"
"semantic_summary","PASS","rows=1; ledger=597"
"semantic_exact_reverse","PASS","pre=91033fb081d4f359beea691c310b4a41cb2f85109204d536896f74f59c7000c5; post=966f5556a637aece91ef2e2905dcfea8d0d0587ff8d4d61c47e89e9106bbc253"
"main_regions","PASS","companion and result main regions present"
"document_unique_ids","PASS","document ids=2411"
"table_endpoint_order","PASS","tbl-h02-prep-boundary; tbl-h02-prep-inputs; tbl-h02-prep-support; tbl-h02-prep-scenarios; tbl-h02-prep-near-site-sample; tbl-h02-prep-chest-site-sample; tbl-h02-prep-parameters; tbl-h02-prep-primary-fits; tbl-h02-prep-structure-checks; tbl-h02-prep-ar-boundaries; tbl-h02-prep-diagnostic-map; tbl-h02-prep-sensitivity-map; tbl-h02-prep-module-map; tbl-h02-prep-script-map; tbl-h02-prep-manifests; tbl-h02-prep-environment"
"figure_endpoint_order","PASS","fig-h02-prep-response-distribution; fig-h02-prep-clock-support; fig-h02-prep-day-support; fig-h02-prep-ar-change"
"captions_complete","PASS","endpoints=20"
"figure_images_and_alt","PASS","1,1,1,1"
"mermaid_td","PASS","mermaid=1"
"no_embedded_errors","PASS","nodes=0"
"link_labels","PASS","links=2355; generated-code-line-links=2172"
"internal_links","PASS","internal=2343; unresolved=0; forbidden=0"
"reciprocal_h02_links","PASS","companion-to-result=5; result-to-companion=3"
"active_navigation","PASS","active links=1"
"supplementary_target","PASS","links=2"
"deviation_links","PASS","result=22/18 unique; companion=1"
"country_coded_sites","PASS","Borås (SE); Delft (NL); Dortmund (DE); Tübingen (DE); Munich (DE); Madrid (ES); Izmir (TR); San José (CR); Kumasi (GH)"
"preparation_manifest_live_exact","PASS","rows=59"
"historical_worker_mismatch","PASS","_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html; _build/nathealth/notebooks/hypotheses/H02.html; artifacts/12_manifests/H02/H02_preparation_report_manifest.csv; audit/handoffs/H02_shared_change_request.md; audit/hypotheses/H02/H02_analysis_preparation.qmd; notebooks/hypotheses/H02.qmd; scripts/hypotheses/H02/build_h02_preparation_report_manifest.R; scripts/hypotheses/H02/h02_contract.R; tests/hypotheses/H02/test_h02_paired_placement_display.R; tests/hypotheses/H02/test_h02_preparation_report.R; tests/hypotheses/H02/test_h02_reader_report.R"
"build_delta","PASS","changed=audit/hypotheses/H02/H02_analysis_preparation.html; audit/hypotheses/H02/H02_analysis_preparation.qmd; search.json; sitemap.xml; added=artifacts/11_source_data/H02/preparation_response_distribution_exact_zero_summary.csv; artifacts/11_source_data/H02/preparation_response_distribution_positive_observations.csv; missing=0"
