path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,disposition,status
artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.png,ef4983b605e91bfc6dec92d719249fc38f0740fbc0476fc0a906247eeaefb35c,ef4983b605e91bfc6dec92d719249fc38f0740fbc0476fc0a906247eeaefb35c,130678,130678,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.png,0be4a5ea49e57c24ae8caf65d04c3dbd4038e8a0954e40eddbf53a5129c2f67c,0be4a5ea49e57c24ae8caf65d04c3dbd4038e8a0954e40eddbf53a5129c2f67c,131325,131325,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_stage3_fdr_overview.png,3dc2cf8de4597c1ce85d1acd65404778c14e75fa9f4920e7bfe1b83571bc048a,3dc2cf8de4597c1ce85d1acd65404778c14e75fa9f4920e7bfe1b83571bc048a,621043,621043,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_stage3_fdr_overview.svg,1ecfc0156b7ee6ddedc96f1943c597a583516732383c6ac9c799a4dba2e362bd,1ecfc0156b7ee6ddedc96f1943c597a583516732383c6ac9c799a4dba2e362bd,24956,24956,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.png,777aca3d7482b5b1d679f615c312d70fd702f63df7d7d64e2076f77a93dfe8e9,777aca3d7482b5b1d679f615c312d70fd702f63df7d7d64e2076f77a93dfe8e9,583906,583906,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.svg,bcc1786697b490165a503234625fa3a4fa2cec80e357c79c02e9bc179d6f5bd0,bcc1786697b490165a503234625fa3a4fa2cec80e357c79c02e9bc179d6f5bd0,73463,73463,UNCHANGED,PASS
artifacts/10_figures/H06_daily/H06_daily_temporal_h02_primary_context_functions.png,e28c639f23b3f33687ca046a77069153bb66073d29cd03d96fd03408c4317d98,e28c639f23b3f33687ca046a77069153bb66073d29cd03d96fd03408c4317d98,256215,256215,UNCHANGED,PASS
artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.csv,2b695be686e6fdfdef9bdad4082be1fdcd1100e0d3d763fac35b4a75b8df11a7,2b695be686e6fdfdef9bdad4082be1fdcd1100e0d3d763fac35b4a75b8df11a7,4958,4958,UNCHANGED,PASS
artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.csv,c7a1c0018e82db71e2fb0fe74d6e3e5a6645948017b10dd938fce18f6c5c2a9d,c7a1c0018e82db71e2fb0fe74d6e3e5a6645948017b10dd938fce18f6c5c2a9d,5398,5398,UNCHANGED,PASS
artifacts/11_source_data/H06_daily/H06_daily_stage3_fdr_overview_figure.csv,4a9a7c3f0877872e2efe7bfddd73afac1c50299f60474bd8d328ce945f17ddf1,4a9a7c3f0877872e2efe7bfddd73afac1c50299f60474bd8d328ce945f17ddf1,24744,24744,UNCHANGED,PASS
