relative_path,role,expected_sha256,observed_sha256,expected_bytes,observed_bytes,disposition,status
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,protected member,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,851041,851041,UNCHANGED,PASS
_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,protected member,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,4613650,UNCHANGED,PASS
_build/nathealth/notebooks/hypotheses/H06.html,protected member,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,4874263,4874263,UNCHANGED,PASS
_build/nathealth/notebooks/hypotheses/H06_daily.html,protected member,15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76,15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76,11691631,11691631,UNCHANGED,PASS
_quarto-nathealth.yml,protected member,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,7480,UNCHANGED,PASS
_quarto.yml,protected member,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517,2517,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_30_minute_temporal_formula_registry.csv,protected member,678503f5d2eea86be79e4715a63ca0437e5000bd04f5e0fb57f8db4e5afecfa4,678503f5d2eea86be79e4715a63ca0437e5000bd04f5e0fb57f8db4e5afecfa4,1678,1678,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_frame_bundle.rds,protected member,ee0aae871ab501f4afc2c14a3a0e148e8fde67ef981fe39daac10b6b44170274,ee0aae871ab501f4afc2c14a3a0e148e8fde67ef981fe39daac10b6b44170274,1480158,1480158,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_frame_inventory.csv,protected member,336e216277298c12a674cd2a26d51a40f4ea40401dba7e1eab48d814c4179da4,336e216277298c12a674cd2a26d51a40f4ea40401dba7e1eab48d814c4179da4,48389,48389,UNCHANGED,PASS
artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_influence_task_inventory.csv,protected member,c08e7ee408f01af3d16f1cc60ae526b0cd1661e4655f86d29a7bf6ca6797fee9,c08e7ee408f01af3d16f1cc60ae526b0cd1661e4655f86d29a7bf6ca6797fee9,3547002,3547002,UNCHANGED,PASS
