path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,disposition,status
audit/report_harmonization/owner_orders/48a_h06_daily_consolidated_display_repair_and_result_rerender.md,474f8a92faa066cbde785671a328bd554bb6c8e8ec139da15a0a4ab44700e57a,474f8a92faa066cbde785671a328bd554bb6c8e8ec139da15a0a4ab44700e57a,13278,13278,UNCHANGED,PASS
audit/report_harmonization/report018_h06_daily_order48_consolidated_repair_concurrence.md,90e36dd860f6cc3226023c91ee65ba021b0a2e156c333e942bf6389ff10b2724,90e36dd860f6cc3226023c91ee65ba021b0a2e156c333e942bf6389ff10b2724,8363,8363,UNCHANGED,PASS
audit/report_harmonization/report018_h06_daily_order48_consolidated_repair_concurrence_manifest.csv,806169c24867faebb04071b4a4b3f48e9d07e04c04a2c03c3736e970b4d7a5d2,806169c24867faebb04071b4a4b3f48e9d07e04c04a2c03c3736e970b4d7a5d2,4414,4414,UNCHANGED,PASS
audit/report_harmonization/report018_h06_daily_order48_stopped_independent_acceptance.md,a0864132f3d9a860f178494f080ea02b7c56e873a6c5d0704398a7ac7d7da244,a0864132f3d9a860f178494f080ea02b7c56e873a6c5d0704398a7ac7d7da244,6096,6096,UNCHANGED,PASS
audit/report_harmonization/report018_h06_daily_order48_stopped_independent_acceptance_manifest.csv,c963b3cea63e11258e5bf2bd8c76b926545896c7a8a169406d94c390519f34fc,c963b3cea63e11258e5bf2bd8c76b926545896c7a8a169406d94c390519f34fc,4278,4278,UNCHANGED,PASS
scripts/report_harmonization/check_h06_daily_order48_stopped_acceptance.R,5705f04a16abb7389b32d6d2c0aa53baa2c214c6603864711d20cf31e998e563,5705f04a16abb7389b32d6d2c0aa53baa2c214c6603864711d20cf31e998e563,6108,6108,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48_result_render/order48_fail_closed_completion.md,43b2f7aa09e449e770cf7e4d6bf4f7ec7e5eaaf5861011d0b0c2acba2e7dcc22,43b2f7aa09e449e770cf7e4d6bf4f7ec7e5eaaf5861011d0b0c2acba2e7dcc22,7609,7609,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48_result_render/order48_fail_closed_manifest.csv,795e163e1b3cea96e635097c0095f92765794b71f9eabb715be23c52874cbc8b,795e163e1b3cea96e635097c0095f92765794b71f9eabb715be23c52874cbc8b,19336,19336,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48_result_render/verify_order48_fail_closed_package.R,eed1ffe2cc6c6a3a6fbeedb7ac6e605c77c931b7b59f72ef03999919694568fb,eed1ffe2cc6c6a3a6fbeedb7ac6e605c77c931b7b59f72ef03999919694568fb,3519,3519,UNCHANGED,PASS
audit/hypotheses/H06_daily/report018_order48_result_render/visual_fail_closed_defect_summary.csv,31fe4bbeb985bfc109ec37b1902051c063a1e1fc32a28531fb0602bceb7e16eb,31fe4bbeb985bfc109ec37b1902051c063a1e1fc32a28531fb0602bceb7e16eb,1031,1031,UNCHANGED,PASS
