order,link_text,href,local,resolved_path,target_exists,forbidden_internal_target,status
1,Hypothesis analyses,../../notebooks/hypotheses/H01.html,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../notebooks/hypotheses/H01.html,TRUE,FALSE,PASS
2,H06 complementary daily results,../../notebooks/hypotheses/H06_daily.html,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
3,hourly H06 analysis,../../notebooks/hypotheses/H06.html,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../notebooks/hypotheses/H06.html,TRUE,FALSE,PASS
4,analysis-preparation and provenance companion,../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,TRUE,FALSE,PASS
5,,#cb1-1,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
6,,#cb1-2,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
7,Source data for the multiplicative figure,../../artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.csv,TRUE,FALSE,PASS
8,Source data for the absolute-effect figure,../../artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.csv,TRUE,FALSE,PASS
9,Source data for the FDR overview,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_fdr_overview_figure.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_fdr_overview_figure.csv,TRUE,FALSE,PASS
10,Source data for the site-deviation figure,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv,TRUE,FALSE,PASS
11,Complete site-specific interaction estimates,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv,TRUE,FALSE,PASS
12,Free versus Work day,,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
13,Activity status,,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
14,Previous-night sleep duration,,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
15,gap result source CSV,../../artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv,TRUE,FALSE,PASS
16,,#cb2-1,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
17,,#cb2-2,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
18,Complete common-sample stability results,../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv,TRUE,FALSE,PASS
19,conditional site estimates,../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv,TRUE,FALSE,PASS
20,mgcv::bam(),https://rdrr.io/pkg/mgcv/man/bam.html,FALSE,,TRUE,FALSE,PASS
21,,#cb3-1,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
22,,#cb3-2,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
23,,#cb3-3,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
24,,#cb3-4,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
25,,#cb3-5,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
26,,#cb3-6,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
27,,#cb3-7,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
28,,#cb3-8,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,FALSE,PASS
29,Source data for the temporal GAMM figure,../../artifacts/11_source_data/H06_daily/H06_daily_temporal_h02_primary_context_functions_figure_source.csv,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../artifacts/11_source_data/H06_daily/H06_daily_temporal_h02_primary_context_functions_figure_source.csv,TRUE,FALSE,PASS
30,preregistration-deviations page,../../notebooks/preregistration_deviations.html#dev-015,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../notebooks/preregistration_deviations.html,TRUE,FALSE,PASS
31,main H06 report,../../notebooks/hypotheses/H06.html,TRUE,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../notebooks/hypotheses/H06.html,TRUE,FALSE,PASS
