run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,analysis_unit,response_family,response_transform,effect_scale,display_unit,predictor,estimand,term,estimate_model,standard_error,conf_low_model,conf_high_model,interval_distribution,estimate_status,estimate_practical,conf_low_practical,conf_high_practical,practical_effect_type,practical_unit,estimate_model_per_year,conf_low_model_per_year,conf_high_model_per_year,estimate_minutes,conf_low_minutes,conf_high_minutes,estimate_practical_per_year,conf_low_practical_per_year,conf_high_practical_per_year,response_model_scale_sd,standardized_estimate,standardized_conf_low,standardized_conf_high,observations,participants,participant_days,contributing_participant_days,metric_support_valid_hours,metric_support_expected_hours,sites,female_participants,male_participants,age_min,age_max,comparison_id,family_id,p_raw,p_adjusted,p_raw_display,p_adjusted_display,raw_significant,adjusted_significant,comparison_method,final_assessment,interpreted_assessment,placement_label,predictor_label,effect_95_ci_display,significance_rule
primary__chest__all_available,primary,chest,all_available,complementary_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,age,per 10-year increase,age_decade,0.04196411687733611,0.03519662220538253,-0.027604648975276862,0.11153288272994907,t(144),ESTIMABLE,1.0428570571116633,0.9727728775418399,1.1179905059810042,odds ratio,odds ratio,0.004196411687733611,-0.002760464897527686,0.011153288272994907,,,,1.0042052289525703,0.9972433416822487,1.011215718075959,0.41698878782657295,0.10063607967989088,-0.0661999789470544,0.26747213830683614,153,153,,900,20845.366666666665,21600,8,85,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.235113778983077,0.3402946389686567,0.235,0.340,FALSE,FALSE,nested partial F test,acceptable,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: NOT_APPLICABLE_PARTICIPANT_LEVEL; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable. Overall: acceptable.,Chest (complementary),"Age, per 10 years",OR 1.04 (0.97–1.12),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,age,per 10-year increase,age_decade,-0.04374143895534003,0.03255067074082883,-0.10808028311771864,0.020597405207038587,t(144),ESTIMABLE,-0.04374143895534003,-0.10808028311771864,0.020597405207038587,difference,dimensionless,-0.004374143895534003,-0.010808028311771864,0.0020597405207038585,,,,-0.004374143895534003,-0.010808028311771864,0.0020597405207038585,0.39933427787330206,-0.10953589856670908,-0.2706511539487967,0.051579356815378584,153,153,,900,20845.366666666665,21600,8,85,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.18112813117518145,0.30791782299780845,0.181,0.308,FALSE,FALSE,nested partial F test,acceptable,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: NOT_APPLICABLE_PARTICIPANT_LEVEL; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable. Overall: acceptable.,Chest (complementary),"Age, per 10 years",-0.044 (-0.108–0.021),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,per 10-year increase,age_decade,0.06512123349891338,0.024068066449574335,0.017948690080230895,0.11229377691759587,normal,ESTIMABLE,1.1617728779976295,1.0421942915991411,1.295071591670199,ratio,ratio,0.006512123349891338,0.0017948690080230895,0.011229377691759588,,,,1.0151077029541244,1.004141390576512,1.0261937793493265,0.44277498066411886,0.1470752331155612,0.040536820877524804,0.2536136453535976,902,154,902,902,20891.75,21648,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.005877067938665867,0.016651692492886623,0.006,0.017,TRUE,TRUE,maximum-likelihood likelihood-ratio test,acceptable with specified limitations,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable with specified limitations. Overall: acceptable with specified limitations.,Chest (complementary),"Age, per 10 years",1.16× (1.04–1.30),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,per 10-year increase,age_decade,0.1288941750828181,0.03398647948193644,0.062281899336913193,0.19550645082872303,normal,ESTIMABLE,1.345532447035783,1.1542022041568416,1.5685791965270617,ratio,ratio,0.012889417508281811,0.006228189933691319,0.019550645082872305,,,,1.0301237911598748,1.0144442618718463,1.0460456675614258,0.6917138140216488,0.1863403223558928,0.09003998196133169,0.2826406627504539,902,154,902,902,,,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,1.3655355826498747e-4,5.803526226261967e-4,<0.001,<0.001,TRUE,TRUE,maximum-likelihood likelihood-ratio test,acceptable with specified limitations,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable with specified limitations. Overall: acceptable with specified limitations.,Chest (complementary),"Age, per 10 years",1.35× (1.15–1.57),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,per 10-year increase,age_decade,-0.028091225556408642,0.01874211579396758,-0.0648250975066644,0.008642646393847122,normal,ESTIMABLE,0.937365088390193,0.8613405681993943,1.0200997623617702,ratio,ratio,-0.0028091225556408643,-0.0064825097506664405,8.642646393847122e-4,,,,0.9935526303369916,0.9851843181236938,1.0019920243245433,0.3222744824866958,-0.08716552840192152,-0.20114871337770443,0.02681765657386141,902,154,902,902,,,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.12389570464921401,0.2340252198929598,0.124,0.234,FALSE,FALSE,maximum-likelihood likelihood-ratio test,acceptable with specified limitations,Numerical/convergence check: passed; residual/distribution checks: RESIDUAL_SPREAD_REVIEW; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable. Overall: acceptable with specified limitations.,Chest (complementary),"Age, per 10 years",0.94× (0.86–1.02),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,participant_day,tweedie_log,identity,ratio,h,age,per 10-year increase,age_decade,0.2714448622176916,0.054472326774818614,0.16468106358495027,0.3782086608504329,normal,ESTIMABLE,1.3118585368918827,1.1790170272759894,1.4596674865606145,ratio,ratio,0.02714448622176916,0.01646810635849503,0.03782086608504329,,,,1.0275162539799974,1.0166044530510248,1.0385451775510715,1.4576680752150202,0.1862185684334555,0.11297569479983172,0.2594614420670793,902,154,902,902,20891.75,21648,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,1.417792639369929e-6,2.4102474869288793e-5,<0.001,<0.001,TRUE,TRUE,maximum-likelihood likelihood-ratio test,acceptable,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable. Overall: acceptable.,Chest (complementary),"Age, per 10 years",1.31× (1.18–1.46),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,participant_day,tweedie_log,identity,ratio,h,age,per 10-year increase,age_decade,0.14617684924678856,0.04443560080650758,0.059084672034634744,0.23326902645894237,normal,ESTIMABLE,1.1574008554221413,1.0608650625407263,1.2627211390331545,ratio,ratio,0.014617684924678857,0.005908467203463474,0.023326902645894237,,,,1.0147250457654151,1.0059259566240668,1.023601102768272,2.2682127014888267,0.06444582959562827,0.026048999723814394,0.10284265946744213,818,154,818,818,10297.716666666667,10727.6,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.001182791102535318,0.004021489748620081,0.001,0.004,TRUE,TRUE,maximum-likelihood likelihood-ratio test,acceptable,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable. Overall: acceptable.,Chest (complementary),"Age, per 10 years",1.16× (1.06–1.26),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,participant_day,gaussian,identity,difference,h,age,per 10-year increase,age_decade,-0.10535517333695535,0.05502717882836291,-0.2132064620113916,0.0024961153374808837,normal,ESTIMABLE,-0.10535517333695535,-0.2132064620113916,0.0024961153374808837,difference,h,-0.010535517333695534,-0.02132064620113916,2.496115337480884e-4,-6.321310400217321,-12.792387720683497,0.14976692024885302,-0.010535517333695534,-0.02132064620113916,2.496115337480884e-4,0.9918147880691024,-0.10622464456500418,-0.21496600431464521,0.0025167151846368445,743,153,743,743,2180.1,2205.5,8,85,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.04943724618980929,0.10505414815334474,0.049,0.105,TRUE,FALSE,maximum-likelihood likelihood-ratio test,acceptable with specified limitations,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable with specified limitations. Overall: acceptable with specified limitations.,Chest (complementary),"Age, per 10 years",-6.3 min (-12.8–0.1),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,participant_day,tweedie_log,identity,ratio,h,age,per 10-year increase,age_decade,0.01249339913141529,0.014293282439169896,-0.015520919670216512,0.0405077179330471,normal,ESTIMABLE,1.0125717676654038,0.9845989090518122,1.0413393466588599,ratio,ratio,0.001249339913141529,-0.0015520919670216511,0.00405077179330471,,,,1.0012501206633577,0.9984491119047949,1.0040589872586114,1.8977373553206578,0.006583313068264022,-0.008178644756452068,0.021345270892980113,861,154,861,861,6871.416666666667,6873.866666666667,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.3826875314517836,0.5004375411292554,0.383,0.500,FALSE,FALSE,maximum-likelihood likelihood-ratio test,acceptable with specified limitations,Numerical/convergence check: passed; residual/distribution checks: ZERO_MASS_REVIEW; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable. Overall: acceptable with specified limitations.,Chest (complementary),"Age, per 10 years",1.01× (0.98–1.04),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,participant_day,gaussian,log10_offset_0.1,ratio,h,age,per 10-year increase,age_decade,0.07084459530239814,0.01767805555426482,0.036196243099340844,0.10549294750545544,normal,ESTIMABLE,1.1771846631678622,1.086916653822339,1.274949395912138,ratio,ratio,0.007084459530239814,0.0036196243099340846,0.010549294750545545,,,,1.0164463473135075,1.0083693215571703,1.0245880699459533,0.3722700578937453,0.1903043067799422,0.0972311426391217,0.2833774709207627,902,154,902,902,20891.75,21648,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,5.776521603446656e-5,3.2733622419531055e-4,<0.001,<0.001,TRUE,TRUE,maximum-likelihood likelihood-ratio test,acceptable,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable. Overall: acceptable.,Chest (complementary),"Age, per 10 years",1.18× (1.09–1.27),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,per 10-year increase,age_decade,-1.1026602432856647,5.024076394348652,-10.949669031786875,8.744348545215544,normal,ESTIMABLE,-1.1026602432856647,-10.949669031786875,8.744348545215544,difference,min,-0.11026602432856647,-1.0949669031786875,0.87443485452155445,-1.1026602432856647,-10.949669031786875,8.744348545215544,-0.11026602432856647,-1.0949669031786875,0.87443485452155445,118.77560908198313,-0.009283557893814458,-0.09218785840305838,0.07362074261542945,902,154,902,902,,,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.824723285818465,0.8733959470352263,0.825,0.873,FALSE,FALSE,maximum-likelihood likelihood-ratio test,acceptable with specified limitations,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable with specified limitations. Overall: acceptable with specified limitations.,Chest (complementary),"Age, per 10 years",-1.1 min (-10.9–8.7),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,timing-based,participant_day,gaussian,clock_minutes_after_16,difference,clock time,age,per 10-year increase,age_decade,0.7560654390391877,4.989104279990321,-9.022399264856475,10.534530142934852,normal,ESTIMABLE,0.7560654390391877,-9.022399264856475,10.534530142934852,difference,min,0.07560654390391877,-0.9022399264856474,1.0534530142934853,0.7560654390391877,-9.022399264856475,10.534530142934852,0.07560654390391877,-0.9022399264856474,1.0534530142934853,103.48131610282539,0.007306299025883229,-0.08718867912243466,0.10180127717420115,902,154,902,902,,,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.8733959470352263,0.8733959470352263,0.873,0.873,FALSE,FALSE,maximum-likelihood likelihood-ratio test,acceptable with specified limitations,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable with specified limitations. Overall: acceptable with specified limitations.,Chest (complementary),"Age, per 10 years",0.8 min (-9.0–10.5),BH-adjusted p ≤ 0.05 within the labelled 17-member family
primary__chest__all_available,primary,chest,all_available,complementary_chest,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,participant_day,gaussian,clock_minutes,difference,clock time,age,per 10-year increase,age_decade,-2.3553234359719633,4.697765942623019,-11.562775491311935,6.85212861936801,normal,ESTIMABLE,-2.3553234359719633,-11.562775491311935,6.85212861936801,difference,min,-0.23553234359719633,-1.1562775491311936,0.685212861936801,-2.3553234359719633,-11.562775491311935,6.85212861936801,-0.23553234359719633,-1.1562775491311936,0.685212861936801,118.00417873313114,-0.019959661270119725,-0.09798615282481977,0.05806683028458033,831,154,831,831,19336.133333333335,19943,8,86,68,18,68,AGE-MAIN,primary__H10-C1-age-main,0.6154104462030278,0.6974651723634314,0.615,0.697,FALSE,FALSE,maximum-likelihood likelihood-ratio test,acceptable,Numerical/convergence check: passed; residual/distribution checks: no threshold flag; temporal check: PASS_DESCRIPTIVE_CHECK; participant deletion: PASS_DESCRIPTIVE_CHECK; leave-one-site-out: acceptable. Overall: acceptable.,Chest (complementary),"Age, per 10 years",-2.4 min (-11.6–6.9),BH-adjusted p ≤ 0.05 within the labelled 17-member family
