route,table,attribute,target,valid
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0002,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0003,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0004,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0005,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0006,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0007,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0008,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0009,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0010,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0013,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0011,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0014,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0002,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0014,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0003,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0014,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0004,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0014,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0005,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0014,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0006,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0012,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0014,True
index.html,1,headers,tbl-participant-site-manuscript--gt-0007,True
