route,id_count,duplicate_ids
index.html,602,{}
supplementary_information.html,439,{}
notebooks/preparation/01_import_state_alignment.html,1184,"{""Site"": 3, ""Stored-outcome"": 3, ""Chest"": 3, ""Near-eye"": 3, ""Check"": 2}"
notebooks/preparation/02_coverage_sample_flow.html,919,"{""Stored-outcome"": 2, ""Chest"": 3, ""Near-eye"": 3, ""Placement"": 2, ""Participant-days"": 3, ""Check"": 2}"
notebooks/preparation/03_reference_profiles.html,1383,"{""Placement"": 2, ""Supported-half-hour-periods"": 2}"
notebooks/preparation/04_metric_derivation.html,2402,"{""Placement"": 7, ""Eligible-days"": 2, ""Participant-days"": 2}"
notebooks/preparation/05_model_input_acquisition.html,1083,{}
notebooks/preparation/06_model_ready_datasets.html,2630,"{""Rows"": 2, ""Columns"": 2, ""Stored-file"": 2, ""Site"": 3, ""Placement"": 3, ""Check"": 2, ""Value"": 2, ""Metric"": 2, ""Participants"": 2, ""Rows-in-prepared-frame"": 2, ""Contributing-participant-days"": 2, ""Valid-measurement-hours"": 2, ""Sites"": 2, ""Stored-record"": 2}"
notebooks/preparation/07_example_days.html,1239,"{""Site"": 2, ""Path"": 2}"
notebooks/placement_decision.html,79,{}
notebooks/descriptives.html,989,"{""a::stub"": 8, ""stub_1_1"": 8, ""stub_1_2"": 8, ""stub_1_3"": 8, ""stub_1_4"": 8, ""stub_1_5"": 8, ""stub_1_6"": 8, ""stub_1_7"": 6, ""stub_1_8"": 6, ""Overall"": 3, ""RISE"": 3, ""THUAS"": 3, ""BAUA"": 3, ""MPI"": 3, ""TUM"": 3, ""FUSPCEU"": 3, ""IZTECH"": 3, ""UCR"": 3, ""KNUST"": 3, ""Site specifics"": 2, ""Data collection"": 2, ""stub_1_9"": 5, ""stub_1_10"": 5, ""stub_1_11"": 4, ""stub_1_12"": 3, ""stub_1_13"": 3, ""Participant information"": 2, ""stub_1_14"": 3, ""stub_1_15"": 3, ""stub_1_16"": 2, ""stub_1_17"": 2}"
notebooks/preregistration_deviations.html,136,{}
notebooks/hypotheses/H01.html,3678,{}
audit/hypotheses/H01/H01_analysis_preparation.html,2477,{}
notebooks/hypotheses/H02.html,274,{}
audit/hypotheses/H02/H02_analysis_preparation.html,2412,{}
notebooks/hypotheses/H03.html,209,{}
audit/hypotheses/H03/H03_analysis_preparation.html,3547,{}
notebooks/hypotheses/H04.html,257,{}
audit/hypotheses/H04/H04_analysis_preparation.html,4382,{}
notebooks/hypotheses/H05.html,645,{}
audit/hypotheses/H05/H05_analysis_preparation.html,3501,{}
notebooks/hypotheses/H06.html,1911,{}
audit/hypotheses/H06/H06_analysis_preparation.html,2808,{}
notebooks/hypotheses/H06_daily.html,232,{}
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,585,{}
notebooks/hypotheses/H07.html,244,{}
audit/hypotheses/H07/H07_analysis_preparation.html,2002,{}
notebooks/hypotheses/H08.html,282,{}
audit/hypotheses/H08/H08_analysis_preparation.html,2463,{}
notebooks/hypotheses/H09.html,143,{}
audit/hypotheses/H09/H09_analysis_preparation.html,2112,{}
notebooks/hypotheses/H10.html,215,{}
audit/hypotheses/H10/H10_analysis_preparation.html,2076,{}
notebooks/hypotheses/H11.html,272,{}
audit/hypotheses/H11/H11_analysis_preparation.html,2393,{}
notebooks/sensitivity_battery.html,122,{}
