"path","bytes","sha256","observed_bytes","observed_sha256","pass"
"audit/manuscript_nature_health/a4_display_word_author_approval_2026_09_14.md",1732,"93b63ed97e02431e3365c2920dfeb1509ef24dad3a73599c4e5d9fe51bb8504d",1732,"93b63ed97e02431e3365c2920dfeb1509ef24dad3a73599c4e5d9fe51bb8504d",TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/deliverables/Nature_Health_manuscript.docx",14377373,"6f0ce7a50b608f91d24c31ae0b9b0edefe15828ed4f966732ea616c6e395a570",14377373,"6f0ce7a50b608f91d24c31ae0b9b0edefe15828ed4f966732ea616c6e395a570",TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/word_candidate_manifest.csv",34038,"996e138233eff74da4754aae6c2fbc1a6b5785c9d196fa2c64df2fe8eeccb464",34038,"996e138233eff74da4754aae6c2fbc1a6b5785c9d196fa2c64df2fe8eeccb464",TRUE
"audit/report_harmonization/final_documents_2026_09_13/order016_word_author_approval_318_rehash.csv",59985,"2b8a737a44a36b6a3fd70c8b0e9daab7bf26ad1d9ccbc36e2e1d1d9ae972fc5e",59985,"2b8a737a44a36b6a3fd70c8b0e9daab7bf26ad1d9ccbc36e2e1d1d9ae972fc5e",TRUE
"audit/manuscript_nature_health/a4_display_revision_2026_09_14/html_visual_qa/qa_handoff.md",5186,"5743b310cfd9ae9485a975c0ec0cbaeb14b3516bbe145fd99287dea354c079f7",5186,"5743b310cfd9ae9485a975c0ec0cbaeb14b3516bbe145fd99287dea354c079f7",TRUE
"audit/report_harmonization/final_documents_2026_09_13/order016_word_author_approval_addendum.md",2019,"9da946b6909d7274e172f1988420e929c3f7080092288ea17d79cdb3dca71378",2019,"9da946b6909d7274e172f1988420e929c3f7080092288ea17d79cdb3dca71378",TRUE
"audit/report_harmonization/final_documents_2026_09_13/seal_order016_word_approval.R",2418,"d57f036bdb98521d4b6ca5adb2add8b84b0a21df66bfdd3587c5adfed52b2948",2418,"d57f036bdb98521d4b6ca5adb2add8b84b0a21df66bfdd3587c5adfed52b2948",TRUE
"audit/report_harmonization/final_documents_2026_09_13/site_a4_delta_promotion_order_016.md",9699,"93d5f8afd2579fbd93b3fb07bd906b7ca3cf9a9f7c64d96fd3b8fd9d022a0f5c",9699,"93d5f8afd2579fbd93b3fb07bd906b7ca3cf9a9f7c64d96fd3b8fd9d022a0f5c",TRUE
"audit/report_harmonization/final_documents_2026_09_13/site_a4_delta_promotion_order_016_dispatch_manifest.csv",10136,"90d5759e5862ae86541a69bb3af129a1bc48d8983a8912afdd8d958fed192546",10136,"90d5759e5862ae86541a69bb3af129a1bc48d8983a8912afdd8d958fed192546",TRUE
"audit/report_harmonization/final_documents_2026_09_13/site_a4_delta_promotion_order_016_dispatch_receipt.md",1467,"a01a0ef4faff95b060a13c70cfc5f50c7a9a46f37172a236b4bd145a9d0e89a7",1467,"a01a0ef4faff95b060a13c70cfc5f50c7a9a46f37172a236b4bd145a9d0e89a7",TRUE
"audit/report_harmonization/final_documents_2026_09_13/site_a4_delta_promotion_order_016_dispatch_receipt_manifest.csv",1238,"f8ba0007560087dce76f8b5b6911c0c447d5695842de7b6ccc1e8f2cf8fac7e5",1238,"f8ba0007560087dce76f8b5b6911c0c447d5695842de7b6ccc1e8f2cf8fac7e5",TRUE
