"analysis_state","site","day_type","current_adherence","historical_adherence","absolute_difference_percentage_points","passed"
"Wake outside the three hours before sleep","S1","Work day",0.383,0.383,0,TRUE
"Pre-sleep","S1","Work day",0.463,0.463,5.55111512312578e-15,TRUE
"Sleep environment","S1","Work day",0.543,0.543,0,TRUE
"Wake outside the three hours before sleep","S2","Work day",0.386,0.386,0,TRUE
"Pre-sleep","S2","Work day",0.466,0.466,5.55111512312578e-15,TRUE
"Sleep environment","S2","Work day",0.546,0.546,0,TRUE
"Wake outside the three hours before sleep","S3","Work day",0.389,0.389,0,TRUE
"Pre-sleep","S3","Work day",0.469,0.469,0,TRUE
"Sleep environment","S3","Work day",0.549,0.549,0,TRUE
"Wake outside the three hours before sleep","S4","Work day",0.392,0.392,0,TRUE
"Pre-sleep","S4","Work day",0.472,0.472,0,TRUE
"Sleep environment","S4","Work day",0.552,0.552,0,TRUE
"Wake outside the three hours before sleep","S5","Work day",0.395,0.395,0,TRUE
"Pre-sleep","S5","Work day",0.475,0.475,0,TRUE
"Sleep environment","S5","Work day",0.555,0.555,0,TRUE
"Wake outside the three hours before sleep","S6","Work day",0.398,0.398,0,TRUE
"Pre-sleep","S6","Work day",0.478,0.478,0,TRUE
"Sleep environment","S6","Work day",0.558,0.558,0,TRUE
"Wake outside the three hours before sleep","S7","Work day",0.401,0.401,0,TRUE
"Pre-sleep","S7","Work day",0.481,0.481,0,TRUE
"Sleep environment","S7","Work day",0.561,0.561,0,TRUE
"Wake outside the three hours before sleep","S8","Work day",0.404,0.404,0,TRUE
"Pre-sleep","S8","Work day",0.484,0.484,0,TRUE
"Sleep environment","S8","Work day",0.564,0.564,1.11022302462516e-14,TRUE
"Wake outside the three hours before sleep","S9","Work day",0.407,0.407,5.55111512312578e-15,TRUE
"Pre-sleep","S9","Work day",0.487,0.487,0,TRUE
"Sleep environment","S9","Work day",0.567,0.567,1.11022302462516e-14,TRUE
"Wake outside the three hours before sleep","S1","Free day",0.447,0.447,0,TRUE
"Pre-sleep","S1","Free day",0.511,0.511,0,TRUE
"Sleep environment","S1","Free day",0.575,0.575,1.11022302462516e-14,TRUE
"Wake outside the three hours before sleep","S2","Free day",0.454,0.454,0,TRUE
"Pre-sleep","S2","Free day",0.522,0.522,0,TRUE
"Sleep environment","S2","Free day",0.59,0.59,1.11022302462516e-14,TRUE
"Wake outside the three hours before sleep","S3","Free day",0.461,0.461,0,TRUE
"Pre-sleep","S3","Free day",0.533,0.533,1.11022302462516e-14,TRUE
"Sleep environment","S3","Free day",0.605,0.605,1.11022302462516e-14,TRUE
"Wake outside the three hours before sleep","S4","Free day",0.468,0.468,0,TRUE
"Pre-sleep","S4","Free day",0.544,0.544,0,TRUE
"Sleep environment","S4","Free day",0.62,0.62,1.11022302462516e-14,TRUE
"Wake outside the three hours before sleep","S5","Free day",0.475,0.475,5.55111512312578e-15,TRUE
"Pre-sleep","S5","Free day",0.555,0.555,1.11022302462516e-14,TRUE
"Sleep environment","S5","Free day",0.635,0.635,0,TRUE
"Wake outside the three hours before sleep","S6","Free day",0.482,0.482,5.55111512312578e-15,TRUE
"Pre-sleep","S6","Free day",0.566,0.566,0,TRUE
"Sleep environment","S6","Free day",0.65,0.65,0,TRUE
"Wake outside the three hours before sleep","S7","Free day",0.489,0.489,0,TRUE
"Pre-sleep","S7","Free day",0.577,0.577,0,TRUE
"Sleep environment","S7","Free day",0.665,0.665,0,TRUE
"Wake outside the three hours before sleep","S8","Free day",0.496,0.496,0,TRUE
"Pre-sleep","S8","Free day",0.588,0.588,0,TRUE
"Sleep environment","S8","Free day",0.68,0.68,0,TRUE
"Wake outside the three hours before sleep","S9","Free day",0.503,0.503,0,TRUE
"Pre-sleep","S9","Free day",0.599,0.599,0,TRUE
"Sleep environment","S9","Free day",0.695,0.695,1.11022302462516e-14,TRUE
