"sample_id","analysis_state","state_display","day_type","day_type_display","weighting","estimate","standard_error","conf_low","conf_high","contrast_estimate","contrast_standard_error","contrast_conf_low","contrast_conf_high","contrast_p_value","contrast_p_adjusted","row_kind","location","site","site_display","contrast_type","contrast_significant"
"primary_any_valid","Pre-sleep","Pre-sleep","Work day","Work day","equal_site",0.475,0.00105409255338946,0.472934016558985,0.477065983441015,0.08,0.00149071198499986,0.077078258198078,0.0829217418019219,0,0,"average","Equal-site average",,,,TRUE
"primary_any_valid","Pre-sleep","Pre-sleep","Free day","Free day","equal_site",0.555,0.00105409255338946,0.552934016558985,0.557065983441015,0.08,0.00149071198499986,0.077078258198078,0.0829217418019219,0,0,"average","Equal-site average",,,"Free day minus Work day",TRUE
"primary_any_valid","Sleep environment","Sleep","Work day","Work day","equal_site",0.555,0.00105409255338946,0.552934016558985,0.557065983441015,0.0800000000000001,0.00149071198499986,0.0770782581980781,0.082921741801922,0,0,"average","Equal-site average",,,,TRUE
"primary_any_valid","Sleep environment","Sleep","Free day","Free day","equal_site",0.635,0.00105409255338946,0.632934016558985,0.637065983441015,0.0800000000000001,0.00149071198499986,0.0770782581980781,0.082921741801922,0,0,"average","Equal-site average",,,"Free day minus Work day",TRUE
"primary_any_valid","Wake outside the three hours before sleep","Daytime","Work day","Work day","equal_site",0.395,0.00105409255338946,0.392934016558985,0.397065983441015,0.08,0.00149071198499986,0.077078258198078,0.0829217418019219,0,0,"average","Equal-site average",,,,TRUE
"primary_any_valid","Wake outside the three hours before sleep","Daytime","Free day","Free day","equal_site",0.475,0.00105409255338946,0.472934016558985,0.477065983441015,0.08,0.00149071198499986,0.077078258198078,0.0829217418019219,0,0,"average","Equal-site average",,,"Free day minus Work day",TRUE
"primary_any_valid","Pre-sleep","Pre-sleep","Free day","Free day",,0.511,0.00316227766016838,0.504802049676954,0.517197950323046,-0.044,0.00298142396999972,-0.0498434836038439,-0.0381565163961561,2.73067757983746e-49,2.45760982185456e-48,"site","Site 1","S1","Site 1","Site minus equal-site mean",TRUE
"primary_any_valid","Pre-sleep","Pre-sleep","Work day","Work day",,0.463,0.00316227766016838,0.456802049676954,0.469197950323046,-0.012,0.00298142396999972,-0.0178434836038439,-0.00615651639615612,5.69941162333189e-05,0.000118372395253816,"site","Site 1","S1","Site 1","Site minus equal-site mean",TRUE
"primary_any_valid","Pre-sleep","Pre-sleep","Free day","Free day",,0.522,0.00316227766016838,0.515802049676954,0.528197950323046,-0.033,0.00298142396999972,-0.0388434836038439,-0.0271565163961561,1.78288440795978e-28,1.20344697537299e-27,"site","Site 2","S2","Site 2","Site minus equal-site mean",TRUE
"primary_any_valid","Pre-sleep","Pre-sleep","Work day","Work day",,0.466,0.00316227766016838,0.459802049676954,0.472197950323046,-0.00900000000000005,0.00298142396999972,-0.0148434836038439,-0.00315651639615617,0.00253868673815022,0.00403203187823904,"site","Site 2","S2","Site 2","Site minus equal-site mean",TRUE
"primary_any_valid","Pre-sleep","Pre-sleep","Free day","Free day",,0.533,0.00316227766016838,0.526802049676954,0.539197950323046,-0.022,0.00298142396999972,-0.0278434836038439,-0.0161565163961562,1.59453699082122e-13,6.15035696459714e-13,"site","Site 3","S3","Site 3","Site minus equal-site mean",TRUE
"primary_any_valid","Pre-sleep","Pre-sleep","Work day","Work day",,0.469,0.00316227766016838,0.462802049676954,0.475197950323046,-0.00599999999999999,0.00298142396999972,-0.0118434836038439,-0.000156516396156115,0.044171344908443,0.0567917291679987,"site","Site 3","S3","Site 3","Site minus equal-site mean",FALSE
