"sample_id","analysis_state","state_display","day_type","day_type_display","weighting","estimate","standard_error","conf_low","conf_high"
"primary_any_valid","Wake outside the three hours before sleep","Daytime","Work day","Work day","equal_site",0.395,0.00105409255338946,0.392934016558985,0.397065983441015
"primary_any_valid","Wake outside the three hours before sleep","Daytime","Free day","Free day","equal_site",0.475,0.00105409255338946,0.472934016558985,0.477065983441015
"primary_any_valid","Pre-sleep","Pre-sleep","Work day","Work day","equal_site",0.475,0.00105409255338946,0.472934016558985,0.477065983441015
"primary_any_valid","Pre-sleep","Pre-sleep","Free day","Free day","equal_site",0.555,0.00105409255338946,0.552934016558985,0.557065983441015
"primary_any_valid","Sleep environment","Sleep","Work day","Work day","equal_site",0.555,0.00105409255338946,0.552934016558985,0.557065983441015
"primary_any_valid","Sleep environment","Sleep","Free day","Free day","equal_site",0.635,0.00105409255338946,0.632934016558985,0.637065983441015
"support_80","Wake outside the three hours before sleep","Daytime","Work day","Work day","equal_site",0.395,0.00105409255338946,0.392934016558985,0.397065983441015
"support_80","Wake outside the three hours before sleep","Daytime","Free day","Free day","equal_site",0.475,0.00105409255338946,0.472934016558985,0.477065983441015
"support_80","Pre-sleep","Pre-sleep","Work day","Work day","equal_site",0.475,0.00105409255338946,0.472934016558985,0.477065983441015
"support_80","Pre-sleep","Pre-sleep","Free day","Free day","equal_site",0.555,0.00105409255338946,0.552934016558985,0.557065983441015
"support_80","Sleep environment","Sleep","Work day","Work day","equal_site",0.555,0.00105409255338946,0.552934016558985,0.557065983441015
"support_80","Sleep environment","Sleep","Free day","Free day","equal_site",0.635,0.00105409255338946,0.632934016558985,0.637065983441015
