run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,omitted_site,observations,participants,sites,refit_error,refit_warnings,term,term_label,estimate_model,std_error,conf_low_model,conf_high_model,p_raw,effect_type,estimate_practical,conf_low_practical,conf_high_practical,interval_method,status
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,BAUA,637,132,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.03129809735627711,0.0113367205549594,-0.05351766134679246,-0.009078533365761761,0.005766496945694243,difference,-0.03129809735627711,-0.05351766134679246,-0.009078533365761761,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,FUSPCEU,659,131,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.030904353135537414,0.01180563699555387,-0.05404297646137664,-0.007765729809698186,0.008850839840360312,difference,-0.030904353135537414,-0.05404297646137664,-0.007765729809698186,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,IZTECH,638,135,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.029635261406517545,0.010963956744087918,-0.051124221752984894,-0.008146301060050199,0.00687226612107832,difference,-0.029635261406517545,-0.051124221752984894,-0.008146301060050199,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,KNUST,685,138,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.020484828724222554,0.004289730561560328,-0.028892546128261573,-0.012077111320183532,1.7942325774652329e-6,difference,-0.020484828724222554,-0.028892546128261573,-0.012077111320183532,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,RISE,643,136,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.03476765668090424,0.01185921115404974,-0.05801128342789741,-0.011524029933911065,0.0033711155123580007,difference,-0.03476765668090424,-0.05801128342789741,-0.011524029933911065,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,THUAS,651,137,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.03096577127534506,0.01136310827357738,-0.053237054243985824,-0.00869448830670429,0.006427918859136514,difference,-0.03096577127534506,-0.053237054243985824,-0.00869448830670429,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,TUM,684,142,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.030601724208081514,0.010507333566241436,-0.05119571957146353,-0.010007728844699498,0.0035864488615760864,difference,-0.030601724208081514,-0.05119571957146353,-0.010007728844699498,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,UCR,527,113,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.055968054683307115,0.017926441953980025,-0.09110323528405578,-0.020832874082558447,0.0017956898742046412,difference,-0.055968054683307115,-0.09110323528405578,-0.020832874082558447,wald_normal,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,BAUA,413,91,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.012973575124999866,0.0058543565352780665,-0.024447903086801566,-0.0014992471631981655,0.026687746692667564,difference,-0.012973575124999866,-0.024447903086801566,-0.0014992471631981655,wald_normal,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,FUSPCEU,418,86,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.015804431301830728,0.005828077778014677,-0.027227253845837716,-0.00438160875782374,0.006692415205240114,difference,-0.015804431301830728,-0.027227253845837716,-0.00438160875782374,wald_normal,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,IZTECH,396,90,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.012038618225732628,0.005265012422810894,-0.02235785295259795,-0.0017193834988673065,0.02222316712641504,difference,-0.012038618225732628,-0.02235785295259795,-0.0017193834988673065,wald_normal,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,KNUST,452,96,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.0019335468588220117,0.008146346685789604,-0.017900092968546864,0.014032999250902841,0.8123841831921689,difference,-0.0019335468588220117,-0.017900092968546864,0.014032999250902841,wald_normal,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,RISE,417,94,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.016030437592961983,0.006051861195930112,-0.0278918675764205,-0.004169007609503467,0.008076754983675244,difference,-0.016030437592961983,-0.0278918675764205,-0.004169007609503467,wald_normal,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,THUAS,428,94,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.012154480468077948,0.006142074720581302,-0.02419272571077121,-1.1623522538468413e-4,0.04782857163085909,difference,-0.012154480468077948,-0.02419272571077121,-1.1623522538468413e-4,wald_normal,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,TUM,441,97,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.013745595198177071,0.005174673034235626,-0.023887767977049498,-0.003603422419304645,0.007899826216228272,difference,-0.013745595198177071,-0.023887767977049498,-0.003603422419304645,wald_normal,PASS
