placement,bin,unique_participant_hours,fitted_mean_lx,residual_mean,residual_q25,residual_q75
Near-eye,1,689,0.0051622051836751354,-0.46215975716375046,-0.5227622929514503,-0.43902431612326265
Near-eye,2,689,0.012925698283184931,-0.6017105636009075,-0.6443042143974042,-0.563993941389902
Near-eye,3,689,0.026024521313209915,-0.6965112050644423,-0.7980757774931708,-0.6653780059739042
Near-eye,4,689,0.05497479703409717,-0.8035143077075165,-0.9785235911941959,-0.7921623685831112
Near-eye,5,689,0.11998822606592152,-0.8913683355372898,-1.1863214655933825,-0.9391809634729865
Near-eye,6,689,0.2907413301217971,-0.9986091314797454,-1.4442184198048158,-1.089131938226838
Near-eye,7,689,0.7349841085933368,-0.8771159045730336,-1.72783598558837,-0.6128830424700344
Near-eye,8,689,1.7376071954650623,-0.7703077077933242,-1.9666664045345599,0.12149921870520586
Near-eye,9,689,3.4941378924438635,-0.6213190150434756,-2.170119128134808,0.5332662086303501
Near-eye,10,689,6.214505499809564,-0.5284733884099864,-2.0119654737441195,0.5277070140543039
Near-eye,11,689,9.950196518222935,-0.6285630936275213,-2.0788405688933334,0.4489002864636169
Near-eye,12,689,15.298554468614466,-0.6694398530261856,-2.0739293912044627,0.4697734305951724
Near-eye,13,689,22.73683215328291,-0.8783647752405316,-2.217233679368563,0.16491671707177546
Near-eye,14,689,32.865378725464005,-0.7756985018438081,-2.21786119174878,0.4780771731911176
Near-eye,15,688,46.273999548999065,-0.8339888349905218,-2.361607849723832,0.38902099553561054
Near-eye,16,688,63.56341656452785,-0.6083536931961759,-2.2416176568610098,0.773416387000135
Near-eye,17,688,85.47085779410733,-0.5605868515837907,-2.349170038972541,0.9471467491597894
Near-eye,18,688,113.1583122869618,-0.43588051864423855,-2.0319480764600093,1.0673914350131466
Near-eye,19,688,148.9912290792178,-0.4871944820413096,-2.133986902074435,1.052978830981786
Near-eye,20,688,194.58453173260443,-0.5457897044758997,-2.3103604528910875,0.9560887914290188
Near-eye,21,688,261.6362868900833,-0.7436673252053068,-2.587122304108674,0.6723389297583318
Near-eye,22,688,363.58762383228657,-0.9124176811700794,-2.8384523094061658,0.8254957315580411
Near-eye,23,688,563.6598329257203,-0.909005463735594,-3.4805751535211726,1.020556868435632
Near-eye,24,688,2183.98576520728,-0.694976498264077,-4.523721109227839,2.3991102123097567
Chest,1,839,0.003239999405003124,-0.42175113879656917,-0.5004994973771068,-0.39433945766288186
Chest,2,839,0.010139848794925705,-0.577009089444156,-0.6453845794753859,-0.5619284055361569
Chest,3,839,0.0231716273147748,-0.7030231571507218,-0.8018788895177659,-0.6862828006809824
Chest,4,839,0.05114864688730386,-0.8230661269188374,-0.9829358214745731,-0.8285675561712493
Chest,5,839,0.11890480483486578,-0.9098981593219755,-1.2038288873048262,-0.9856478379258817
Chest,6,839,0.30705202168606677,-0.9041198206974668,-1.459454667846463,-1.046518627486789
Chest,7,839,0.7713982152003953,-0.9997960065187906,-1.778697337039572,-0.7494507417665515
Chest,8,839,1.8126397091418087,-0.6901022929983511,-2.0204994068888236,0.17982259996104744
Chest,9,839,3.5347096397102185,-0.7611583700093271,-2.3073189935997465,0.25043713203795104
Chest,10,839,6.186590154272444,-0.6047489783539409,-2.303367821802519,0.6957497500555769
Chest,11,839,9.793052069233791,-0.8762303471410134,-2.5293777430676485,0.27382251073893504
Chest,12,839,15.060948918244613,-0.8542927471901827,-2.6130828477162447,0.4559646825222331
Chest,13,839,22.636817221637806,-0.966432584919466,-2.6310934279646307,0.3682842780951866
Chest,14,839,32.84643450553545,-1.0583428857392683,-2.856668116249023,0.4028397649559502
Chest,15,839,45.74524163692062,-0.9334955015161734,-2.643773644633109,0.56531038206129
Chest,16,839,63.47928730311751,-0.8103861902516396,-2.6359287912129097,0.7155065572605677
Chest,17,838,85.82624253565986,-0.7502614529513122,-2.592419175231794,0.7991244866745953
Chest,18,838,112.46027099910424,-0.7038256903894218,-2.4488462109918654,0.835311813859633
Chest,19,838,147.91194337887956,-0.8049321506800029,-2.6491071060213236,0.8024091204916113
Chest,20,838,196.8622029181185,-0.8203405279779964,-2.9114724807894676,0.6927259945854065
Chest,21,838,263.04416213789534,-0.9960161539789318,-3.023451206818954,0.44462128734507605
Chest,22,838,372.34822831980915,-1.0163344456610375,-3.508014133984162,0.9339075597691437
Chest,23,838,629.1414818305104,-1.1666536211578822,-4.107417252205078,0.9160181465519999
Chest,24,838,2460.055648850962,-0.8163880203270509,-5.3291309682202606,2.9358155890953905
