"Location","work_daytime","work_pre","work_sleep","free_daytime","free_pre","free_sleep"
"Equal-site average","26.6%<br><span class='ci'>(24.5% to 28.7%)</span>","62.0%<br><span class='ci'>(58.8% to 65.2%)</span>","90.4%<br><span class='ci'>(88.9% to 91.9%)</span>","**-5.1 pp**<br><span class='ci'>(-7.8 pp to -2.4 pp)</span><br>**p <0.001**<br>**21.5%**<br><span class='ci'>(19.2% to 23.8%)</span>","**+5.9 pp**<br><span class='ci'>(+1.4 pp to +10.5 pp)</span><br>**p = 0.011**<br>**67.9%**<br><span class='ci'>(64.2% to 71.6%)</span>","**-6.5 pp**<br><span class='ci'>(-9.1 pp to -3.8 pp)</span><br>**p <0.001**<br>**83.9%**<br><span class='ci'>(81.4% to 86.5%)</span>"
"","","","","","",""
"Borås (SE)","**+8.6 pp**<br><span class='ci'>(+2.3 pp to +15.0 pp)</span><br>**p = 0.032**<br>**35.2%**<br><span class='ci'>(28.4% to 42.0%)</span>","+6.9 pp<br><span class='ci'>(-1.1 pp to +14.9 pp)</span><br>p = 0.208<br>68.9%<br><span class='ci'>(60.6% to 77.1%)</span>","**+5.7 pp**<br><span class='ci'>(+3.8 pp to +7.7 pp)</span><br>**p <0.001**<br>**96.2%**<br><span class='ci'>(94.4% to 97.9%)</span>","+8.6 pp<br><span class='ci'>(+1.7 pp to +15.4 pp)</span><br>p = 0.053<br>30.0%<br><span class='ci'>(22.7% to 37.4%)</span>","+0.4 pp<br><span class='ci'>(-9.0 pp to +9.9 pp)</span><br>p = 0.997<br>68.3%<br><span class='ci'>(58.3% to 78.3%)</span>","+2.6 pp<br><span class='ci'>(-6.5 pp to +11.6 pp)</span><br>p = 0.746<br>86.5%<br><span class='ci'>(77.0% to 96.0%)</span>"
"Delft (NL)","+3.9 pp<br><span class='ci'>(-2.4 pp to +10.3 pp)</span><br>p = 0.395<br>30.5%<br><span class='ci'>(23.6% to 37.4%)</span>","+2.9 pp<br><span class='ci'>(-7.6 pp to +13.3 pp)</span><br>p = 0.746<br>64.8%<br><span class='ci'>(53.5% to 76.1%)</span>","+0.0 pp<br><span class='ci'>(-3.4 pp to +3.4 pp)</span><br>p = 0.997<br>90.4%<br><span class='ci'>(86.8% to 94.1%)</span>","+6.9 pp<br><span class='ci'>(-0.9 pp to +14.7 pp)</span><br>p = 0.197<br>28.4%<br><span class='ci'>(19.9% to 36.9%)</span>","+5.0 pp<br><span class='ci'>(-5.5 pp to +15.4 pp)</span><br>p = 0.590<br>72.9%<br><span class='ci'>(61.8% to 84.0%)</span>","-2.4 pp<br><span class='ci'>(-8.7 pp to +4.0 pp)</span><br>p = 0.631<br>81.6%<br><span class='ci'>(74.8% to 88.4%)</span>"
"Dortmund (DE)","+2.2 pp<br><span class='ci'>(-3.3 pp to +7.7 pp)</span><br>p = 0.631<br>28.8%<br><span class='ci'>(23.0% to 34.6%)</span>","-3.5 pp<br><span class='ci'>(-11.4 pp to +4.3 pp)</span><br>p = 0.601<br>58.5%<br><span class='ci'>(50.4% to 66.6%)</span>","+0.1 pp<br><span class='ci'>(-3.1 pp to +3.2 pp)</span><br>p = 0.997<br>90.5%<br><span class='ci'>(87.1% to 93.8%)</span>","**+17.0 pp**<br><span class='ci'>(+9.8 pp to +24.2 pp)</span><br>**p <0.001**<br>**38.5%**<br><span class='ci'>(30.7% to 46.3%)</span>","-1.0 pp<br><span class='ci'>(-10.6 pp to +8.5 pp)</span><br>p = 0.940<br>66.9%<br><span class='ci'>(56.8% to 77.0%)</span>","+2.5 pp<br><span class='ci'>(-3.1 pp to +8.1 pp)</span><br>p = 0.601<br>86.4%<br><span class='ci'>(80.6% to 92.2%)</span>"
"Tübingen (DE)","-2.6 pp<br><span class='ci'>(-6.8 pp to +1.6 pp)</span><br>p = 0.395<br>24.0%<br><span class='ci'>(19.8% to 28.2%)</span>","-0.6 pp<br><span class='ci'>(-7.3 pp to +6.1 pp)</span><br>p = 0.948<br>61.4%<br><span class='ci'>(54.8% to 68.0%)</span>","+0.6 pp<br><span class='ci'>(-2.0 pp to +3.1 pp)</span><br>p = 0.803<br>91.0%<br><span class='ci'>(88.4% to 93.6%)</span>","-4.4 pp<br><span class='ci'>(-8.5 pp to -0.3 pp)</span><br>p = 0.094<br>17.1%<br><span class='ci'>(13.2% to 21.0%)</span>","-5.8 pp<br><span class='ci'>(-13.3 pp to +1.7 pp)</span><br>p = 0.262<br>62.1%<br><span class='ci'>(54.6% to 69.6%)</span>","+0.0 pp<br><span class='ci'>(-4.4 pp to +4.4 pp)</span><br>p = 0.997<br>83.9%<br><span class='ci'>(79.6% to 88.3%)</span>"
"Munich (DE)","+4.6 pp<br><span class='ci'>(-2.7 pp to +11.9 pp)</span><br>p = 0.395<br>31.2%<br><span class='ci'>(23.3% to 39.1%)</span>","-3.8 pp<br><span class='ci'>(-14.0 pp to +6.4 pp)</span><br>p = 0.631<br>58.1%<br><span class='ci'>(47.2% to 69.1%)</span>","**-13.8 pp**<br><span class='ci'>(-20.7 pp to -7.0 pp)</span><br>**p <0.001**<br>**76.6%**<br><span class='ci'>(69.0% to 84.2%)</span>","-2.2 pp<br><span class='ci'>(-8.0 pp to +3.6 pp)</span><br>p = 0.631<br>19.2%<br><span class='ci'>(13.2% to 25.3%)</span>","-8.4 pp<br><span class='ci'>(-20.0 pp to +3.3 pp)</span><br>p = 0.305<br>59.5%<br><span class='ci'>(46.9% to 72.1%)</span>","**-17.2 pp**<br><span class='ci'>(-26.1 pp to -8.3 pp)</span><br>**p <0.001**<br>**66.7%**<br><span class='ci'>(57.0% to 76.5%)</span>"
"Madrid (ES)","+4.0 pp<br><span class='ci'>(-1.1 pp to +9.0 pp)</span><br>p = 0.262<br>30.5%<br><span class='ci'>(25.2% to 35.8%)</span>","-1.0 pp<br><span class='ci'>(-9.3 pp to +7.3 pp)</span><br>p = 0.931<br>61.0%<br><span class='ci'>(52.3% to 69.6%)</span>","**+7.1 pp**<br><span class='ci'>(+5.6 pp to +8.7 pp)</span><br>**p <0.001**<br>**97.6%**<br><span class='ci'>(96.5% to 98.6%)</span>","-5.2 pp<br><span class='ci'>(-10.1 pp to -0.4 pp)</span><br>p = 0.094<br>16.3%<br><span class='ci'>(11.4% to 21.1%)</span>","+0.2 pp<br><span class='ci'>(-8.7 pp to +9.1 pp)</span><br>p = 0.997<br>68.1%<br><span class='ci'>(58.9% to 77.3%)</span>","**+10.5 pp**<br><span class='ci'>(+7.3 pp to +13.8 pp)</span><br>**p <0.001**<br>**94.5%**<br><span class='ci'>(91.9% to 97.0%)</span>"
"Izmir (TR)","**-7.4 pp**<br><span class='ci'>(-11.7 pp to -3.0 pp)</span><br>**p = 0.004**<br>**19.2%**<br><span class='ci'>(14.8% to 23.6%)</span>","-6.6 pp<br><span class='ci'>(-14.2 pp to +0.9 pp)</span><br>p = 0.197<br>55.3%<br><span class='ci'>(47.7% to 63.0%)</span>","**-6.1 pp**<br><span class='ci'>(-10.6 pp to -1.5 pp)</span><br>**p = 0.033**<br>**84.3%**<br><span class='ci'>(79.4% to 89.3%)</span>","-4.4 pp<br><span class='ci'>(-9.7 pp to +1.0 pp)</span><br>p = 0.236<br>17.1%<br><span class='ci'>(11.7% to 22.6%)</span>","-10.6 pp<br><span class='ci'>(-21.0 pp to -0.3 pp)</span><br>p = 0.114<br>57.3%<br><span class='ci'>(46.3% to 68.3%)</span>","**-8.4 pp**<br><span class='ci'>(-14.6 pp to -2.3 pp)</span><br>**p = 0.032**<br>**75.5%**<br><span class='ci'>(68.9% to 82.1%)</span>"
"San José (CR)","-7.7 pp<br><span class='ci'>(-14.3 pp to -1.2 pp)</span><br>p = 0.068<br>18.8%<br><span class='ci'>(11.8% to 25.9%)</span>","-5.0 pp<br><span class='ci'>(-17.8 pp to +7.7 pp)</span><br>p = 0.631<br>57.0%<br><span class='ci'>(43.1% to 70.8%)</span>","-1.1 pp<br><span class='ci'>(-6.1 pp to +3.8 pp)</span><br>p = 0.803<br>89.3%<br><span class='ci'>(83.8% to 94.8%)</span>","-4.4 pp<br><span class='ci'>(-14.0 pp to +5.1 pp)</span><br>p = 0.598<br>17.1%<br><span class='ci'>(6.5% to 27.6%)</span>","+4.7 pp<br><span class='ci'>(-10.3 pp to +19.7 pp)</span><br>p = 0.706<br>72.6%<br><span class='ci'>(56.1% to 89.2%)</span>","-1.4 pp<br><span class='ci'>(-12.3 pp to +9.4 pp)</span><br>p = 0.931<br>82.5%<br><span class='ci'>(70.4% to 94.6%)</span>"
