Location,At home,Working in the office/from home,Outdoors,On the road with public transport/car,Sleeping
**Site-average estimate**,**76.4 (62.0–94.1) lx**<br><small>Reference category<br>FDR p (reference)</small>,**198.9 (173.9–227.5) lx**<br><small>2.604 (2.121–3.198)× At home<br>FDR p &lt;0.001</small>,**714.2 (561.7–908.2) lx**<br><small>9.354 (6.946–12.595)× At home<br>FDR p &lt;0.001</small>,**331.2 (274.4–399.8) lx**<br><small>4.338 (3.320–5.668)× At home<br>FDR p &lt;0.001</small>,**4.3 (3.1–6.0) lx**<br><small>0.056 (0.041–0.076)× At home<br>FDR p &lt;0.001</small>
&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
<span style='color:#88CCEE;font-size:1.15em'>●</span>&nbsp;Borås (SE),1.74×<br><small>95% CI 0.94–3.22</small><br><small>FDR p 0.152</small>,**1.64×**<br><small>95% CI 1.22–2.19</small><br><small>FDR p **0.005**</small>,**4.28×**<br><small>95% CI 2.84–6.45</small><br><small>FDR p **&lt;0.001**</small>,1.67×<br><small>95% CI 0.93–3.00</small><br><small>FDR p 0.159</small>,0.45×<br><small>95% CI 0.22–0.96</small><br><small>FDR p 0.084</small>
<span style='color:#117733;font-size:1.15em'>●</span>&nbsp;Delft (NL),**2.07×**<br><small>95% CI 1.30–3.28</small><br><small>FDR p **0.009**</small>,**1.48×**<br><small>95% CI 1.07–2.04</small><br><small>FDR p **0.048**</small>,**2.32×**<br><small>95% CI 1.32–4.09</small><br><small>FDR p **0.014**</small>,1.32×<br><small>95% CI 0.86–2.02</small><br><small>FDR p 0.299</small>,1.17×<br><small>95% CI 0.51–2.68</small><br><small>FDR p 0.797</small>
<span style='color:#DDCC77;font-size:1.15em'>●</span>&nbsp;Dortmund (DE),2.31×<br><small>95% CI 1.14–4.67</small><br><small>FDR p 0.051</small>,1.67×<br><small>95% CI 0.91–3.06</small><br><small>FDR p 0.169</small>,**2.00×**<br><small>95% CI 1.20–3.34</small><br><small>FDR p **0.025**</small>,**2.41×**<br><small>95% CI 1.44–4.05</small><br><small>FDR p **0.005**</small>,**4.53×**<br><small>95% CI 1.30–15.79</small><br><small>FDR p **0.048**</small>
<span style='color:#DDCC77;font-size:1.15em'>●</span>&nbsp;Tübingen (DE),**0.42×**<br><small>95% CI 0.28–0.63</small><br><small>FDR p **&lt;0.001**</small>,**0.54×**<br><small>95% CI 0.39–0.73</small><br><small>FDR p **&lt;0.001**</small>,**0.18×**<br><small>95% CI 0.11–0.30</small><br><small>FDR p **&lt;0.001**</small>,**0.34×**<br><small>95% CI 0.21–0.56</small><br><small>FDR p **&lt;0.001**</small>,0.38×<br><small>95% CI 0.16–0.89</small><br><small>FDR p 0.061</small>
<span style='color:#DDCC77;font-size:1.15em'>●</span>&nbsp;Munich (DE),1.25×<br><small>95% CI 0.73–2.14</small><br><small>FDR p 0.486</small>,1.54×<br><small>95% CI 1.00–2.36</small><br><small>FDR p 0.102</small>,1.34×<br><small>95% CI 0.72–2.48</small><br><small>FDR p 0.433</small>,0.81×<br><small>95% CI 0.58–1.13</small><br><small>FDR p 0.299</small>,**10.47×**<br><small>95% CI 4.40–24.89</small><br><small>FDR p **&lt;0.001**</small>
<span style='color:#CC6677;font-size:1.15em'>●</span>&nbsp;Madrid (ES),**0.64×**<br><small>95% CI 0.46–0.89</small><br><small>FDR p **0.026**</small>,1.14×<br><small>95% CI 0.93–1.41</small><br><small>FDR p 0.299</small>,0.97×<br><small>95% CI 0.47–1.98</small><br><small>FDR p 0.953</small>,0.65×<br><small>95% CI 0.33–1.30</small><br><small>FDR p 0.303</small>,0.78×<br><small>95% CI 0.20–3.10</small><br><small>FDR p 0.797</small>
<span style='color:#332288;font-size:1.15em'>●</span>&nbsp;Izmir (TR),0.80×<br><small>95% CI 0.56–1.16</small><br><small>FDR p 0.314</small>,0.79×<br><small>95% CI 0.58–1.07</small><br><small>FDR p 0.196</small>,0.97×<br><small>95% CI 0.47–1.97</small><br><small>FDR p 0.953</small>,1.14×<br><small>95% CI 0.66–1.96</small><br><small>FDR p 0.732</small>,1.61×<br><small>95% CI 0.90–2.89</small><br><small>FDR p 0.185</small>
<span style='color:#44AA99;font-size:1.15em'>●</span>&nbsp;San José (CR),0.78×<br><small>95% CI 0.46–1.31</small><br><small>FDR p 0.428</small>,**0.50×**<br><small>95% CI 0.33–0.76</small><br><small>FDR p **0.006**</small>,<small>Not estimable</small>,0.98×<br><small>95% CI 0.53–1.84</small><br><small>FDR p 0.960</small>,0.50×<br><small>95% CI 0.21–1.21</small><br><small>FDR p 0.196</small>
<span style='color:#AA4499;font-size:1.15em'>●</span>&nbsp;Kumasi (GH),0.57×<br><small>95% CI 0.20–1.62</small><br><small>FDR p 0.378</small>,0.67×<br><small>95% CI 0.45–0.99</small><br><small>FDR p 0.088</small>,**0.52×**<br><small>95% CI 0.33–0.82</small><br><small>FDR p **0.019**</small>,0.93×<br><small>95% CI 0.57–1.53</small><br><small>FDR p 0.839</small>,**0.16×**<br><small>95% CI 0.07–0.42</small><br><small>FDR p **0.001**</small>
