Placement,Category,"Mean melEDI, lx (95% CI)",Ratio to At home (95% CI),"Difference from At home, lx (95% CI)"
Near-eye,At home,76.4 (62.0–94.1),1.000 (reference),0.0 (reference)
Near-eye,Office/home working,198.9 (173.9–227.5),2.604 (2.121–3.198),122.5 (96.5–148.5)
Near-eye,Outdoors,714.2 (561.7–908.2),9.354 (6.946–12.595),637.9 (467.5–808.2)
Near-eye,Vehicle/public transport,331.2 (274.4–399.8),4.338 (3.320–5.668),254.9 (192.0–317.7)
Near-eye,Sleeping,4.3 (3.1–6.0),0.056 (0.041–0.076),-72.1 (-87.4–-56.7)
Near-eye,Other,221.8 (97.2–506.4),Display only,Display only
Chest,At home,78.0 (64.3–94.7),1.000 (reference),0.0 (reference)
Chest,Office/home working,202.9 (178.7–230.3),2.600 (2.093–3.229),124.8 (96.8–152.9)
Chest,Outdoors,"998.9 (802.3–1,243.6)",12.800 (9.587–17.090),"920.8 (701.8–1,139.9)"
Chest,Vehicle/public transport,512.9 (407.7–645.2),6.573 (5.058–8.540),434.9 (319.9–549.9)
Chest,Sleeping,4.7 (3.3–6.7),0.060 (0.042–0.086),-73.4 (-88.1–-58.6)
Chest,Other,315.7 (173.4–574.7),Display only,Display only
