Placement,Category,Unique hours,Long rows,Weighted hours,Participants,Participant-days,Sites
Near-eye,At home,5105,5105,4889.166666666667,126,709,9
Near-eye,Office/home working,3624,3624,3498.0000000000005,124,511,9
Near-eye,Outdoors,1422,1422,1248.6666666666667,121,480,9
Near-eye,Vehicle/public transport,818,818,679.4999999999998,111,369,9
Near-eye,Sleeping,5906,5906,5819.666666666668,126,714,9
Near-eye,Other,391,391,391,72,159,9
Chest,At home,6170,6170,5887.000000000001,150,859,8
Chest,Office/home working,4403,4403,4242.833333333333,148,609,8
Chest,Outdoors,1656,1656,1435.5000000000002,143,553,8
Chest,Vehicle/public transport,1056,1056,891.9999999999998,135,460,8
Chest,Sleeping,7155,7155,7039.666666666668,150,868,8
Chest,Other,631,631,631,94,232,8
