Placement,Component,Quantity,Estimate,Interpretation
Near-eye,Model-based R²,Marginal R²,0.766,"Activity, site, and their interaction"
Near-eye,Model-based R²,Conditional R²,0.858,Fixed effects plus participant intercept
Near-eye,Model-based R²,Participant-intercept increment,0.092,Conditional minus marginal R²
Near-eye,Model-based R²,Distribution-specific remainder,0.142,Remainder under the lognormal approximation
Near-eye,Participant-level variation,Adjusted participant ICC,0.393,Participant share after excluding fixed-effect variance
Near-eye,Participant-level variation,One-SD participant factor,2.02×,Conditional expected-mean factor one participant SD above average
Near-eye,Marginal R² allocation,Marginal R² allocation,0.618,80.7% of full marginal R²
Near-eye,Marginal R² allocation,Marginal R² allocation,0.096,12.5% of full marginal R²
Near-eye,Marginal R² allocation,Marginal R² allocation,0.053,6.9% of full marginal R²
Chest,Model-based R²,Marginal R²,0.768,"Activity, site, and their interaction"
Chest,Model-based R²,Conditional R²,0.859,Fixed effects plus participant intercept
Chest,Model-based R²,Participant-intercept increment,0.092,Conditional minus marginal R²
Chest,Model-based R²,Distribution-specific remainder,0.141,Remainder under the lognormal approximation
Chest,Participant-level variation,Adjusted participant ICC,0.394,Participant share after excluding fixed-effect variance
Chest,Participant-level variation,One-SD participant factor,2.05×,Conditional expected-mean factor one participant SD above average
Chest,Marginal R² allocation,Marginal R² allocation,0.661,86.1% of full marginal R²
Chest,Marginal R² allocation,Marginal R² allocation,0.045,5.9% of full marginal R²
Chest,Marginal R² allocation,Marginal R² allocation,0.061,8.0% of full marginal R²
