placement,sample_scenario,metric_order,metric_id,manuscript_name,estimate_main,estimate_gap_timing_unaware,conf_low_main,conf_low_gap_timing_unaware,conf_high_main,conf_high_gap_timing_unaware,p_adjusted_main,p_adjusted_gap_timing_unaware,adjusted_significant_main,adjusted_significant_gap_timing_unaware,participants_main,participants_gap_timing_unaware,participant_days_main,participant_days_gap_timing_unaware,sites_main,sites_gap_timing_unaware,row_key_hash_main,row_key_hash_gap_timing_unaware,exact_common_keys,stability_classification
chest,all_available,1,daily_geometric_mean_medi,Mean melEDI,-0.029117538060272664,-0.023343431059164928,-0.07578119603877205,-0.07119156343091762,0.017546119918226726,0.024504701312587772,0.28607289025232047,0.4367550502884509,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,2,m10_mean_medi,Brightest 10 h mean,-0.05134736401082087,-0.04130934928085983,-0.1185967551438212,-0.10906642171399117,0.015902027122179453,0.026447723152271507,0.24502460300951145,0.43150026256192003,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,3,l10_mean_medi,Darkest 10 h mean,0.007383272728767941,0.002713767171913886,-0.028493832955234003,-0.032485683284172624,0.04326037841276988,0.037913217628000394,0.7726275318520817,0.879899543398378,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,4,duration_above_1000,"Time above 1,000 lx melEDI",-0.1354309340721169,-0.1321833720423192,-0.25336491036692127,-0.2503794435657745,-0.017496957777312513,-0.01398730051886389,0.16807376265686022,0.2519368189774215,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,5,duration_above_250_wake,Time above 250 lx melEDI during wake,-0.08315696747022581,-0.08976815398220381,-0.17448210264335853,-0.18163167725132756,0.008168167702906903,0.002095369286919932,0.16807376265686022,0.2519368189774215,FALSE,FALSE,154,153,818,839,8,8,9866d96dc5cde14dd0ea6908bfe5f100ffb2ecd58e84bbe86a684fa16eec388a,c72461c5a340301968c9ca533a809e318d51862321de6ca8d142879cf4161eeb,,stable within model uncertainty
chest,all_available,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,0.06689534309142352,0.051811624172156796,-0.03688698324818909,-0.04471701874140326,0.17067766943103613,0.14834026708571685,0.28607289025232047,0.4367550502884509,FALSE,FALSE,153,154,743,867,8,8,797cba2a91bb3e82d683f6f2e082d4237fa95a4659083b6945cde91ae37a7634,1bdae35ae4ac254fbc706c6cc6bf896e1e34a249075cf59912cfa42493356177,,stable within model uncertainty
chest,all_available,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,-0.002568239773038826,-0.002832054478508602,-0.030474997227355863,-0.03188493661565786,0.02533851768127821,0.026220827658640655,0.8568518580753044,0.879899543398378,FALSE,FALSE,154,154,861,878,8,8,f3cac6989c6f1f291fc69c0dd96d36e988017d9c671a1430f8b6e8e31a7ebc6d,fd3b873824ab80303dc2297404d43ef285b31bd0dcd332e540492cb81ee66fa2,,stable within model uncertainty
chest,all_available,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,-0.03391026568978133,-0.032095391499257456,-0.06884841146431606,-0.06835985076031681,0.0010278800847534006,0.004169067761801905,0.16807376265686022,0.2535921577937834,FALSE,FALSE,154,154,902,897,8,8,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
chest,all_available,9,dose_time_sensitive_corrected_medi,melEDI dose,-0.061029681676598994,-0.03975621401337601,-0.12374982945454677,-0.10586790918013067,0.0016904661013487712,0.026355481153378657,0.16807376265686022,0.43150026256192003,FALSE,FALSE,154,154,851,897,8,8,cd7805caba6dede5d964ca1c97a5b7f3d81876d9fcdd07b3f87acf6bc6da847b,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,,stable within model uncertainty
glasses,all_available,1,daily_geometric_mean_medi,Mean melEDI,-0.038663125876821074,-0.034058134207358585,-0.09072944322995566,-0.08705052674299693,0.013403191476313504,0.01893425832827976,0.22090948147940592,0.3138242957331162,FALSE,FALSE,141,141,816,811,9,9,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,,stable within model uncertainty
