ordinal,present,current_sha256,current_bytes,status,path,sha256,bytes,role,producer,r_version
1,TRUE,ecbf772d084582c643e1ee4523a8171db419d4e998f5d846ea34228238a6f709,5307,PASS,audit/hypotheses/H01/report016/H01_stage3_deviations_pre_REPORT016.csv,ecbf772d084582c643e1ee4523a8171db419d4e998f5d846ea34228238a6f709,5307,preserved pre-correction display,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
2,TRUE,3e503b42b4fdfc945687025426b57a6088cb8a434ace76f1d6a21b3c36c951e4,2788,PASS,audit/hypotheses/H01/report016/H01_REPORT016_local_id_mapping.csv,3e503b42b4fdfc945687025426b57a6088cb8a434ace76f1d6a21b3c36c951e4,2788,local-to-central ID mapping proposal,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
3,TRUE,c4f7b1b3514e46045ac0919e7d68879376df44ef4e7027e40fe36e6ffe08e5c8,5775,PASS,audit/hypotheses/H01/report016/H01_REPORT016_row_reconciliation.csv,c4f7b1b3514e46045ac0919e7d68879376df44ef4e7027e40fe36e6ffe08e5c8,5775,row-level before/after evidence,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
4,TRUE,94130a6de2e9e127b42267aed5e6dae52e2acc961fa3fb62666ffbf61b3789c7,210836,PASS,audit/hypotheses/H01/report016/H01_REPORT016_protected_scientific_artifacts.csv,94130a6de2e9e127b42267aed5e6dae52e2acc961fa3fb62666ffbf61b3789c7,210836,scientific-output preservation inventory,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
5,TRUE,9386607f7af001cd6cb75f4dafeaf2c1d560a587ea44022fd721b553665deba1,987,PASS,audit/hypotheses/H01/report016/H01_REPORT016_pre_correction_identities.csv,9386607f7af001cd6cb75f4dafeaf2c1d560a587ea44022fd721b553665deba1,987,pre-correction identities,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
6,TRUE,66032da2fdd13380119b5b14dbb31b4bc1d94e7d50ff5ac12b2ee2c5913f4172,3004,PASS,audit/hypotheses/H01/report016/H01_REPORT016_deviation_reconciliation.md,66032da2fdd13380119b5b14dbb31b4bc1d94e7d50ff5ac12b2ee2c5913f4172,3004,reconciliation handoff,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
7,TRUE,2671fc9af9d6764a8b64c1417c8c84b3eb63a2f0a0c2c4ff4adb4eddeb03a347,5916,PASS,artifacts/09_tables/H01/stage3/H01_stage3_deviations.csv,2671fc9af9d6764a8b64c1417c8c84b3eb63a2f0a0c2c4ff4adb4eddeb03a347,5916,reconciled reader display source,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
8,TRUE,16e752b57eafa43b9cc09d70a698ba194cb3fe83dc62bf1bcc3e08c67f85eb6e,26497,MISMATCH,artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,476fa10db3383b2de82bb1824e9e5d89b8629d1666d080fe79520c5b81800806,22735,reconciliation dependency or held report,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
9,TRUE,d0ed8e0c62579597f11c3fa701af35b5016e4921bee0000d2fd700b719f25079,11054,MISMATCH,artifacts/12_manifests/H01_reporting_artifacts.csv,4d39e9b1f76fed6fa56d8f9d210d5fd83b2d744e1e6dc67f60fcefe82b24b6b6,11054,reconciliation dependency or held report,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
10,TRUE,31c477fae21e0506521d27147cd3f1ea33941dac4c0a6e3a6d485f5acbc129a6,90640,MISMATCH,notebooks/hypotheses/H01.qmd,8c7ca4e7382b1f9cc5fe07bb9cdf8a1318fd6e311f7df4e86556ae3e390abe96,87441,reconciliation dependency or held report,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
11,TRUE,962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8,54405,MISMATCH,audit/hypotheses/H01/H01_analysis_preparation.qmd,685641fcb163e55b96b34778f25b276d8ce289bacd0ad73ece4351d859ebb4cb,54286,reconciliation dependency or held report,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
12,TRUE,6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa,1626484,MISMATCH,_build/nathealth/notebooks/hypotheses/H01.html,53a216ff0ae82b2e9177671d6330862832c1c5f2a9e79251e0da0acb5671260f,1351940,reconciliation dependency or held report,scripts/hypotheses/H01/reconcile_h01_report016_deviations.R,4.6.1
