path,sha256,bytes,role,producer,r_version
audit/report_harmonization/owner_orders/31h_h01_report016_display_transition_manifest_reseal.md,b190720fbb117bf0f5238ad5b4aa2e2e1c42bd948d47a14606aafb3318aa6e6e,9950,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
tests/hypotheses/H01/test_h01_report016_deviation_reconciliation.R,b0c41cef4a0f373b5ae4da8bcac987493f4d3d46618fd217c964945f5ed8b620,10146,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,16e752b57eafa43b9cc09d70a698ba194cb3fe83dc62bf1bcc3e08c67f85eb6e,26497,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
artifacts/12_manifests/H01_worker_artifacts.csv,9a369002e9ebfdc9d99ba08c1bb86b2588d6308b7e844b36fea6336f95e47328,393672,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
artifacts/12_manifests/H01_reporting_artifacts.csv,d0ed8e0c62579597f11c3fa701af35b5016e4921bee0000d2fd700b719f25079,11054,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
notebooks/hypotheses/H01.qmd,31c477fae21e0506521d27147cd3f1ea33941dac4c0a6e3a6d485f5acbc129a6,90640,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
audit/hypotheses/H01/H01_analysis_preparation.qmd,962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8,54405,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,35443e52e2b554afb5cc2a6a8a88ba1a2b847fdac5f8ae5974005a336debbdc7,68214,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
artifacts/10_figures/H01/stage3/H01_stage3_model_support.png,2244f043d4fb676200524440098be223e23106578513f4ac61567ba3f636da8b,238682,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
artifacts/10_figures/H01/stage3/H01_stage3_model_support.svg,602dd62de063d3e12ac53ca7d22dd2563e64213255b9cdc7e138941450ce1966,54757,H01 REPORT-017 order 31h stopped-state evidence,audit/hypotheses/H01/report017_report016_display_transition_reseal/seal_h01_report017_31h_stopped_state.R,4.6.1
