target,anchor,exact_relative_target,lower_case,central_anchor_count
../preregistration_deviations.qmd#dev-001,dev-001,TRUE,TRUE,1
../preregistration_deviations.qmd#rep-001,rep-001,TRUE,TRUE,1
../preregistration_deviations.qmd#rep-002,rep-002,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-003,dev-003,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-004,dev-004,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-003,imp-003,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-055,dev-055,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-005,dev-005,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-006,dev-006,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-018,imp-018,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-019,imp-019,TRUE,TRUE,1
../preregistration_deviations.qmd#rep-003,rep-003,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-002,imp-002,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-007,dev-007,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-008,dev-008,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-054,dev-054,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-009,dev-009,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-017,dev-017,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-018,dev-018,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-001,imp-001,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-009,dev-009,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-009,dev-009,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-003,imp-003,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-004,imp-004,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-010,imp-010,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-012,imp-012,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-058,dev-058,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-014,imp-014,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-053,dev-053,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-015,imp-015,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-054,dev-054,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-016,imp-016,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-052,dev-052,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-017,imp-017,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-020,imp-020,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-049,dev-049,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-050,dev-050,TRUE,TRUE,1
../preregistration_deviations.qmd#dev-057,dev-057,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-024,imp-024,TRUE,TRUE,1
../preregistration_deviations.qmd#imp-023,imp-023,TRUE,TRUE,1
