"sample_id","measure","maximum_absolute_difference","maximum_absolute_difference_percentage_points","tolerance_percentage_points","passed"
"primary_any_valid","cell_mean",0,0,0.05,TRUE
"primary_any_valid","cell_all_zero",0,0,0.05,TRUE
"primary_any_valid","cell_all_one",0,0,0.05,TRUE
"primary_any_valid","cell_mixed",0,0,0.05,TRUE
"primary_any_valid","cell_pi_zero",0,0,0.05,TRUE
"primary_any_valid","cell_pi_one",0,0,0.05,TRUE
"primary_any_valid","cell_pi_beta",0,0,0.05,TRUE
"primary_any_valid","cell_phi",0,0,0.05,TRUE
"support_80","cell_mean",0,0,0.05,FALSE
"support_80","cell_all_zero",0,0,0.05,TRUE
"support_80","cell_all_one",0,0,0.05,TRUE
"support_80","cell_mixed",0,0,0.05,TRUE
"support_80","cell_pi_zero",0,0,0.05,TRUE
"support_80","cell_pi_one",0,0,0.05,TRUE
"support_80","cell_pi_beta",0,0,0.05,TRUE
"support_80","cell_phi",0,0,0.05,TRUE
