path,role,expected_sha256,expected_bytes,order34_disposition
tests/hypotheses/H03/test_h03_stage3_reader_report.R,existing H03 test,0af80c8dfede663d724c488f5b7947ca8635a944d789f7a552f6e932999bd3ef,18080,preserved
tests/hypotheses/H03/test_h03_preparation_report.R,existing H03 test,bddaa2393ead9317c5f526a00f75d2fd86e0e7efeaf84dcd2737e61b149a058a,8412,preserved
tests/hypotheses/H03/test_h03_participant_random_intercept_assessment.R,existing H03 test,30fa488114886eb4e9feeccc55f6f752e229585bfc1f2eb5b5a85bfba582bfc8,7568,preserved
tests/hypotheses/H03/test_h03_stage2.R,existing H03 test,a174e3fe2a1a7832a5f6e8e8a98a3da8d88d85bd30e22917e554ae658f7ce596,19424,preserved
artifacts/12_manifests/H03/H03_stage3_artifacts.csv,historical scientific-closure manifest,5f4f10528f1c49d52518a6dde36d6ce0ffd71869cab9bcde382bf9c9edce3170,83962,preserved
artifacts/12_manifests/H03/H03_preparation_report_manifest.csv,historical preparation manifest,5235b02c6c542a010336eca9569b77b269deb673d4659d794393d2427146393a,81124,preserved
scripts/hypotheses/H03/run_h03_participant_random_intercept_assessment.R,accepted auxiliary runner,662e7ac81b3b67693023acdb196b2187d7058e863294b7b77e0105b8ca456f4c,16328,preserved
artifacts/12_manifests/H03/H03_near_eye_participant_random_intercept_manifest.csv,accepted auxiliary six-file manifest,81bab5291ca9f9aa24a39cae991857b8f5b39046090da2e4f4c984f4ea7c2306,2190,preserved
notebooks/preregistration_deviations.qmd,central deviation record,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,94061,preserved
config/site_display_registry.csv,shared site registry,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,preserved
_quarto-nathealth.yml,shared profile context,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,preserved
_build/nathealth/notebooks/hypotheses/H03.html,stale result HTML context,68aa07eb7470286d0d6da76114ce7bf346ee635974fe7403c1860ad4560c3d25,330938,preserved and not accepted for revised source
_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,stale companion HTML context,813492b5b1941716c1996f8a0c1b88c658e6eefb52e2569be62744fe965308bf,900339,preserved and not accepted for revised source
audit/report_harmonization/phase2_main_supplement_output_catalog.csv,Phase 2 output catalog,43110e4f20a4e9d6257351fad4905c08587f85a28aa27d2a932b0d33b88b6894,165132,preserved
audit/decisions/h03_auxiliary_model_assessments_closure.md,H03-AUX-001 and CHG-139,85be31f6c105ea2c47a5353a32d4081dcdbc50a0738998f2106c0952c4527827,6530,preserved
audit/report_harmonization/h03_postclosure_synchronization_check.md,RH-SYNC-H03-001,569767a839a34f1dc3e58ea8c5b554da23a56163a2cf48ad90d7a17cd05b1aea,6621,preserved
audit/report_harmonization/report017_h03_consolidated_full_document_audit.md,controlling full audit,e43a703aec1d2e70a79b9bac970857fe2928b727ad46849745673770d8e0b176,17288,preserved
audit/report_harmonization/report017_h03_consolidated_change_matrix.csv,complete H03 matrix,917e29f200fd9e3554e14561307c262203a5ce455eb4614e5006bf878abd313c,12758,preserved
audit/report_harmonization/report017_consolidated_document_pass_protocol.md,consolidated-pass protocol,13b5bb6708e0b044117a48f9577026e57896a935aed58f6b512948a828fe6923,3839,preserved
audit/report_harmonization/owner_orders/34_h03_consolidated_reader_and_companion_synchronization.md,controlling order,3df58a1fc775a534ec8f0770ecf3e5491a66410ec301007866085fd2c905d95a,19848,preserved

