placement,site,participant,participant_day,unique_participant_hours,long_rows,effective_weighted_hours,categories,multiselect_hours,maximum_k,exact_zero_unique_hours,other_only_hours
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-11,24,26,24,6,2,2,6,1
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-12,22,24,22,5,2,2,5,0
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-13,22,23,22,5,1,2,5,0
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-14,22,23,22,4,1,2,5,0
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-16,24,27,24,4,3,2,4,0
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-11,24,24,24,5,0,1,6,0
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-12,24,24,24,4,0,1,6,0
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-13,22,22,22,5,0,1,6,0
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-14,23,23,23,4,0,1,7,1
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-15,24,24,24,4,0,1,7,0
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-16,24,24,24,4,0,1,6,0
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-11,24,24,24,3,0,1,7,0
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-12,24,24,24,2,0,1,8,0
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-13,24,24,24,3,0,1,8,0
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-14,24,24,24,4,0,1,8,0
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-15,24,24,24,3,0,1,9,0
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-16,14,14,14,2,0,1,6,0
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-11,23,25,23,5,2,2,8,0
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-12,22,28,22,5,6,2,6,0
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-13,23,25,23,5,2,2,5,0
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-14,23,25,23,5,2,2,6,1
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-15,22,22,22,3,0,1,7,0
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-16,22,25,22,5,3,2,7,0
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-11,22,22,22,4,0,1,3,3
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-12,22,22,22,6,0,1,5,4
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-13,22,23,22,5,1,2,3,4
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-14,24,24,24,5,0,1,4,8
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-15,24,24,24,3,0,1,3,13
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-11,24,24,24,5,0,1,7,0
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-12,24,24,24,4,0,1,6,0
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-13,23,23,23,4,0,1,5,0
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-15,24,24,24,2,0,1,13,0
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-16,24,24,24,5,0,1,9,0
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-17,20,20,20,4,0,1,6,0
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-25,18,19,18,4,1,2,0,0
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-26,17,17,17,4,0,1,1,1
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-27,18,20,18,4,2,2,0,0
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-28,16,17,16,5,1,2,0,9
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-29,14,14,14,4,0,1,0,6
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-30,23,27,23,6,4,2,7,1
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-25,22,27,22,5,5,2,5,0
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-26,22,25,22,5,3,2,6,0
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-27,24,32,24,5,8,2,9,0
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-28,24,31,24,4,7,2,6,0
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-29,24,29,24,5,5,2,6,7
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-30,24,26,24,4,2,2,5,0
