placement,bin,unique_participant_hours,fitted_mean_lx,observed_zero_fraction,working_zero_fraction
Near-eye,1,1653,3.552822062165831,0.7991530550514216,0.9780297736105203
Near-eye,2,1653,5.648435627792645,0.7549909255898367,0.9727230640513115
Near-eye,3,1653,12.820386987180925,0.705384150030248,0.9604941809504993
Near-eye,4,1653,24.08834495754852,0.3793103448275862,0.9488322827060742
Near-eye,5,1653,55.69571414869054,0.09195402298850575,0.924040347465364
Near-eye,6,1653,99.67929555020169,0.04839685420447671,0.9026808649287419
Near-eye,7,1652,146.05582709032274,0.021791767554479417,0.883844347454231
Near-eye,8,1652,171.88920684493107,0.031476997578692496,0.8757466509144781
Near-eye,9,1652,378.681034409478,0.019975786924939468,0.8270864054980517
Near-eye,10,1652,957.3076260460323,0.041767554479418885,0.7578789073842501
Chest,1,2013,4.386147154143967,0.8241430700447094,0.9847374279889606
Chest,2,2013,6.090487594795618,0.7019374068554396,0.9823076190660901
Chest,3,2013,10.724839049284553,0.7615499254843517,0.9771379157069661
Chest,4,2013,33.137029080343424,0.41828117237953305,0.9634877454844675
Chest,5,2013,65.1389184169768,0.07103825136612021,0.948530398154113
Chest,6,2013,113.03534745472847,0.050173869846000994,0.9340777315326236
Chest,7,2013,143.29807495523903,0.033283656234475906,0.9265527385288892
Chest,8,2013,197.6260021547905,0.030303030303030304,0.9156137560223016
Chest,9,2012,356.6361472846252,0.027833001988071572,0.8914869585863192
Chest,10,2012,1092.0192069633472,0.02385685884691849,0.8302490718500086
