placement,placement_label,metric_order,metric_id,manuscript_name,derivative_defined_pattern,plateau_transition_lower,plateau_start,recorded_photoperiod_min,recorded_photoperiod_max,disposition
near_eye,Near eye — primary,1,daily_geometric_mean_medi,Mean melEDI,TRUE,16.096628133279307,16.199609975086318,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
near_eye,Near eye — primary,2,m10_mean_medi,Brightest 10 h mean,TRUE,15.169791557016197,15.272773398823208,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
near_eye,Near eye — primary,3,l10_mean_medi,Darkest 10 h mean,TRUE,14.86084603159516,14.96382787340217,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
near_eye,Near eye — primary,4,duration_above_1000,"Time above 1,000 lx melEDI",TRUE,14.86084603159516,14.96382787340217,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
near_eye,Near eye — primary,5,duration_above_250_wake,Time above 250 lx melEDI during wake,TRUE,14.345936822560098,14.44891866436711,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
near_eye,Near eye — primary,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,FALSE,,,10.329644992086624,20.52484733098083,NO_POINTWISE_DETECTED_PRIOR_INCREASE
near_eye,Near eye — primary,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,FALSE,,,10.329644992086624,20.52484733098083,NO_POINTWISE_DETECTED_PRIOR_INCREASE
near_eye,Near eye — primary,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,FALSE,,,10.329644992086624,20.52484733098083,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END
near_eye,Near eye — primary,9,dose_time_sensitive_corrected_medi,melEDI dose,TRUE,14.242954980753089,14.345936822560098,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
chest,Chest — complementary,1,daily_geometric_mean_medi,Mean melEDI,TRUE,15.581718924244246,15.684700766051256,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
chest,Chest — complementary,2,m10_mean_medi,Brightest 10 h mean,FALSE,,,10.329644992086624,20.52484733098083,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END
chest,Chest — complementary,3,l10_mean_medi,Darkest 10 h mean,TRUE,14.139973138946074,14.242954980753089,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
chest,Chest — complementary,4,duration_above_1000,"Time above 1,000 lx melEDI",TRUE,13.419100246296988,13.522082088104,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
chest,Chest — complementary,5,duration_above_250_wake,Time above 250 lx melEDI during wake,TRUE,13.00717287906894,13.110154720875952,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
chest,Chest — complementary,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,FALSE,,,10.329644992086624,20.52484733098083,NO_POINTWISE_DETECTED_PRIOR_INCREASE
chest,Chest — complementary,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TRUE,18.362228653033576,18.465210494840587,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
chest,Chest — complementary,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,TRUE,13.728045771718026,13.831027613525038,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
chest,Chest — complementary,9,dose_time_sensitive_corrected_medi,melEDI dose,TRUE,13.110154720875952,13.213136562682964,10.329644992086624,20.52484733098083,DERIVATIVE_DEFINED_PLATEAU_PATTERN
