run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,analysis_unit,response_family,response_transform,effect_scale,display_unit,predictor,deleted_participant,observations_after_deletion,participants_after_deletion,estimate_model_after_deletion,conf_low_model_after_deletion,conf_high_model_after_deletion,estimate_change_from_full,change_in_full_standard_errors,sign_reversal,converged,positive_definite_hessian,singular,warnings,error,deletion_status
primary__chest__all_available,primary,chest,all_available,complementary_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,age,TUM:TUM_S003,152,152,0.04334416678081666,-0.0245903317693773,0.11127866533101063,0.00138004990348055,0.03920972573525842,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,1,interdaily_stability,Interdaily stability,IS,dynamics-based,participant,gaussian,logit,odds_ratio,dimensionless,biological_sex,TUM:TUM_S003,152,152,0.02983241186948088,-0.1053571390464807,0.16502196278544246,-0.01323692714223276,0.1896732885322855,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,age,FUSPCEU:FUSPCEU_S004,152,152,-0.05329065358023485,-0.11676026526205872,0.01017895810158901,-0.00954921462489482,0.29336460378732193,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,2,intradaily_variability,Intradaily variability,IV,dynamics-based,participant,gaussian,identity,difference,dimensionless,biological_sex,BAUA:BAUA_S016,152,152,0.06812646337972535,-0.05785206388778201,0.1941049906472327,0.01222772881773644,0.18944682634372875,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,KNUST:KNUST_S001,896,153,0.06509084063474743,0.01774727029637309,0.11243441097312176,-3.0392864165951217e-5,0.00126278794474945,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,KNUST:KNUST_S001,896,153,-0.13068968606765563,-0.22489352645087615,-0.03648584568443511,-9.925880098846929e-4,0.02080484220201561,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,age,THUAS:THUAS_S007,896,153,0.1270252498496949,0.06011631503939056,0.19393418465999923,-0.0018689252331232,0.05499025676126674,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,participant_day,gaussian,log10_offset_0.1,ratio,lx,biological_sex,THUAS:THUAS_S007,896,153,-0.15867425680028643,-0.2952727959055028,-0.02207571769507008,-0.00538026708156463,0.07730959216695762,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,participant_day,tweedie_log,identity,ratio,h,age,FUSPCEU:FUSPCEU_S004,897,153,0.2884023780981578,0.18321173749325984,0.3935930187030557,0.01695751588046618,0.311305150421907,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
primary__chest__all_available,primary,chest,all_available,complementary_chest,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,participant_day,tweedie_log,identity,ratio,h,biological_sex,UCR:UCR_S025,896,153,-0.18138735258641803,-0.4135253499950732,0.05075064482223718,-0.00753841692318163,0.06416644299611167,FALSE,TRUE,TRUE,FALSE,,,PASS_DESCRIPTIVE_CHECK
