"link_text","href","fragment","target_is_central","pass"
"DEV-001","../../notebooks/preregistration_deviations.html#dev-001","dev-001",TRUE,TRUE
"REP-001","../../notebooks/preregistration_deviations.html#rep-001","rep-001",TRUE,TRUE
"REP-002","../../notebooks/preregistration_deviations.html#rep-002","rep-002",TRUE,TRUE
"DEV-012","../../notebooks/preregistration_deviations.html#dev-012","dev-012",TRUE,TRUE
"DEV-012","../../notebooks/preregistration_deviations.html#dev-012","dev-012",TRUE,TRUE
"DEV-011","../../notebooks/preregistration_deviations.html#dev-011","dev-011",TRUE,TRUE
"DEV-010","../../notebooks/preregistration_deviations.html#dev-010","dev-010",TRUE,TRUE
"DEV-011","../../notebooks/preregistration_deviations.html#dev-011","dev-011",TRUE,TRUE
"DEV-021","../../notebooks/preregistration_deviations.html#dev-021","dev-021",TRUE,TRUE
"IMP-005","../../notebooks/preregistration_deviations.html#imp-005","imp-005",TRUE,TRUE
"DEV-012","../../notebooks/preregistration_deviations.html#dev-012","dev-012",TRUE,TRUE
"IMP-015","../../notebooks/preregistration_deviations.html#imp-015","imp-015",TRUE,TRUE
"DEV-019","../../notebooks/preregistration_deviations.html#dev-019","dev-019",TRUE,TRUE
"DEV-057","../../notebooks/preregistration_deviations.html#dev-057","dev-057",TRUE,TRUE
"IMP-017","../../notebooks/preregistration_deviations.html#imp-017","imp-017",TRUE,TRUE
"DEV-021","../../notebooks/preregistration_deviations.html#dev-021","dev-021",TRUE,TRUE
"DEV-005","../../notebooks/preregistration_deviations.html#dev-005","dev-005",TRUE,TRUE
"IMP-012","../../notebooks/preregistration_deviations.html#imp-012","imp-012",TRUE,TRUE
"REP-003","../../notebooks/preregistration_deviations.html#rep-003","rep-003",TRUE,TRUE
"IMP-002","../../notebooks/preregistration_deviations.html#imp-002","imp-002",TRUE,TRUE
"DEV-049","../../notebooks/preregistration_deviations.html#dev-049","dev-049",TRUE,TRUE
"DEV-050","../../notebooks/preregistration_deviations.html#dev-050","dev-050",TRUE,TRUE
