"order","table_id","native_gt_count","caption_count","caption","thead_count","tbody_count","header_cells","body_rows","body_cells","pass"
1,"tbl-h02-near-variation",1,1,"Table 1: Near-eye fitted-curve variation and participant-to-site ratios.",1,1,3,8,12,TRUE
2,"tbl-h02-near-dominance",1,1,"Table 2: Near-eye conditional Shapley allocation of in-sample model fit.",1,1,3,4,8,TRUE
3,"tbl-h02-near-relevance",1,1,"Table 3: Near-eye participant-versus-site comparisons from the Shapley allocation.",1,1,2,3,3,TRUE
4,"tbl-h02-near-windows",1,1,"Table 4: Near-eye clock windows whose pointwise conditional 95% interval excludes the global time effect.",1,1,2,9,9,TRUE
5,"tbl-h02-chest-variation",1,1,"Table 5: Chest fitted-curve variation and participant-to-site ratios.",1,1,3,8,12,TRUE
6,"tbl-h02-chest-dominance",1,1,"Table 6: Chest conditional Shapley allocation of in-sample model fit.",1,1,3,4,8,TRUE
7,"tbl-h02-chest-relevance",1,1,"Table 7: Chest participant-versus-site comparisons from the Shapley allocation.",1,1,2,3,3,TRUE
8,"tbl-h02-chest-windows",1,1,"Table 8: Chest clock windows whose pointwise conditional 95% interval excludes the global time effect.",1,1,2,8,8,TRUE
9,"tbl-h02-near-diagnostics",1,1,"Table 9: Near-eye fit and model-check summary.",1,1,3,8,16,TRUE
10,"tbl-h02-chest-diagnostics",1,1,"Table 10: Chest fit and model-check summary.",1,1,3,8,16,TRUE
11,"tbl-h02-sensitivity",1,1,"Table 11: Sensitivity of participant-to-site fitted-curve dispersion ratios.",1,1,5,6,24,TRUE
12,"tbl-h02-near-sample",1,1,"Table 12: Exact fitted near-eye sample, overall and by site.",1,1,6,10,50,TRUE
13,"tbl-h02-chest-sample",1,1,"Table 13: Exact fitted chest sample, overall and by site.",1,1,6,9,45,TRUE
14,"tbl-h02-model-deviations",1,1,"Table 14: H02 estimand and model changes relative to the registered analysis.",1,1,4,7,21,TRUE
15,"tbl-h02-data-deviations",1,1,"Table 15: H02 data and implementation deviations or clarifications.",1,1,4,6,18,TRUE
