"check","observed","expected","pass"
"main_unique",1,"1",TRUE
"table_count_and_order",15,"15 in accepted order",TRUE
"figure_count_and_order",5,"5 in accepted order",TRUE
"table_native_semantics",15,"15",TRUE
"figure_caption_alt_source",5,"5",TRUE
"unique_document_ids",0,"0",TRUE
"table_headers_resolve",530,"530",TRUE
"document_idrefs_resolve",552,"552",TRUE
"reader_links_resolve",99,"100",FALSE
"registration_links_22",22,"22",TRUE
"registration_anchors_18",18,"18",TRUE
"country_site_labels",9,"9",TRUE
"companion_navigation_link",3,">=1",TRUE
"no_unresolved_crossrefs",0,"0",TRUE
"no_raw_error_warning_stderr",0,"0",TRUE
