"attribute","element","token","matches_in_document","pass"
"headers","td","tbl-h02-near-variation--gt-0004",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0005",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0002",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0004",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0005",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0003",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0004",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0006",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0002",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0004",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0006",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0003",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0004",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0007",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0002",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0004",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0007",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0003",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0004",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0008",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0002",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0004",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0008",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0003",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0009",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0010",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0002",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0009",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0010",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0003",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0009",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0011",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0002",1,TRUE
"headers","td","tbl-h02-near-variation--gt-0009",1,TRUE
