"path","type_pre","sha256_pre","bytes_pre","mtime_utc_pre","mode_pre","link_target_pre","link_resolved_pre","link_safe_pre","type_post","sha256_post","bytes_post","mtime_utc_post","mode_post","link_target_post","link_resolved_post","link_safe_post","change_type","source_path","source_identical","classification","allowed"
"","directory","",,"2026-08-20 07:25:23.000000 UTC",755,,,,"directory","",,"2026-08-20 08:39:24.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"artifacts","directory","",,"2026-08-15 09:29:26.000000 UTC",755,,,,"directory","",,"2026-08-20 08:39:10.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"artifacts/09_tables","directory","",,"2026-08-14 16:23:45.000000 UTC",755,,,,"directory","",,"2026-08-20 08:39:10.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"artifacts/09_tables/H02",,,,,,,,,"directory","",,"2026-08-20 08:39:10.000000 UTC",755,,,,"added",,,"target_render_created_directory",TRUE
"artifacts/09_tables/H02/dominance_summary.csv",,,,,,,,,"file","c50589ee53541845cee1a104ae4aabb0bb45296a94e3ab7547fd1142ded4e84f",9051,"2026-07-31 18:15:17.176000 UTC",644,,,,"added","artifacts/09_tables/H02/dominance_summary.csv",TRUE,"source_identical_target_resource_copy",TRUE
"artifacts/09_tables/H02/variation_summary.csv",,,,,,,,,"file","a07296c2e64e15a0217b9efc21b83acd578574f5b456a79eb2401382b0b4d3b0",22180,"2026-07-31 15:41:03.259000 UTC",644,,,,"added","artifacts/09_tables/H02/variation_summary.csv",TRUE,"source_identical_target_resource_copy",TRUE
"artifacts/11_source_data","directory","",,"2026-08-14 14:49:00.000000 UTC",755,,,,"directory","",,"2026-08-20 08:39:10.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"artifacts/11_source_data/H02",,,,,,,,,"directory","",,"2026-08-20 08:39:10.000000 UTC",755,,,,"added",,,"target_render_created_directory",TRUE
"artifacts/11_source_data/H02/paired_placement_site_curves.csv",,,,,,,,,"file","3bc65cdd98bb8e71c5bc6f586e0aab966a929cc6b47df25b8e6eaf1376f5c5c8",173630,"2026-08-01 12:16:30.842999 UTC",644,,,,"added","artifacts/11_source_data/H02/paired_placement_site_curves.csv",TRUE,"source_identical_target_resource_copy",TRUE
"artifacts/11_source_data/H02/site_curve_predictions.csv",,,,,,,,,"file","03a70808d41029acf41287db7393761e792b850bf00815acea0d6bda6aa527a7",1011432,"2026-07-31 15:41:03.282000 UTC",644,,,,"added","artifacts/11_source_data/H02/site_curve_predictions.csv",TRUE,"source_identical_target_resource_copy",TRUE
"notebooks","directory","",,"2026-08-15 09:30:24.000000 UTC",755,,,,"directory","",,"2026-08-20 08:39:24.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"notebooks/hypotheses","directory","",,"2026-08-15 09:30:24.000000 UTC",755,,,,"directory","",,"2026-08-20 08:39:24.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"notebooks/hypotheses/H02_files","directory","",,"2026-08-01 12:36:55.000000 UTC",755,,,,"directory","",,"2026-08-20 08:39:07.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"notebooks/hypotheses/H02_files/figure-html","directory","",,"2026-08-01 12:36:36.000000 UTC",755,,,,"directory","",,"2026-08-20 08:38:46.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"notebooks/hypotheses/H02_files/figure-html/fig-h02-paired-placement-curves-1.png","file","c7bfc7965a328210a8b1c35a9a57ef1bc019cb22b368411a8c9c5155a2e071eb",435566,"2026-08-01 12:36:25.965373 UTC",644,,,,"file","c7bfc7965a328210a8b1c35a9a57ef1bc019cb22b368411a8c9c5155a2e071eb",435566,"2026-08-20 08:38:41.235197 UTC",644,,,,"mtime_only",,,"byte_identical_target_resource_refresh",TRUE
"notebooks/hypotheses/H02.html","file","df73f2f87d6d3bdc9acd44493a113e18b510884f0ecb8e2214b39dc3d71cb164",270001,"2026-08-01 12:36:31.257792 UTC",644,,,,"file","736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9",296427,"2026-08-20 08:39:22.003266 UTC",644,,,,"content_changed",,,"target_result_html",TRUE
"search.json","file","23e1dca294e773e7a9f8d56048ee5719392e7a80fb6105576133a08db3cb41b7",1808701,"2026-08-20 06:50:34.289915 UTC",644,,,,"file","cec1c3f5973ec33b4f97f9f89416ef6831debda03e67fe70cc2125129003340d",1815476,"2026-08-20 08:39:02.365540 UTC",644,,,,"content_changed",,,"normal_target_render_site_index",TRUE
"site_libs","directory","",,"2026-08-15 09:29:26.000000 UTC",755,,,,"directory","",,"2026-08-20 08:39:10.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"site_libs/bootstrap","directory","",,"2026-08-20 06:50:34.179837 UTC",755,,,,"directory","",,"2026-08-20 08:39:10.000000 UTC",755,,,,"mtime_only",,,"directory_mtime_touch",TRUE
"site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css","file","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c",498438,"2026-08-20 06:50:12.565000 UTC",644,,,,"file","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c",498438,"2026-08-20 08:38:42.048000 UTC",644,,,,"mtime_only",,,"byte_identical_shared_asset_touch",TRUE
"sitemap.xml","file","cb826804fee7d5325fb3a095ed9bd15e4d3f1f1917a84475ed46abae4cdcfec3",5400,"2026-08-20 06:50:34.195893 UTC",644,,,,"file","8efc81a1dc79d37f6bcf580a795fc045d11d723d1b9e5610de2adfcc9398e76f",5400,"2026-08-20 08:39:02.341016 UTC",644,,,,"content_changed",,,"normal_target_render_site_index",TRUE
