"path","role","sha256","bytes","current_sha256","current_bytes","exact","required","status"
"audit/report_harmonization/owner_orders/33f_h02_result_target_render.md","owner_order","6fb5a134413c65139559fef0334b4e539ea1165c5cf31ce55ffebb7e23ed290f",9271,"6fb5a134413c65139559fef0334b4e539ea1165c5cf31ce55ffebb7e23ed290f",9271,TRUE,TRUE,"PASS"
"audit/report_harmonization/report017_h01_order32k_companion_independent_acceptance.md","accepted_preceding_serial_target","ba3804ebf425ae760ea7d71aee5af3a23e0d38cbe59fa691b9fc9be96cb72cc7",5596,"ba3804ebf425ae760ea7d71aee5af3a23e0d38cbe59fa691b9fc9be96cb72cc7",5596,TRUE,TRUE,"PASS"
"audit/report_harmonization/report017_h01_order32k_companion_acceptance_manifest.csv","accepted_preceding_serial_manifest","261c447955b9c432a9615db295cf6104cd1535614edeec1b41cffd81df71d891",3121,"261c447955b9c432a9615db295cf6104cd1535614edeec1b41cffd81df71d891",3121,TRUE,TRUE,"PASS"
"audit/report_harmonization/report017_h02_order33_source_independent_acceptance.md","source_acceptance","127a25b9d95fbb41d4506cb1ed66df775ec01e40d3d3504a5980054dd7911d24",2618,"127a25b9d95fbb41d4506cb1ed66df775ec01e40d3d3504a5980054dd7911d24",2618,TRUE,TRUE,"PASS"
"audit/report_harmonization/report017_h02_order33_source_acceptance_manifest.csv","source_acceptance_manifest","9bb334b78d36cbbfbd7bb53702166abcdac54b8b613a1d3262e49bc15fe0562a",2413,"9bb334b78d36cbbfbd7bb53702166abcdac54b8b613a1d3262e49bc15fe0562a",2413,TRUE,TRUE,"PASS"
"notebooks/hypotheses/H02.qmd","render_target_source","4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",57148,"4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",57148,TRUE,TRUE,"PASS"
"tests/hypotheses/H02/test_h02_reader_report.R","reader_test","0b044d2995645f6cfa50e28e2bdf330b8801002761a84520b169a1a3eb6771db",16044,"0b044d2995645f6cfa50e28e2bdf330b8801002761a84520b169a1a3eb6771db",16044,TRUE,TRUE,"PASS"
"tests/hypotheses/H02/test_h02_paired_placement_display.R","paired_placement_test","873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a",3790,"873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a",3790,TRUE,TRUE,"PASS"
"tests/hypotheses/H02/test_h02_preparation_report.R","held_companion_test","ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8",14895,"ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8",14895,TRUE,TRUE,"PASS"
"_quarto-nathealth.yml","profile","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE,TRUE,"PASS"
"scripts/report_harmonization/post_render_gt_html_semantics.R","semantic_wrapper","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,TRUE,TRUE,"PASS"
"scripts/report_harmonization/repair_gt_html_semantics.R","semantic_engine","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,TRUE,TRUE,"PASS"
