artifact_id,path,sha256,bytes,rows,producer,r_version,decision_id,status
h05_input_audit,artifacts/06_model_data/H05/H05_input_audit.csv,cc0ec125ca692c277e2e2b8820afa79a9023ab5177d16ac5bccb492b6386c14e,4445,21,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
frames,artifacts/06_model_data/H05/H05_model_frame_index.csv,54e34b4fc946ccc6496662a27a69e4734f2c315c741094542d0728da14595db9,231701,544,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
effects,artifacts/09_tables/H05/H05_model_effects.csv,a85e88f8543939adeae1d30ebc722f36546c560a09d90a16d3e0ef08d8a79f0b,330305,544,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
tests,artifacts/09_tables/H05/H05_model_tests.csv,fb9c19118e093a0d3378ad0043a4eb5e9bd0f2a4a848579a9dc48ad2dad4a5f6,191474,544,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
master,artifacts/09_tables/H05/H05_model_results_master.csv,efdfd8d03b988d68c7d828f1258ad955d35dca8ab5b7b7683ebf4cdcd041097e,448088,544,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
diagnostics,artifacts/08_diagnostics/H05/H05_model_diagnostics.csv,918eda5b13c2d3ed055099197c830eb814087aa9c0a87638af6be946d12afdb2,333907,544,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
model_manifest,artifacts/07_models/H05/H05_model_manifest.csv,aa35c6aece1d7e8665fd452b356a6c1f4d414ac639460f1be1473d8e74d0b7a9,696727,1632,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
influence,artifacts/08_diagnostics/H05/H05_participant_influence_screen.csv,bb4fbba67a31bc9fcfbd595d4432284bc06015700fecd39edc3d5348be8b05e6,574171,1632,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
random_site,artifacts/09_tables/H05/H05_random_site_sensitivity.csv,82177666cd3ae9a0b8bea1e8cc9472d46048a391fe5c71e802e485b37ba8f108,109334,136,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
loo,artifacts/09_tables/H05/H05_leave_one_site_out_refits.csv,4f3a5369afc79fcbd0cd895b0e5e20edd88034c395f871319ed682b153cd916b,243163,612,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
loo_summary,artifacts/09_tables/H05/H05_leave_one_site_out_summary.csv,096e7fcf9aa4ded9115d7ce7b5858f6f389758347219f1b401bb9e8a9c0a6e70,15550,68,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
spearman,artifacts/09_tables/H05/H05_descriptive_spearman.csv,b3172c73bafe3250b1e020a07e7a08166b7c4d7a73f3b1a7d9b944357164752e,216365,544,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
site_spearman,artifacts/08_diagnostics/H05/H05_site_stratified_spearman.csv,d4a0f7d9b97af63e1525c34f01290d81033cb1ff9cd7d6f8ebbff78ecf1ed4b1,438094,1156,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
loo_spearman,artifacts/08_diagnostics/H05/H05_leave_one_site_out_spearman.csv,c9ddaa0a58ba8a8fb8febf1091efbee965b646ded0238bdaf2ec05364436604e,443582,1156,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
paired,artifacts/09_tables/H05/H05_paired_placement_comparison.csv,de4bdacac6fd8f6b6157581d3d09c87be754f7a10cccef2d4835746122552cf0,36508,68,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
gap,artifacts/09_tables/H05/H05_manuscript_prepared_comparison.csv,995f0e4ea9349ea4aa5c523357900c4feb9a39bca039b936075582f58ca554ec,18079,68,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
v0_to_new,artifacts/09_tables/H05/H05_v0_to_new_comparison.csv,0a8b3c22263f0a1866e5bcf3c3959ab348839706f1a132251b87a6d53bed1aac,36415,68,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
diagnostic_plot,artifacts/11_source_data/H05/H05_primary_diagnostic_plot_data.csv,5bec7ebdec85b724a876ffbecb9cff0fe589d38ea69759708b2c2d3493a4755a,33507974,94264,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
family_audit,artifacts/09_tables/H05/H05_family_audit.csv,093f30ea437b8c0442af6813cf34fb327ceacaf3853bd611d3d55f20b8b791f5,238,3,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
primary_highlights,artifacts/09_tables/H05/H05_primary_bh_highlights.csv,48c073267e8a2309eff3ca41ba956917980be81a6982d5c3de44cdfb8dbebdbc,915,0,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
model_frames_rds,artifacts/06_model_data/H05/H05_model_frames.rds,191be716c6e8282fe1a30f662303ea28819e9ef4ad32663b8b1c37e4db9ae630,231372,,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
inferential_model_objects_rds,artifacts/07_models/H05/H05_inferential_model_objects.rds,c26937d15c7a1873958acecd31736c0e392584c27e7f28e3effbd38a0c8ad2a8,4853068,,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
metric011_reconciliation,artifacts/12_manifests/H05/H05_metric011_reconciliation.csv,fc55f42f90b5b1269b88ee7fbfdd5409afa6f13876c3c2e271e757edc42536f9,7696,22,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
metric011_primary_l10_frame_audit,artifacts/12_manifests/H05/H05_metric011_primary_l10_frame_audit.csv,2cfb644d93e5ad587fcba2d23bdc723848136fef11b1efaa4d578a0ad2f6dc0e,613,4,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
metric011_bh_change_audit,artifacts/12_manifests/H05/H05_metric011_bh_change_audit.csv,3a9f43924d7c72e881b846b10e8073bcf05a7653c6a0b3dc3abceb871061ab50,44840,204,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
metric011_l10_result_change_audit,artifacts/12_manifests/H05/H05_metric011_l10_result_change_audit.csv,b147ef7048a05a0fafea259ba4f3696669d4703f83c6564cd80fe04a20e572f0,9509,16,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
metric011_input_cell_audit,artifacts/12_manifests/H05/H05_metric011_input_cell_audit.csv,4f8bb97b5087c23546c0067dc09a1af3ed5d115b2bbebd68dc92edaf3635839d,1652,16,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
metric011_execution_environment,artifacts/12_manifests/H05/H05_metric011_execution_environment.csv,f63fee00ba31c36c662d40844c5bdc9dcaf4b81546d6a56c4483cfdb6e14ad6f,467,13,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
metric011_package_versions,artifacts/12_manifests/H05/H05_metric011_package_versions.csv,2b5fbfdaadca646f4cf1896c8bd25088b3612085fb1ab2e9e076743854084a2b,163,11,scripts/hypotheses/H05/reseal_h05_l10_metric011.R,4.6.1,METRIC-011,PASS
