"index","id","label","kind","relationship","member","sha256","cx","cy","key","part","pixel_width","pixel_height","width_inches","height_inches","aspect_error","expected_cx","expected_cy"
2,"311","Main Table 1, part 1 of 2","PNG","rId1","word/media/image1.png","f2df0ce73bc31f889d457397596257e2e3f7f9c7610ccc0ec9659efc33a2f9b7",9646920,4238798,"main_table_1",1,2640,1160,10.55,4.63560586176728,0.413793103769422,9646920,4238798
3,"312","Main Table 1, part 2 of 2","PNG","rId2","word/media/image2.png","a8e5892c59138ec0b4a13f272d3d05e3f67c21bc641d1194e877399564b02a70",9646920,4041474,"main_table_1",2,2640,1106,10.55,4.41980971128609,1.95298372581601,9646920,4041474
4,"313","Main Table 2, part 1 of 1","PNG","rId3","word/media/image3.png","cf05ca1aac8f6a3681318636b6ccbc31824e57e43d1c8f651e99fbedb81c6d0e",9646920,4828837,"main_table_2",1,1794,898,10.55,5.28088035870516,0.648106904700398,9646920,4828837
6,"314","Main Table 3, part 1 of 4","PNG","rId4","word/media/image4.png","0ae5066b9063781a0485f1b5d3888687bfd4fc419f86eda424e2333d009b1fa6",9646920,5272540,"main_table_3",1,2320,1268,10.55,5.7661198600175,1.38801261782646,9646920,5272540
7,"315","Main Table 3, part 2 of 4","PNG","rId5","word/media/image5.png","9fd4d40280b22912e5add64cd34963d986099bc2ac9ef3dd92193b492d640c3f",9646920,4099941,"main_table_3",2,2320,986,10.55,4.48375,0,9646920,4099941
8,"316","Main Table 3, part 3 of 4","PNG","rId6","word/media/image6.png","8cb6bba7991cdca2ffcb60fd94c5dd2022d0fd1e592ab94a5de5f77115088d15",9646920,4898306,"main_table_3",3,2320,1178,10.55,5.35685258092738,1.5619694404304,9646920,4898306
9,"317","Main Table 3, part 4 of 4","PNG","rId7","word/media/image7.png","70e68224e2b514462236563f396885d82dc7c786189dad85f58b6f274565fdc1",9394806,5669280,"main_table_3",4,2320,1400,10.2742847769029,6.2,0.857142856344581,9394806,5669280
11,"318","Supplementary Table S1, part 1 of 1","PNG","rId19","word/media/image8.png","406ac771d7810394aaa171616bc60127ce4e24479fc12b694a2edede1ce13689",8062976,5669279,"supp_table_s1",1,1792,1260,8.81777777777778,6.1999989063867,1.42222222220153,8062976,5669279
12,"319","Supplementary Table S2, part 1 of 3","PNG","rId20","word/media/image9.png","0114e1aad3df65f515b4c5d06e6f27d83ce2e0273b063c20dffaf37872caa618",13953807,8138160,"supp_table_s2",1,2980,1738,15.2600688976378,8.9,0.134637514129281,13953807,8138160
13,"320","Supplementary Table S2, part 2 of 3","PNG","rId22","word/media/image10.png","43f113ff011a74e5f4cd62b480f604df097262808b98f9ba0d2a699e0f15362e",14218920,6928144,"supp_table_s2",2,2980,1452,15.55,7.5767104111986,1.87327823601663,14218920,6928144
14,"321","Supplementary Table S2, part 3 of 3","PNG","rId23","word/media/image11.png","2bfcf9f9725410446ffe24bd6dab6a47b5864662f9040d630b184e43731fa7b3",14218920,7061745,"supp_table_s2",3,2980,1480,15.55,7.72281824146982,1.01351351290941,14218920,7061745
15,"322","Supplementary Table S3, part 1 of 1","PNG","rId24","word/media/image12.png","8139eb4ea512629f6457ad4f5dc6c586304b65c14f3324f22b6707a118b1cb4b",6962681,5669280,"supp_table_s3",1,1798,1464,7.61448053368329,6.2,0.31147541012615,6962681,5669280
21,"323","Supplementary Table S4, part 1 of 2","PNG","rId25","word/media/image13.png","dc86d71f8a4731871bba6638fe979b0a38ad6da32e15e4f1d28d77e6a3443872",9646920,4737518,"supp_table_s4",1,1796,882,10.55,5.18101268591426,1.26077097468078,9646920,4737518
22,"324","Supplementary Table S4, part 2 of 2","PNG","rId26","word/media/image14.png","fe8e98ad60b10b6308253c2fa676137311b245796001b97d33aa6163ec364018",9646920,5124254,"supp_table_s4",2,1796,954,10.55,5.60395231846019,1.56813417188823,9646920,5124254
24,"325","Supplementary Table S5, part 1 of 1","PNG","rId27","word/media/image15.png","da4420467049b14411cbf564300b6aff329816a75d489045a0abfb4c999083c6",9646920,4235233,"supp_table_s5",1,1804,792,10.55,4.6317071303587,0.388888888061047,9646920,4235233
25,"326","Supplementary Table S6, part 1 of 1","PNG","rId29","word/media/image16.png","4aa092ae5b952c3508e049e4452e59ec68f34d94e68ae6c95b7ab9eb9688f5a4",9646920,4235233,"supp_table_s6",1,1804,792,10.55,4.6317071303587,0.388888888061047,9646920,4235233
28,"327","Supplementary Table S7, part 1 of 3","PNG","rId30","word/media/image17.png","99283fa8c24ed435ff669e6b8328ff0b76ba28b4c88cc21dfa972464a9ed7a73",9646920,5534059,"supp_table_s7",1,1792,1028,10.55,6.05212051618548,0.0311284046620131,9646920,5534059
29,"328","Supplementary Table S7, part 2 of 3","PNG","rId31","word/media/image18.png","2f63ea9d1590953d6301f7672c0130c43ad7fa0b1f6aaae99f653420d8ab1445",9646920,5437159,"supp_table_s7",2,1792,1010,10.55,5.94614938757655,0.269306929782033,9646920,5437159
30,"329","Supplementary Table S7, part 3 of 3","PNG","rId32","word/media/image19.png","6a96e5200bc4c58fa708605c7deea05f76f9b859df30390076e8e87fbffb36ff",6622783,5669280,"supp_table_s7",3,1792,1534,7.2427635608049,6.2,0.415906127542257,6622783,5669280
31,"330","Supplementary Table S8, part 1 of 1","PNG","rId33","word/media/image20.png","08ad149d4a8538efec7173f73b1f0f2dc0ceb2e8b4fcb368f910d971f7c559e8",8475573,5669279,"supp_table_s8",1,1794,1200,9.26899934383202,6.1999989063867,0.894999999552965,8475573,5669279
38,"331","Supplementary Table S9, part 1 of 1","PNG","rId34","word/media/image22.png","aa5bb0381f9f8880757a46cfe210aa00b3723d3ccb587aa59dc475a75984c8f6",9646920,1946591,"supp_table_s9",1,1794,362,10.55,2.1288178040245,2.17127071879804,9646920,1946591
39,"332","Supplementary Table S10, part 1 of 2","PNG","rId36","word/media/image23.png","c578a78077103fa0756fe2aefbc19c1dbb44fd694f76a395ca4849a802ecd1f5",9646920,5260986,"supp_table_s10",1,1808,986,10.55,5.7534842519685,0.43813387490809,9646920,5260986
40,"333","Supplementary Table S10, part 2 of 2","PNG","rId37","word/media/image24.png","c070b82780bdfbc9b26d090b8f232fe5acfb3afc72d027bdc97174ff529d4629",9646920,5399714,"supp_table_s10",2,1808,1012,10.55,5.9051990376203,0.126482212916017,9646920,5399714
42,"334","Supplementary Table S11, part 1 of 1","PNG","rId38","word/media/image25.png","085266979acbcf2081a0bc95d98050d7071b95def61ac7bb6f060cf20a935708",9093200,5669280,"supp_table_s11a",1,1790,1116,9.94444444444444,6.2,0,9093200,5669280
43,"335","Supplementary Table S11, part 1 of 1","PNG","rId39","word/media/image26.png","18ea22e03f53a7ac6da7ce68144f544abf86e260ef0acfcd9f321c64b39a12e6",9646920,5012086,"supp_table_s11b",1,1790,930,10.55,5.48128390201225,1.78494623675942,9646920,5012086
45,"336","Supplementary Table S12, part 1 of 1","PNG","rId40","word/media/image27.png","4be6ed86410ab60a7c4ee030dc899d4c932eaaccd738f8fbb29f8822f343248f",9646920,5205250,"supp_table_s12",1,1794,968,10.55,5.69253062117235,0.0619834717363119,9646920,5205250
48,"337","Supplementary Table S13, part 1 of 1","PNG","rId41","word/media/image29.png","1cbbf6ecead455b33f0394abc28804d17bf5ae8063cac617b3f487cfb5da42e8",9646920,5140722,"supp_table_s13",1,1794,956,10.55,5.62196194225722,0.263598326593637,9646920,5140722
50,"338","Supplementary Table S14, part 1 of 1","PNG","rId42","word/media/image30.png","5a01c243e5bb113aa296a56c7f87a21df6567cbd10166bf2d9e3208e89e4f4ce",9480471,5669280,"supp_table_s14",1,1796,1074,10.367969160105,6.2,0.955307262018323,9480471,5669280
52,"339","Supplementary Table S15, part 1 of 1","PNG","rId43","word/media/image31.png","f69bfc0cd6f58e0e34adc2f2c41fb82ec92f9af79635436b9c34e45b1f8ce78c",9646920,2489527,"supp_table_s15",1,1798,464,10.55,2.72257983377078,2.875,9646920,2489527
