placement,activity,activity_code,display_order,unique_participant_hours,long_rows,effective_weighted_hours,participants,participant_days,sites,activity_label,model_order
Near-eye,Sleeping,sleeping,1,5906,5906,5819.666666666668,126,714,9,Sleeping,2
Near-eye,At home,home,2,5105,5105,4889.166666666667,126,709,9,At home,1
Near-eye,On the road with public transport/car,road_vehicle,3,818,818,679.4999999999998,111,369,9,On the road with public transport/car,3
Near-eye,Working in the office/from home,working_indoor,4,3624,3624,3498.0000000000005,124,511,9,Working in the office/from home,4
Near-eye,Outdoors,outdoors,5,1422,1422,1248.6666666666667,121,480,9,Outdoors,5
Near-eye,Other/unspecified activity,other,6,391,391,391,72,159,9,Other/unspecified activity,6
Chest,Sleeping,sleeping,1,7155,7155,7039.666666666668,150,868,8,Sleeping,2
Chest,At home,home,2,6170,6170,5887.000000000001,150,859,8,At home,1
Chest,On the road with public transport/car,road_vehicle,3,1056,1056,891.9999999999998,135,460,8,On the road with public transport/car,3
Chest,Working in the office/from home,working_indoor,4,4403,4403,4242.833333333333,148,609,8,Working in the office/from home,4
Chest,Outdoors,outdoors,5,1656,1656,1435.5000000000002,143,553,8,Outdoors,5
Chest,Other/unspecified activity,other,6,631,631,631,94,232,8,Other/unspecified activity,6
