run_id,scenario_id,placement,participants,participant_days,unique_participant_hours,long_rows,effective_weighted_hours,sites,categories,exact_zero_unique_hours,working_power,formula
main__near_eye,primary_dataset,Near-eye,126,724,16526,17266,16526.000000000022,9,6,4784,1.539919,geo_medi_1h ~ site + activity
main__chest,primary_dataset,Chest,150,875,20128,21071,20128.000000000022,8,6,5923,1.539919,geo_medi_1h ~ site + activity
exactly_one__near_eye,exactly_one_category,Near-eye,126,724,15810,15810,15810,9,6,4746,1.539919,geo_medi_1h ~ site + activity
exactly_one__chest,exactly_one_category,Chest,150,875,19210,19210,19210,8,6,5862,1.539919,geo_medi_1h ~ site + activity
retain_coselected_other__near_eye,retain_coselected_other,Near-eye,126,724,16526,17333,16526.00000000002,9,6,4784,1.539919,geo_medi_1h ~ site + activity
retain_coselected_other__chest,retain_coselected_other,Chest,150,875,20128,21190,20128.000000000015,8,6,5923,1.539919,geo_medi_1h ~ site + activity
exclude_other_only__near_eye,exclude_other_only,Near-eye,126,724,16135,16875,16135.000000000022,9,5,4746,1.539919,geo_medi_1h ~ site + activity
exclude_other_only__chest,exclude_other_only,Chest,150,875,19497,20440,19497.000000000022,8,5,5871,1.539919,geo_medi_1h ~ site + activity
unweighted_long__near_eye,unweighted_long_rows,Near-eye,126,724,16526,17266,17266,9,6,4784,1.539919,geo_medi_1h ~ site + activity
unweighted_long__chest,unweighted_long_rows,Chest,150,875,20128,21071,21071,8,6,5923,1.539919,geo_medi_1h ~ site + activity
gap_timing_unaware__near_eye,gap_timing_unaware,Near-eye,126,710,16242,16961,16242.00000000002,9,6,4704,1.539919,geo_medi_1h ~ site + activity
gap_timing_unaware__chest,gap_timing_unaware,Chest,150,860,19827,20749,19827.000000000022,8,6,5840,1.539919,geo_medi_1h ~ site + activity
paired_common__near_eye,paired_common_sample,Near-eye,110,625,14308,15001,14308.000000000022,8,6,4192,1.539919,geo_medi_1h ~ site + activity
paired_common__chest,paired_common_sample,Chest,110,625,14308,15001,14308.000000000022,8,6,4290,1.539919,geo_medi_1h ~ site + activity
working_power_1_30__near_eye,working_power_1_30,Near-eye,126,724,16526,17266,16526.000000000022,9,6,4784,1.3,geo_medi_1h ~ site + activity
working_power_1_30__chest,working_power_1_30,Chest,150,875,20128,21071,20128.000000000022,8,6,5923,1.3,geo_medi_1h ~ site + activity
working_power_1_80__near_eye,working_power_1_80,Near-eye,126,724,16526,17266,16526.000000000022,9,6,4784,1.8,geo_medi_1h ~ site + activity
working_power_1_80__chest,working_power_1_80,Chest,150,875,20128,21071,20128.000000000022,8,6,5923,1.8,geo_medi_1h ~ site + activity
mundlak__near_eye,mundlak_within_between,Near-eye,126,724,16526,17266,16526.000000000022,9,6,4784,1.539919,geo_medi_1h ~ site + activity + between_activity_1 + between_activity_2 + between_activity_3 + between_activity_4 + between_activity_5
mundlak__chest,mundlak_within_between,Chest,150,875,20128,21071,20128.000000000022,8,6,5923,1.539919,geo_medi_1h ~ site + activity + between_activity_1 + between_activity_2 + between_activity_3 + between_activity_4 + between_activity_5
