run_id,scenario_id,placement,frame_id,working_power,formula_id
exactly_one__near_eye,exactly_one_category,Near-eye,exactly_one_near,1.539919,primary_full
exactly_one__chest,exactly_one_category,Chest,exactly_one_chest,1.539919,primary_full
retain_coselected_other__near_eye,retain_coselected_other,Near-eye,other_retained_near,1.539919,primary_full
retain_coselected_other__chest,retain_coselected_other,Chest,other_retained_chest,1.539919,primary_full
exclude_other_only__near_eye,exclude_other_only,Near-eye,other_excluded_near,1.539919,primary_full
exclude_other_only__chest,exclude_other_only,Chest,other_excluded_chest,1.539919,primary_full
unweighted_long__near_eye,unweighted_long_rows,Near-eye,unweighted_near,1.539919,primary_full
unweighted_long__chest,unweighted_long_rows,Chest,unweighted_chest,1.539919,primary_full
gap_timing_unaware__near_eye,gap_timing_unaware,Near-eye,gap_near,1.539919,primary_full
gap_timing_unaware__chest,gap_timing_unaware,Chest,gap_chest,1.539919,primary_full
paired_common__near_eye,paired_common_sample,Near-eye,paired_near,1.539919,primary_full
paired_common__chest,paired_common_sample,Chest,paired_chest,1.539919,primary_full
working_power_1_30__near_eye,working_power_1_30,Near-eye,main_near,1.3,primary_full
working_power_1_30__chest,working_power_1_30,Chest,main_chest,1.3,primary_full
working_power_1_80__near_eye,working_power_1_80,Near-eye,main_near,1.8,primary_full
working_power_1_80__chest,working_power_1_80,Chest,main_chest,1.8,primary_full
mundlak__near_eye,mundlak_within_between,Near-eye,mundlak_near,1.539919,secondary_mundlak_audit
mundlak__chest,mundlak_within_between,Chest,mundlak_chest,1.539919,secondary_mundlak_audit
