run_id,sensitivity_id,omitted_participant,omitted_model_row_id,participants,participant_days,diagnostic_status,residual_status,p_raw_H01-F1-site,p_raw_H01-F2-photoperiod,p_raw_H01-F3-latitude,p_raw_H01-F4-site-latitude-adequacy,p_adjusted_complete_17_H01-F1-site,p_adjusted_complete_17_H01-F2-photoperiod,p_adjusted_complete_17_H01-F3-latitude,p_adjusted_complete_17_H01-F4-site-latitude-adequacy,estimate_practical_photoperiod_centered_hours,estimate_practical_absolute_latitude_10deg_centered,conf_low_practical_photoperiod_centered_hours,conf_low_practical_absolute_latitude_10deg_centered,conf_high_practical_photoperiod_centered_hours,conf_high_practical_absolute_latitude_10deg_centered,term_p_raw_photoperiod_centered_hours,term_p_raw_absolute_latitude_10deg_centered
main__chest__all_available,omit_highest_dfbeta_participant,KNUST::KNUST_S007,,151,731,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,6.103073549369742e-6,1.4446725274427539e-10,2.722848421014156e-7,0.1263940885398495,1.4821750048469372e-5,2.4559432966526816e-9,1.1572105789310164e-6,0.15347853608410295,0.026712015088558357,-0.020534870809253713,0.018956030812000993,-0.028057961472266364,0.03446799936511572,-0.013011780146241061,1.4762280485872564e-11,8.801419170219767e-8
main__chest__all_available,omit_maximum_mder_participant_day,KNUST::KNUST_S007,KNUST::KNUST_S007::2024-11-19,151,731,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,6.103073549369742e-6,1.4446725274427539e-10,2.722848421014156e-7,0.1263940885398495,1.4821750048469372e-5,2.4559432966526816e-9,1.1572105789310164e-6,0.15347853608410295,0.026712015088558357,-0.020534870809253713,0.018956030812000993,-0.028057961472266364,0.03446799936511572,-0.013011780146241061,1.4762280485872564e-11,8.801419170219767e-8
main__chest__paired_common_sample,omit_highest_dfbeta_participant,IZTECH::IZTECH_S017,,106,483,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,9.510670112903761e-4,9.811777422838763e-10,0.017175445851398997,0.004575631521532183,0.0023097341702766274,1.6680021618825898e-8,0.04171179706768328,0.012964289311007852,0.025933240986789844,-0.012825700530617315,0.018151423667267925,-0.023389498890759246,0.03371505830631177,-0.002261902170475385,6.504281823688548e-11,0.01733011973382822
main__chest__paired_common_sample,omit_maximum_mder_participant_day,IZTECH::IZTECH_S011,IZTECH::IZTECH_S011::2025-04-16,107,488,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,9.634946302262464e-4,2.9908988426271004e-10,0.014684429832577402,0.0051807700654388136,0.002339915530549455,5.08452803246607e-9,0.0356621867362594,0.014678848518743307,0.027407868301934334,-0.013502017016512229,0.019475070186581678,-0.02435301801194362,0.03534066641728699,-0.0026510160210808376,1.2728830712538654e-11,0.014735949178909765
main__glasses__all_available,omit_highest_dfbeta_participant,RISE::RISE_S001,,136,696,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,6.134776097477682e-5,4.8605849948792366e-12,7.400889197974407e-4,0.0029488422022082854,2.607279841428015e-4,8.262994491294702e-11,0.002516302327311298,0.01002606348750817,0.025925654025735653,-0.016355388167797243,0.018983896079188666,-0.025792917408705533,0.03286741197228264,-0.006917858926888952,2.480561532596062e-13,6.82164732450141e-4
main__glasses__all_available,omit_maximum_mder_participant_day,RISE::RISE_S001,RISE::RISE_S001::2025-03-05,137,701,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,5.8525472259101684e-5,2.8882788390759774e-12,9.359580741604486e-4,0.0023718981600908107,2.4873325710118215e-4,4.9100740264291616e-11,0.003182257452145525,0.00979811474354101,0.025636412259028483,-0.015902531158875383,0.018838810161602416,-0.025268682977028747,0.03243401435645455,-0.0065363793407220185,1.448655956825383e-13,8.75444694581688e-4
main__glasses__paired_common_sample,omit_highest_dfbeta_participant,RISE::RISE_S001,,106,483,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,0.002968131949665601,4.795726916868748e-9,0.029894022847984102,0.009689262702687858,0.006568926679790184,8.152735758676872e-8,0.06352479855196622,0.026873332507590726,0.023528814734635375,-0.01107485769305729,0.016033589324440618,-0.021105217222805412,0.031024040144830133,-0.0010444981633091696,7.619045342823929e-10,0.030459573746743615
main__glasses__paired_common_sample,omit_maximum_mder_participant_day,RISE::RISE_S001,RISE::RISE_S001::2025-03-05,107,488,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,0.0028225778863858147,2.7131056970611375e-9,0.034833942159077536,0.008304181801534579,0.006568926679790184,4.6122796850039335e-8,0.07402212708803976,0.023528515104347975,0.023248975221242557,-0.0106144416628509,0.015957445021634726,-0.020512810813248645,0.03054050542085039,-7.160725124531545e-4,4.122259381700772e-10,0.03557495080881492
manuscript_prepared_data__chest__all_available,omit_highest_dfbeta_participant,KNUST::KNUST_S007,,153,727,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,7.549359824596225e-6,3.5078012336145743e-9,1.3298539703039204e-5,0.009508413908142766,1.83341595740194e-5,5.963262097144777e-8,3.767919582527775e-5,0.017960337382047446,0.024817086890785524,-0.01743115650141336,0.016876844805454004,-0.02511083885330122,0.032757328976117044,-0.009751474149525496,9.021042127960522e-10,8.640016699573104e-6
manuscript_prepared_data__chest__all_available,omit_maximum_mder_participant_day,KNUST::KNUST_S007,KNUST::KNUST_S007::2024-11-19,154,728,WARN_REVIEW,WARN_GAUSSIAN_DIAGNOSTIC,8.488260169357502e-6,3.3848178220692867e-9,1.646627259139433e-5,0.009004851794545847,2.0614346125582503e-5,5.754190297517788e-8,4.66544390089506e-5,0.01700916450080882,0.02482255249152274,-0.017170929388431982,0.016888973869513463,-0.024820028613315365,0.03275613111353202,-0.0095218301635486,8.660214263377802e-10,1.0835745372233328e-5
