run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,term,term_label,estimate_model,std_error,conf_low_model,conf_high_model,p_raw,effect_type,estimate_practical,conf_low_practical,conf_high_practical,interval_method,status
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,photoperiod_centered_hours,Photoperiod per hour,-0.0132772169124505,0.02069270589689353,-0.05383417521304141,0.02727974138814039,0.5211085524616492,odds_ratio,0.9868105365288652,0.9475892272559144,1.027655240260973,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.00901765795258929,0.01889416801353175,-0.04604954677696022,0.02801423087178162,0.6331684241948796,odds_ratio,0.9910228791833652,0.9549946441118652,1.0284103194926857,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,photoperiod_centered_hours,Photoperiod per hour,-0.03437957340837018,0.01897467556957505,-0.0715692541430693,0.00281010732632894,0.07000687241675613,difference,-0.03437957340837018,-0.0715692541430693,0.00281010732632894,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.02036381804536993,0.01771468158526471,-0.01435631985934381,0.05508395595008367,0.25033145252339595,difference,0.02036381804536993,-0.01435631985934381,0.05508395595008367,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,Photoperiod per hour,0.05631693266526919,0.01357622935580262,0.02970801208204064,0.08292585324849774,3.3509765050505525e-5,ratio,1.1384577887507177,1.0707991359702582,1.2103914667364588,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.01087807511921414,0.01345005918287383,-0.03723970670757907,0.01548355646915079,0.4186444289178031,ratio,0.9752633970870282,0.917825867170773,1.0362953668212092,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,Photoperiod per hour,0.07102186967340754,0.01985765777393331,0.03210157561917643,0.10994216372763864,3.4816117814025796e-4,ratio,1.1776652754635408,1.0767170137632278,1.288078003137785,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.01910436514853103,0.01945533034056342,-0.01902738162630265,0.05723611192336471,0.32611932757598355,ratio,1.044971305723649,0.9571337235233836,1.1408698731939624,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,Photoperiod per hour,0.02941334812267312,0.01077339179353685,0.00829788821600151,0.05052880802934474,0.00632988741903884,ratio,1.0700728571202276,1.0192902927602727,1.1233854846636444,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.03608932055174345,0.01071091222541578,-0.05708232275512813,-0.01509631834835877,7.533271187753864e-4,ratio,0.9202602840392002,0.87683459687734,0.96583665083003,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,photoperiod_centered_hours,Photoperiod per hour,0.15501164081204896,0.03174251402484798,0.09279745654458936,0.21722582507950855,1.0426791199650163e-6,ratio,1.1676715536711018,1.0972394740855735,1.2426246862736812,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.0766899155047137,0.0315531460993523,-0.1385329454583747,-0.01484688555105272,0.01507801408565732,ratio,0.926177002212306,0.8706345673417184,0.9852627860229348,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,photoperiod_centered_hours,Photoperiod per hour,0.106996175069916,0.02557905919496552,0.05686214028936548,0.15713020985046652,2.8773834906425392e-5,ratio,1.1129299975917553,1.0585098744713908,1.170147968773683,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.00295508050998275,0.02619145131499956,-0.0483792207702506,0.05428938179021611,0.9101683891836932,ratio,1.002959451064446,0.9527724074742738,1.0557900843771617,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,photoperiod_centered_hours,Photoperiod per hour,-0.0800881440000471,0.03173483460892654,-0.14228727688887835,-0.01788901111121586,0.01161379962997247,difference,-0.0800881440000471,-0.14228727688887835,-0.01788901111121586,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.01579044266174952,0.02972300651624074,-0.04246557962233166,0.07404646494583071,0.5952433236911274,difference,0.01579044266174952,-0.04246557962233166,0.07404646494583071,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,photoperiod_centered_hours,Photoperiod per hour,-0.01318806466458701,0.00825393500253653,-0.02936548000029312,0.00298935067111909,0.1100894550465491,ratio,0.9868985168281744,0.971061496047767,1.002993823235414,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.02623061153092476,0.00809653140796283,0.01036170157162023,0.04209952149022928,0.0011964107469239,ratio,1.0265776618241853,1.0104155698964197,1.0429982743283,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,photoperiod_centered_hours,Photoperiod per hour,0.03816062762117816,0.01034361153057497,0.017887521551178,0.05843373369117832,2.2487691680004863e-4,ratio,1.0918440898860815,1.0420475133064178,1.1440203075160722,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.01404240792593078,0.00975748804544687,-0.03316673307458678,0.0050819172227252,0.15011037955858963,ratio,0.9681833106187304,0.9264740658637948,1.01177027776453,wald_normal,PASS
