run_id,data_scenario_id,placement,sample_scenario,site,participant_key,local_date,value,metric_support_valid_minutes,metric_support_expected_minutes,.model_row_id
main__chest__all_available,main,chest,all_available,KNUST,KNUST::KNUST_S007,2024-11-19,3.5741020070192846,795,1440,KNUST::KNUST_S007::2024-11-19
main__chest__all_available,main,chest,all_available,UCR,UCR::UCR_S020,2025-07-24,1.717271047644382,1034,1440,UCR::UCR_S020::2025-07-24
main__chest__all_available,main,chest,all_available,UCR,UCR::UCR_S028,2025-08-13,1.335177196204089,1006,1440,UCR::UCR_S028::2025-08-13
main__chest__all_available,main,chest,all_available,UCR,UCR::UCR_S015,2025-07-17,1.282345143548032,933,1440,UCR::UCR_S015::2025-07-17
main__chest__all_available,main,chest,all_available,IZTECH,IZTECH::IZTECH_S011,2025-04-16,1.147335089567547,1286,1440,IZTECH::IZTECH_S011::2025-04-16
main__chest__paired_common_sample,main,chest,paired_common_sample,IZTECH,IZTECH::IZTECH_S011,2025-04-16,1.147335089567547,1286,1440,IZTECH::IZTECH_S011::2025-04-16
main__chest__paired_common_sample,main,chest,paired_common_sample,IZTECH,IZTECH::IZTECH_S017,2025-05-27,1.0995896022215514,1156,1440,IZTECH::IZTECH_S017::2025-05-27
main__chest__paired_common_sample,main,chest,paired_common_sample,IZTECH,IZTECH::IZTECH_S017,2025-06-01,1.0720087955344595,1088,1440,IZTECH::IZTECH_S017::2025-06-01
main__chest__paired_common_sample,main,chest,paired_common_sample,RISE,RISE::RISE_S012,2025-06-11,1.064866794587598,820,1440,RISE::RISE_S012::2025-06-11
main__chest__paired_common_sample,main,chest,paired_common_sample,RISE,RISE::RISE_S013,2025-06-29,1.0602230789021303,756,1440,RISE::RISE_S013::2025-06-29
main__glasses__all_available,main,glasses,all_available,RISE,RISE::RISE_S001,2025-03-05,1.8572919415446438,928,1440,RISE::RISE_S001::2025-03-05
main__glasses__all_available,main,glasses,all_available,BAUA,BAUA::BAUA_S012,2025-07-17,1.0825605171596666,1004,1440,BAUA::BAUA_S012::2025-07-17
main__glasses__all_available,main,glasses,all_available,IZTECH,IZTECH::IZTECH_S016,2025-05-11,1.0172684139708794,1055,1440,IZTECH::IZTECH_S016::2025-05-11
main__glasses__all_available,main,glasses,all_available,BAUA,BAUA::BAUA_S012,2025-07-16,1.0149109851995972,826,1440,BAUA::BAUA_S012::2025-07-16
main__glasses__all_available,main,glasses,all_available,KNUST,KNUST::KNUST_S007,2024-11-20,1.0045338173907754,770,1440,KNUST::KNUST_S007::2024-11-20
main__glasses__paired_common_sample,main,glasses,paired_common_sample,RISE,RISE::RISE_S001,2025-03-05,1.8572919415446438,928,1440,RISE::RISE_S001::2025-03-05
main__glasses__paired_common_sample,main,glasses,paired_common_sample,BAUA,BAUA::BAUA_S012,2025-07-17,1.0825605171596666,1004,1440,BAUA::BAUA_S012::2025-07-17
main__glasses__paired_common_sample,main,glasses,paired_common_sample,IZTECH,IZTECH::IZTECH_S016,2025-05-11,1.0172684139708794,1055,1440,IZTECH::IZTECH_S016::2025-05-11
main__glasses__paired_common_sample,main,glasses,paired_common_sample,BAUA,BAUA::BAUA_S012,2025-07-16,1.0149109851995972,826,1440,BAUA::BAUA_S012::2025-07-16
main__glasses__paired_common_sample,main,glasses,paired_common_sample,BAUA,BAUA::BAUA_S009,2025-06-25,0.9879115588235311,977,1440,BAUA::BAUA_S009::2025-06-25
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,KNUST,KNUST::KNUST_S007,2024-11-19,3.4034718260526153,,,KNUST::KNUST_S007::2024-11-19
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,IZTECH,IZTECH::IZTECH_S017,2025-05-27,1.07449330529849,,,IZTECH::IZTECH_S017::2025-05-27
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,IZTECH,IZTECH::IZTECH_S017,2025-06-01,1.0661294054309798,,,IZTECH::IZTECH_S017::2025-06-01
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,RISE,RISE::RISE_S012,2025-06-11,1.0645496973891768,,,RISE::RISE_S012::2025-06-11
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,UCR,UCR::UCR_S029,2025-08-16,1.0246088774282682,,,UCR::UCR_S029::2025-08-16
