run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,participants,participant_days,observations,sites,derivation_support_hours,derivation_support_status,derivation_support_unavailability_reason,sample_status
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,153,900,153,8,20845.366666666665,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,153,900,153,8,20845.366666666665,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,154,902,902,8,20891.75,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,154,902,902,8,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,154,902,902,8,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,154,902,902,8,20891.75,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,154,818,818,8,10297.716666666667,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,153,743,743,8,2180.1,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,154,861,861,8,6871.416666666667,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,154,902,902,8,20891.75,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,11,m10_midpoint,participant_day,gaussian,clock_hours,154,902,902,8,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,154,902,902,8,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,13,mean_timing_above_250,participant_day,gaussian,clock_hours,154,831,831,8,19336.133333333335,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,14,first_timing_above_250,participant_day,gaussian,clock_hours,154,802,802,8,18634.65,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,15,last_timing_above_250,participant_day,gaussian,clock_hours,154,787,787,8,18358.116666666665,available,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,154,851,851,8,19814.9,available,,FITTED
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,1,interdaily_stability,participant,gaussian,logit,0,0,0,0,,not_applicable,prepared_scenario_unavailable,NON_ESTIMABLE
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,2,intradaily_variability,participant,gaussian,identity,0,0,0,0,,not_applicable,prepared_scenario_unavailable,NON_ESTIMABLE
