run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,converged,positive_definite_hessian,singular,max_gradient,timing_min_hour,timing_max_hour,timing_span_hours,early_cluster_fraction,late_cluster_fraction,timing_cutpoint_hour,observations_within_one_hour_of_cut,fraction_within_one_hour_of_cut,timing_status,shapiro_p,residual_variance_ratio,standardized_residual_over_3_fraction,standardized_residual_over_4_fraction,dharma_uniformity_p,dharma_dispersion_p,dharma_zero_inflation_p,dharma_outlier_p,observed_zero_fraction,simulated_zero_fraction,zero_fraction_ratio,residual_status,observed_below_bound_n,observed_above_bound_n,predicted_below_bound_n,predicted_above_bound_n,prediction_bound_status,audit_upper_threshold,observed_above_audit_threshold_n,predicted_above_audit_threshold_n,audit_threshold_status,fit_error,fit_warnings,diagnostic_status
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,0.29954915533075077,1.5091142451971558,0,0,,,,,,,,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,0.1228187017084855,1.6386609525862257,0,0,,,,,,,,PASS,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,3.0690330277138855e-5,,,,,,,,,NOT_APPLICABLE,2.1302100466837636e-16,2.1839514600123415,0.01441241685144124,0.00554323725055432,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.4711758922203444e-4,,,,,,,,,NOT_APPLICABLE,1.810060413577653e-18,2.6791896819632197,0.01330376940133037,0.00665188470066518,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,7.983658179000486e-7,,,,,,,,,NOT_APPLICABLE,4.686163539079507e-21,12.737051025854695,0.01108647450110864,0.00443458980044345,,,,,,,,WARN_STRONG_GAUSSIAN_MISFIT,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,0.12945005568831824,0.368,0.88,0.705652711243911,0.0942350332594235,0.09274057649667404,1.016114378616172,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,0.01254562258656381,0.336,0.896,0.4304084578713345,0.02444987775061125,0.02317359413202934,1.0550749103186323,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,TRUE,TRUE,FALSE,2.1157120499992743e-6,,,,,,,,,NOT_APPLICABLE,3.2882161670220777e-7,1.617949747493,0.00807537012113055,0.00269179004037685,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,6,0,0,PASS,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,3.818468422047134e-11,0.568,0,0.00291001137325345,0.00464576074332171,0,Inf,WARN_STRONG_TWEEDIE_MISFIT,0,0,0,242,WARN_PREDICTED_BOUND,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.6473222785862165e-6,,,,,,,,,NOT_APPLICABLE,8.988976837653204e-5,1.0747888139874144,0.00554323725055432,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,11,m10_midpoint,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,2.0054358174093068e-6,5,19,14,0,0,,,,PASS,1.8167679433962255e-14,1.2560396916655174,0.00997782705099778,0.00110864745011086,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,TRUE,TRUE,FALSE,2.0327206584624946e-6,-6.899999999999999,14.9,21.799999999999997,0.5521064301552107,0.01662971175166297,16,0,0,PASS,3.789201093632631e-21,2.1493636053998473,0.01219512195121951,0.00776053215077605,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,13,mean_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,9.526957001071424e-7,2.1529062912336387,20.672222183047737,18.5193158918141,0.00120336943441636,0,,,,PASS,1.3495366406996421e-8,1.7074920158759936,0.00601684717208182,0.00120336943441636,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,14,first_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,2.523847797419876e-7,0,20.65,20.65,0.00872817955112219,0,,,,PASS,3.910992394882061e-19,2.0661336138378603,0.01870324189526184,0.00623441396508728,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,15,last_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,7.971721061039716e-6,7.75,23.916666666666668,16.166666666666668,0,0.09529860228716644,,,,PASS,2.912171592605512e-14,2.144101554097076,0.01143583227445997,0.00508259212198221,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.283524397877045e-6,,,,,,,,,NOT_APPLICABLE,4.144325595299156e-20,2.575177973147523,0.00822561692126909,0.00587544065804935,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,1,interdaily_stability,participant,gaussian,logit,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared scenario is unavailable for this metric,,NON_ESTIMABLE
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,2,intradaily_variability,participant,gaussian,identity,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared scenario is unavailable for this metric,,NON_ESTIMABLE
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,9.818620583246228e-5,,,,,,,,,NOT_APPLICABLE,8.807368321608452e-13,1.994807040011472,0.01399688958009331,0.0046656298600311,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,4.53610482509248e-7,,,,,,,,,NOT_APPLICABLE,3.869311408939342e-15,2.7085537312103547,0.01399688958009331,0.0046656298600311,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,3.457500952208648e-7,,,,,,,,,NOT_APPLICABLE,1.4983315748414722e-20,15.447577502074784,0.01555209953343701,0.0062208398133748,,,,,,,,WARN_STRONG_GAUSSIAN_MISFIT,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,6,duration_above_1000,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,0.07724079734662251,0.584,0.728,0.25941596023298474,0.1135303265940902,0.10926905132192846,1.0389980074010818,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,7,duration_above_250_wake,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,0.04931390061588853,0.432,0.488,0.8120177092755574,0.03460207612456748,0.02885813148788927,1.1990407673860912,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,TRUE,TRUE,FALSE,9.85664883046411e-7,,,,,,,,,NOT_APPLICABLE,1.68276998670082e-4,2.037508755409494,0.00792079207920792,0.00198019801980198,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,6,0,0,PASS,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,8.014918654211592e-10,0.288,0,4.840408779613881e-4,0.00657894736842105,0,Inf,WARN_STRONG_TWEEDIE_MISFIT,0,0,0,155,WARN_PREDICTED_BOUND,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.921875991683919e-6,,,,,,,,,NOT_APPLICABLE,4.865651605688065e-4,1.1153878705861042,0.0062208398133748,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,11,m10_midpoint,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,4.836238076677546e-6,5,19,14,0,0,,,,PASS,1.000256539720439e-10,1.809525490591103,0.0077760497667185,0.0015552099533437,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,TRUE,TRUE,FALSE,3.2537172955926508e-6,-6.899999999999999,14.9,21.799999999999997,0.5287713841368584,0.01555209953343701,16,0,0,PASS,1.361189801225943e-19,1.565632597913059,0.01399688958009331,0.00933125972006221,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,1.978150976356119e-7,2.1529062912336387,20.672222183047737,18.5193158918141,0.00174520069808027,0,,,,PASS,2.1061296244383075e-8,1.5902353617920495,0.00698080279232111,0.00174520069808027,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,14,first_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,8.708411769475788e-7,0.08333333333333333,20.65,20.566666666666663,0.00355239786856127,0,,,,PASS,1.5160015930475796e-16,3.3078888845569967,0.01598579040852575,0.00710479573712255,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,15,last_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,5.843503458891064e-7,10.166666666666666,23.916666666666668,13.750000000000002,0,0.10305343511450382,,,,PASS,1.1389433185046251e-10,3.467579024611113,0.00954198473282442,0.00381679389312977,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,5.177867024031002e-5,,,,,,,,,NOT_APPLICABLE,2.785553250271998e-18,2.0269340235787072,0.00836120401337792,0.00668896321070234,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,0.17123649311063777,1.4712915831794542,0,0,,,,,,,,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,PASS
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,0.01465715334331528,1.294293225336095,0,0,,,,,,,,PASS,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,PASS
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.4834313333267346e-4,,,,,,,,,NOT_APPLICABLE,1.8574463539927186e-15,2.1962588810951607,0.01348039215686274,0.00612745098039215,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__glasses__all_available,main,glasses,all_available,primary,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.3102408047416247e-5,,,,,,,,,NOT_APPLICABLE,9.38420994377642e-18,2.8390336736743413,0.01102941176470588,0.00735294117647058,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,9.131824185715232e-6,,,,,,,,,NOT_APPLICABLE,8.033050006169092e-15,7.348875228226344,0.01225490196078431,0.00490196078431372,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,0.17942600555990315,0.12,0.816,0.8419838420599415,0.12622549019607843,0.12322549019607844,1.0243456122205423,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,PASS
main__glasses__all_available,main,glasses,all_available,primary,7,duration_above_250_wake,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,0.00516018098081026,0.064,0.456,0.30089742334938624,0.03392130257801899,0.02838534599728629,1.1950286806883366,WARN_TWEEDIE_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__glasses__all_available,main,glasses,all_available,primary,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,TRUE,TRUE,FALSE,1.7280399333685637e-7,,,,,,,,,NOT_APPLICABLE,3.1746186844624225e-6,1.6596762215932035,0.00763358778625954,0.00305343511450381,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,6,0,0,PASS,,,WARN_REVIEW
main__glasses__all_available,main,glasses,all_available,primary,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,,,,,,,,,NOT_APPLICABLE,,,,,1.7521378552662714e-11,0.28,0,0.00181884067295219,0.00514138817480719,0,Inf,WARN_STRONG_TWEEDIE_MISFIT,0,0,0,187,WARN_PREDICTED_BOUND,,,,NOT_APPLICABLE,,,WARN_REVIEW
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.68768110597739e-6,,,,,,,,,NOT_APPLICABLE,0.01046601430339342,1.4070574160665008,0.00245098039215686,0,,,,,,,,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,PASS
main__glasses__all_available,main,glasses,all_available,primary,11,m10_midpoint,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,1.6075318853836509e-6,5,19,14,0,0,,,,PASS,7.907004446324941e-15,1.4473842515269577,0.01225490196078431,0.00490196078431372,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW
