"item_id","record_type","artifact","line","construct_or_role","referenced_path","disposition","source_excerpt"
"W01","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",115,"controlling abstract","","APPLIED_ORDER71A","Personal light exposure has been associated with sleep and non-communicable diseases, yet how ocular exposure varies across the day, among people and between everyday settings remains poorly understood. We analysed 191 adults at nine sites in seven countries; 184 contributed 1,478 participant-days (near eye: 141 adults, 816 days; complementary chest: 154 adults, 902 days). The shared 24-hour near-eye pattern accounted for 78.9% of full-model R², participant patterns 12.9%, participant-day shifts 6.2% and site patterns 2.0%. Reported light source and immediate setting produced large contrasts, accounting for 24.2% and 30.7%, respectively, of variation in fitted hourly patterns, the next-largest shares after time of day. Site, civil-photoperiod and person-level associations were metric-specific rather than uniform. Only 24.0% of daytime minutes met the recommendation. By resolving variation across sites, people, days and immediate settings, this study lays an empirical foundation for targeted, harmonised exposure monitoring aligned with health-based light recommendations."
"W02","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",142,"near-eye terminology","","APPLIED_ORDER71A","Using the harmonised MeLiDos protocol, we measured personal light across nine sites in seven countries [@spitschan2024; @guidolin2024]. The near-eye sensor characterised ocular light exposure during wear, alongside diaries, light-source and immediate-setting reports, sleep information and questionnaires. The complementary chest sensor provided non-ocular environmental evidence and enabled participation among people reluctant to wear the glasses-mounted sensor. We sought to establish a multisite baseline against the recommendation windows and quantify contributions from local-clock pattern, site and photoperiod, participant and participant-day, immediate environment and routine, and selected person-level correlates. These nested contributions define the multiscale architecture of personal light exposure. Although not global, the protocol enables harmonised measurement elsewhere, progressively closing gaps across locations, civil photoperiods, latitudes and climates and building towards a global account of ocular light exposure."
"W03","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",149,"near-eye terminology","","APPLIED_ORDER71A","The normalised roster comprised 191 participants across Borås (SE), Delft (NL), Dortmund (DE), Tübingen (DE), Munich (DE), Madrid (ES), Izmir (TR), San José (CR) and Kumasi (GH). Of these, 184 contributed 1,478 participant-days with recorded, non-all-zero light data at either position before quality screening. After screening, the near-eye dataset contained 141 participants and 816 participant-days, the complementary chest dataset 154 and 902, and the common sample 112 participants and 643 participant-days. Near-eye measurements provide ocular-exposure evidence during wear, whereas chest measurements are non-ocular; both describe the bedside sleep environment during reported sleep. [Supplementary Table S1](#supp-table-s1) gives the sample flow."
"W04","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",168,"recommendation-results lead","","APPLIED_ORDER71A","Exposure was within the applicable recommendation during 24.0% of daytime minutes, 63.3% of pre-sleep minutes and 87.7% of sleep minutes. This represented 137,792 of 573,712 waking daytime minutes, 81,894 of 129,390 pre-sleep minutes and 336,052 of 383,366 minutes during reported sleep. The sleep quantity describes the bedside sleep environment because the device was not worn at the eye; the Discussion addresses low-light measurement accuracy. [Supplementary Table S3](#supp-table-s3) gives exact numerators, denominators and complementary ranges."
"W05","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",180,"Brown response-scale R-squared","","APPLIED_ORDER71A","Fixed predictors explained 58.4% of variance on the design-standardized response scale, the participant intercept added 2.2 percentage points and observation and distribution variation accounted for 39.4%; conditional R² was 60.6%. Within marginal R², Shapley shares were 94.1% for recommendation window, 4.8% for site and 1.2% for day type. On the design-standardized response scale, site accounted for 2.8 percentage points of variance, compared with a 2.2-point participant-intercept increment and 0.7 percentage points for day type. Thus, the site allocation was about 1.3 times the participant-intercept increment and about four times the day-type allocation. @tbl-brown-adherence summarises the main estimates; [Supplementary Figures S4](#fig-s4) and [S5](#fig-s5) show site-average and site-specific results."
"W06","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",198,"H02 near-eye full-model R-squared","","APPLIED_ORDER71A","Shares of full-model R² showed the same hierarchy: 78.9% for the shared local-clock pattern, 12.9% for participant patterns, 6.2% for participant-day shifts and 2.0% for site patterns. The participant-pattern share was 6.41 times the site-pattern share (3.85 to 15.14), and the combined participant-pattern and participant-day-shift share was 9.49 times the site-pattern share (5.77 to 21.81)."
"W07","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",204,"H02 chest full-model R-squared","","APPLIED_ORDER71A","The chest model had an in-sample R² of 0.737. Of this full-model R², common time accounted for 79.1%, participant patterns 11.9%, participant-day shifts 7.0% and site patterns 2.1%. Common-sample comparisons supported the combined participant-plus-day ordering, but the participant-only contrast was less stable. Cross-position similarity is complementary context, not replication, equivalence or interchangeability. @fig-daily-architecture shows the fitted layers; [Supplementary Tables S5](#supp-table-s5) and [S6](#supp-table-s6) give both decompositions."
"W08","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",215,"near-eye terminology","","APPLIED_ORDER71A","Site associations were stream-specific. Site differences met the FDR criterion for 8 of 17 near-eye metrics: all three level metrics, waking time above 250 lx, the brightest- and darkest-10-hour midpoints, and the mean and last timing above 250 lx. They were not FDR-retained for dose, spectral composition, stability, fragmentation, sustained bright exposure, the other threshold-duration metrics or first timing above 250 lx. Across metric models, conditional R² averaged 36.4%; participant-associated R² averaged 25.6% among participant-day metrics. Among the eight metrics with site support, site-associated part R² averaged 9.0%. These non-additive components reinforce the stronger individual-level contribution in the daily-pattern analysis."
"W09","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",239,"H03 marginal R-squared allocation","","APPLIED_ORDER71A","The primary analysis used a population-mean quasi-Tweedie model with participant-cluster-robust covariance for uncertainty; lag-one residual correlation remained 0.288. Fitted versus observed exact-zero proportions were 39.8% and 27.8%, respectively. An exploratory mixed-effects model quantified variance explained after adding a participant intercept to site-by-light-source fixed terms. Marginal R² was 0.796 and conditional R² 0.876, an 8.0-percentage-point increase in explained variance from the participant intercept. Of the marginal R², light source accounted for 89.3%, site 7.1% and their interaction 3.7%. Separately, an exploratory time-of-day model attributed 60.4% of variation in fitted hourly patterns to global time of day and 24.2% to light-source deviations. Among these two components, light source accounted for 28.6%. The remaining shares were 5.2% for site, 7.6% for participant patterns and 2.5% for day-to-day shifts."
"W10","wording_occurrence","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd",239,"H03 fitted hourly-pattern variation","","APPLIED_ORDER71A","The primary analysis used a population-mean quasi-Tweedie model with participant-cluster-robust covariance for uncertainty; lag-one residual correlation remained 0.288. Fitted versus observed exact-zero proportions were 39.8% and 27.8%, respectively. An exploratory mixed-effects model quantified variance explained after adding a participant intercept to site-by-light-source fixed terms. Marginal R² was 0.796 and conditional R² 0.876, an 8.0-percentage-point increase in explained variance from the participant intercept. Of the marginal R², light source accounted for 89.3%, site 7.1% and their interaction 3.7%. Separately, an exploratory time-of-day model attributed 60.4% of variation in fitted hourly patterns to global time of day and 24.2% to light-source deviations. Among these two components, light source accounted for 28.6%. The remaining shares were 5.2% for site, 7.6% for participant patterns and 2.5% for day-to-day shifts."
