"old_location","old_function_or_content","disposition","reason","proposed_new_location","reuse_instruction","controlling_update_source"
"Title","Environmental and behavioural determinants of the personal light exposome","substantially rewrite","Determinants implies causal attribution and exposome may overstate the measured construct. The environmental and behavioural scope remains valuable.","Title family","Retain the environmental and behavioural breadth, but use architecture, correlates, or variation rather than determinants.","Nature Medicine reviewers; Nature Health scope; accepted observational evidence"
"Abstract","Single-paragraph summary of international measurements, geographic and behavioural associations, person-level factors, and public-health implications","substantially rewrite","The old abstract reflects earlier samples and analyses, gives similar weight to many findings, and overextends toward intervention and health relevance.","Abstract after narrative approval","Rebuild from the approved thesis and accepted claim map. Keep only mapped numbers and state that no health outcome was assessed.","All accepted reports; claim_evidence_map.csv"
"Introduction paragraph 1","Light as a physiological and health-relevant environmental exposure","update","The conceptual opening remains strong, but evidence levels must distinguish experimental physiology, observational health associations, and the present exposure study.","Unheaded Introduction paragraph 1","Reuse the clearest conceptual sentences after citation verification. Introduce the Brown recommendations as a physiology-based benchmark and explain why an everyday ocular-exposure baseline is needed.","Reviewer NM-R1-03; Brown et al. 2022; Nature Health aims; author decision 2026-08-13"
"Introduction paragraph 2","Modern indoor living, light at night, and incomplete characterization of real-world exposure","retain with update","The gap remains relevant and accessible to a broad environmental-health audience.","Unheaded Introduction paragraph 1 or 2","Condense and update terminology. Avoid assuming that measured light patterns produce health outcomes.","Accepted scope and reviewer guidance"
"Introduction paragraph 3","Existing personal light studies are small, geographically narrow, and methodologically heterogeneous","update","The bounded search verified prior near-eye studies, two-country studies, and larger single-country spectacle-mounted samples. The gap is the combined harmonized near-eye, melanopic, international, contextual, and multiscale design.","Unheaded Introduction paragraph 2","Retain the empirical gap with verified current references. Do not say first, largest, or uniquely international.","first_largest_discovery package; author decision 2026-08-13"
"Introduction paragraph 4","Near-eye measurement as an advance over wrist or chest sensing","update","Near-eye is fixed as the primary ocular-exposure measure, but placement differences must not be presented as simple superiority or interchangeability.","Unheaded Introduction paragraph 2","Explain why near-eye is closer to ocular exposure, state that chest is separate complementary evidence, and cite the public placement preprint for structured outcome- and context-dependent differences with an overlap qualification.","PLACEMENT-001 to PLACEMENT-008; DOI 10.64898/2026.07.28.741277"
"Introduction paragraph 5","International study rationale and environmental or behavioural determinants","substantially rewrite","The study rationale is strong, but determinants and the original research-question sequence do not fit the accepted observational evidence or new narrative.","Unheaded Introduction paragraph 3","Retain the international harmonized-design rationale and replace causal language with multiscale correlates and variation.","Accepted Descriptives and result corpus"
"Introduction final paragraph","Three research questions and eleven preregistered hypotheses","relocate","The preregistration sequence should remain traceable but must not organize the main story.","Unheaded Introduction final paragraph; Methods preregistration subsection; Supplementary crosswalk","Replace with one thesis-led aim paragraph. Move the complete hypothesis mapping and deviations to Methods and Supplementary Information.","Reviewer NM-R1-00 and NM-R1-01; deviation authorities"
"Results opening: unique dataset","Cohort, sites, days, near-eye and chest measurement overview","update","This remains the essential reader orientation, but all denominators and placement roles have changed or been clarified.","Results section 1: international exposure baseline and daily architecture","Reuse the dataset-orientation logic and selected prose, replacing every number from accepted Descriptives and defining the construct as ocular light exposure.","notebooks/descriptives.qmd; author decision 2026-08-13"
"Results: personal light metrics","Metric families, distributions, and interpretive overview","update","Metric orientation is necessary, but the full catalogue is too dense for main text and several definitions were repaired.","Results section 1; Methods; Supplementary metric guide","Reuse the concise accepted explanations and physiological rationales from Descriptives Table 2 for reader orientation. Reconcile every definition with Preparation 04 and move complete inputs, units, ranges, and support rules to a supplementary table.","Descriptives Table 2; Preparation 04; reviewer NM-R1-02; author decision 2026-08-13"
"Results: recommendation adherence","Fractions within recommended daytime, evening, and sleep ranges","substantially rewrite","The accepted denominator is a fraction of valid measured minutes in a contextual range, not adherence, compliance, or biological response.","Results section 1 main exposure baseline and Discussion benchmark paragraph","Retain prominently in the main Results with exact valid-minute denominators and the Brown target-population caveats. Use the result as a health-relevant exposure benchmark, not a measured health outcome.","notebooks/descriptives.qmd; Brown et al. 2022; harmonization vocabulary; author decision 2026-08-13"
"Results: study-site context","Site latitude, photoperiod, collection period, and sample context","retain with update","This material is a useful bridge to geographic analyses, but the old text can imply a complete seasonal gradient.","Results section 1 and geographic-context section","Retain the study-context function and replace values and interpretations with accepted sources.","Descriptives; H01; H07"
"Results research question 1","Site, latitude, photoperiod, variation partition, and temporal patterns","substantially rewrite","The section contains central evidence but mixes distinct estimands and overweights geography. Accepted analyses now show a stronger participant and day versus site hierarchy.","Results sections 2 and 3","Lead with participant and day variation, then present geography as partial context. Do not recreate the original research-question order.","H01; H02; H07"
"Results research question 1 latitude narrative","North-to-south or latitude gradients across exposure metrics","substantially rewrite","The accepted analysis supports selected latitude and photoperiod associations, not a single monotonic ranking, and site and collection context remain confounded.","Results section 3: geography shapes but does not determine exposure","Use only multiplicity-aware support and exact accepted effects. State explicitly that no simple geographic ranking emerged.","H01; H07; reviewer NM-R2-02"
"Results research question 1 variance decomposition","Variation among participants and sites","retain with update","This is one of the strongest contributions, but the accepted nonlinear curve analysis and Shapley allocation impose specific interpretive limits.","Results section 2: personal and daily variation outweighs between-site differences","Build the section around fitted-curve dispersion and model-allocation evidence. Do not call Shapley shares causal or observed variance explained.","H02"
"Results research question 2 light sources","Hourly light-source categories and site heterogeneity","retain with update","The category result is strong and now has complete support, estimates, intervals, interactions, diagnostics, and sensitivities.","Results section 4: immediate environment and routines","Reuse the central contrast logic, but present all categories and avoid treating expected outdoor brightness as the sole novelty.","H03; reviewer NM-R1-06"
"Results research question 2 activities","Hourly activity categories and site heterogeneity","retain with update","The activity result is strong and complete, with multiselect weighting and sparse-cell handling now explicit.","Results section 4: immediate environment and routines","Reuse the category narrative with accepted estimates and complete category reporting.","H04; reviewer NM-R1-06"
"Results research question 2 self-reported behaviours","Light-related behaviour and attitude factors","substantially rewrite","The accepted analysis has no false-discovery-rate-supported association among 68 tests and four sleep-environment model cells unfit for inference.","Results section 5: selective person-level correlates","Present as an informative null pattern, not a weak positive story. Retain the four unfit cells visibly.","H05"
"Results research question 2 day type, activity, exercise, and sleep","Daily routines and prior sleep associations","substantially rewrite","The accepted hourly main analysis and daily complementary analysis use different estimands and sometimes differ. The old analysis cannot be carried forward directly.","Results section 4: immediate environment and routines","Lead with the hourly main findings. Use the daily analysis as complementary profile evidence and explain weighting or estimand differences where relevant.","H06 hourly; H06_daily; H06 primary-selection decision"
"Results research question 2 photoperiod ceilings","Saturation or ceiling interpretation at long photoperiod","substantially rewrite","The accepted nonlinear analysis identifies patterns consistent with an increase followed by a sustained near-flat tail, not a biological ceiling, equivalence, or mechanistic saturation.","Results section 3: geographic and temporal context","Use the exact derivative-based interpretation and keep concurvity and site sensitivity visible.","H07"
"Results research question 3 visual light sensitivity","Questionnaire score associations with light metrics","substantially rewrite","No primary or interaction family retained adjusted support. Near-threshold raw results must not be promoted.","Results section 5: selective person-level correlates","Use one concise null statement with interval context and send complete results to Supplementary Information.","H08"
"Results research question 3 chronotype","Chronotype associations with timing metrics","retain with update","Accepted findings are selective for M10, L10, and first-exposure timing, not general across all timing outcomes.","Results section 5: selective person-level correlates","Retain the biological rationale but report the two instruments separately and state unsupported last or longest timing outcomes.","H09"
"Results research question 3 age and sex","Age and sex associations across metrics","substantially rewrite","Accepted results distinguish measured biological sex from gender, show selected near-eye age associations, no near-eye sex metric associations, and additional complementary chest findings.","Results section 5: selective person-level correlates","Use precise construct language, lead with primary near-eye evidence, and label chest results complementary.","H10"
"Results research question 3 daily sex curves","Sex-specific temporal exposure profiles","substantially rewrite","The accepted whole-curve model supersedes the older route and separates global curve tests from pointwise windows and from activity-context sensitivity.","Results section 5: selective person-level correlates","Report the global whole-curve result first. Describe time windows as pointwise context, not simultaneous inference or mediation.","H11; CHG-129"
