"paragraph_id","manuscript_numbers","accepted_source","verification_note"
"ABSTRACT","141;816;9;7;24;24.0%;63.3%;87.7%","notebooks/descriptives.qmd; accepted recommendation-context table; notebooks/hypotheses/H02.qmd","Provisional abstract numbers reproduce rounded accepted sample, scope, daily-pattern and valid-minute values."
"P-I01","250;10;1","Brown et al. 2022; notebooks/descriptives.qmd","Recommendation contexts are stated in lx melanopic EDI and retain target-population and risk-function qualifications."
"P-I03","9;7;24","notebooks/descriptives.qmd; Guidolin et al. protocol; notebooks/hypotheses/H02.qmd","Site, country and daily-cycle scope are accepted descriptive and temporal facts."
"P-R01","191;141;816;154;902;112;643","notebooks/descriptives.qmd; audit/descriptives/sample_count_contract.csv","Roster, near-eye, chest and paired samples are reported separately."
"P-R02","24;17;10;250","notebooks/descriptives.qmd; notebooks/preparation/04_metric_derivation.qmd; accepted metric table","Daily-cycle and metric-family counts and thresholds match the accepted metric record."
"P-R03","573,712;137,792;24.0%;250;129,390;81,894;63.3%;10;383,366;336,052;87.7%;1","artifacts/09_tables/descriptives/recommendation_context_near_eye.csv; notebooks/descriptives.qmd","Exact pooled valid-minute numerators, denominators, percentages and thresholds."
"P-R05","1.80;95%;1.16;4.33;1.99;1.29;4.77","notebooks/hypotheses/H02.qmd; accepted H02 source tables","Rounded forms of accepted dispersion ratios 1.797 and 1.991 and their accepted intervals."
"P-R06","6.41;95%;3.85;15.14","notebooks/hypotheses/H02.qmd; accepted H02 source tables","Rounded accepted conditional participant-to-site allocation ratio 6.410 and interval."
"P-R08","17;8;12;6","notebooks/hypotheses/H01.qmd; accepted H01 support table","Complete family size and accepted support counts for site, photoperiod and latitude. The later 8 in the sentence maps to NH-C016."
"P-R10","959.6;95%;786.8;1,170.2;11.27;8.71;14.60","notebooks/hypotheses/H03.qmd; accepted H03 category estimands","Accepted site-average outdoor-daylight estimate and ratio, with rounded intervals."
"P-R11","714.2;76.4;9.35","notebooks/hypotheses/H04.qmd; accepted H04 category estimands","Accepted outdoor and at-home site-average estimates and rounded ratio."
"P-R12","2.06;95%;1.54;2.76;0.001;1.45;1.14;1.85;0.004;0.98;0.85;1.12;0.745","notebooks/hypotheses/H06.qmd; accepted H06 primary-effects table","Accepted hourly activity, day-type and previous-sleep estimates, intervals and adjusted p values."
"P-R13","0.70;95%;0.63;0.78","notebooks/hypotheses/H06_daily.qmd; accepted H06_daily interaction results","Accepted equal-site free-to-work daily mean ratio and interval."
"P-R14","68;17;4;9","notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H08.qmd","Accepted complete LEBA family, metric count, unfit-cell count and VLSQ outcome count."
"P-R15","250;0.381;95%;0.146;0.616;0.003;10;0.444;0.189;0.699;0.001","notebooks/hypotheses/H09.qmd; accepted H09 primary results","Accepted first-above-250 timing coefficients, intervals, scale and adjusted p values for the separate chronotype instruments."
"P-R16","10;1,000;1.27;1.31","notebooks/hypotheses/H10.qmd; accepted H10 primary results","Per-decade scaling, threshold and accepted range of retained primary age ratios."
"P-R17","112;643;154;902;141;816","notebooks/descriptives.qmd; audit/descriptives/sample_count_contract.csv; notebooks/placement_decision.qmd","Paired, chest and near-eye samples are accepted and kept distinct."
"P-R19","4;4;10","notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H06_daily.qmd; notebooks/hypotheses/H09.qmd","Four unfit cells per position and the non-estimable darkest-10-hour daily slot are accepted closed qualifications."
"P-D02","24.0%;63.3%;87.7%;18;55","notebooks/descriptives.qmd; Brown et al. 2022","Recommendation fractions and principal 18-to-55 target-population range."
"P-M01","8;7;2023;2025;9;7","Guidolin et al. protocol; notebooks/descriptives.qmd; legacy accepted design description","Protocol length, recording days, collection-year span, site and country counts."
"P-M02","18;65;80%","Guidolin et al. protocol; legacy Methods; notebooks/preregistration_deviations.qmd DEV-003","Registered target age and employment criteria, explicitly qualified as not uniformly applied."
"P-M03","2023-115-S-KK","legacy Methods; Guidolin et al. protocol","Overarching TUM ethics identifier. Local approvals remain an author-completion item."
"P-M04","10","Guidolin et al. protocol; notebooks/preparation/01_import_state_alignment.qmd","Accepted 10-second original sampling interval."
"P-M06","1;1/k","notebooks/hypotheses/H04.qmd; accepted H04 preparation companion","Fractional activity representation preserves total hourly weight one."
"P-M07","VLSQ-8;4","notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H08.qmd; fixed questionnaire inputs","Accepted visual-sensitivity instrument and four retained LEBA factors."
"P-M08","1;100,000","notebooks/preparation/01_import_state_alignment.qmd","One-minute aggregation and strict upper operating boundary."
"P-M09","1,440;80%;50%;2;3","notebooks/preparation/02_coverage_sample_flow.qmd; notebooks/descriptives.qmd","Complete-day grid, coverage cutoffs and accepted all-zero day exclusions."
"P-M10","17;10;0.1;250","notebooks/preparation/04_metric_derivation.qmd","Metric count, base-10 transform, offset and continuous-period threshold."
"P-M11","1,440;720","notebooks/preparation/04_metric_derivation.qmd; notebooks/preparation/06_model_ready_datasets.qmd","Complete local-clock grid and inclusive viable-ratio support threshold."
"P-M12","250;10;1","Brown et al. 2022; notebooks/descriptives.qmd","Recommendation-context thresholds."
"P-M13","30;15;10;0.1;48;2,000","notebooks/hypotheses/H02.qmd; accepted H02 preparation companion","Bin width and support, transform, common clock grid and hierarchical resample count."
"P-M14","17;4","notebooks/hypotheses/H01.qmd; accepted H01 preparation companion","Metric count and four separate complete model-question families."
"P-M15","9;6;100;95%","notebooks/hypotheses/H07.qmd; accepted H07 preparation companion","Planned metric count, spline basis, derivative grid and interval level."
"P-M16","1;1/k","notebooks/hypotheses/H03.qmd; notebooks/hypotheses/H04.qmd","One-hour outcome and fractional activity weights."
"P-M17","3;15","notebooks/hypotheses/H06.qmd; notebooks/hypotheses/H06_daily.qmd","Hourly three-test families and daily 15-slot families."
"P-M19","30;10;0.1;24","notebooks/hypotheses/H11.qmd; accepted H11 preparation companion","Epoch, transform and complete daily curve."
"P-M20","95%","all accepted hypothesis reports","Common interval level, with pointwise or model-specific scope retained."
"P-M22","273407","AsPredicted registration; notebooks/preregistration_deviations.qmd","Accepted preregistration identifier."
