"paragraph_id","manuscript_section","claim_ids","evidence_role","accepted_sources","required_qualification","status"
"P-I01","Introduction","NH-C042;NH-C048","background and boundary","bibliography.bib: brown2022, brown2020, cies02, blume2019, spitschan2026; audit/manuscript_nature_health/first_largest_discovery/evidence_matrix.csv","Physiology-based ranges are not individual risk functions; no health outcome was measured.","mapped"
"P-I02","Introduction","NH-C050;NH-C054","measurement gap","audit/manuscript_nature_health/first_largest_discovery/evidence_matrix.csv; bibliography.bib: huss2019, vanduijnhoven2025, hartmeyer2022, stefani2024, zauner2025, zauner2026; bioRxiv DOI 10.64898/2026.07.28.741277 v2","Placement preprint uses overlapping MeLiDos data and is not independent replication.","mapped"
"P-I03","Introduction","NH-C007;NH-C044;NH-C049;NH-C051","study aim and contribution","bibliography.bib: spitschan2024, guidolin2024; notebooks/descriptives.qmd; notebooks/placement_decision.qmd; audit/manuscript_nature_health/author_decision_2026-08-13.md","Architecture is a conceptual description, not a priority claim; chest recruitment role is author-confirmed feasibility.","mapped"
"P-R01","Results baseline","NH-C005;NH-C006;NH-C007;NH-C008;NH-C052","sample and placement","notebooks/descriptives.qmd; audit/descriptives/sample_count_contract.csv; notebooks/placement_decision.qmd","Roster, near-eye, chest and paired samples remain distinct; sleep is bedside environment.","mapped"
"P-R02","Results baseline","NH-C001;NH-C053","daily profile and metric orientation","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/metric_descriptive_summary_replica.csv; notebooks/preparation/04_metric_derivation.qmd","Metric rationales orient constructs and do not estimate health effects.","mapped"
"P-R03","Results baseline","NH-C045;NH-C046;NH-C047","recommendation benchmark","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/recommendation_context_near_eye.csv; Brown et al. 2022","All values are pooled valid-minute fractions; sleep value is environmental.","mapped"
"P-R04","Results baseline","NH-C008;NH-C009;NH-C045;NH-C046;NH-C047","interpretive boundary","notebooks/descriptives.qmd; notebooks/placement_decision.qmd; notebooks/preparation/04_metric_derivation.qmd","No participant classification, adherence, biological response or continuous sleep-period ocular claim.","mapped"
"P-R05","Results daily architecture","NH-C001;NH-C010;NH-C011","primary hierarchy","notebooks/hypotheses/H02.qmd; audit/hypotheses/H02/H02_analysis_preparation.qmd","Dispersion ratios are model-derived transformed-scale curve summaries, not raw variance or causality.","mapped"
"P-R06","Results daily architecture","NH-C012","supporting hierarchy","notebooks/hypotheses/H02.qmd; audit/hypotheses/H02/H02_analysis_preparation.qmd","Conditional Shapley allocation is in-sample and model-based, not causal or predictive importance.","mapped"
"P-R07","Results daily architecture","NH-C006;NH-C007;NH-C039","complementary placement and model checks","notebooks/hypotheses/H02.qmd; notebooks/placement_decision.qmd","Chest and matched evidence do not establish replication or equivalence; diagnostic limitations remain.","mapped"
