"paragraph_id","manuscript_section","claim_ids","evidence_role","accepted_sources","required_qualification","status"
"P-I01","Introduction","NH-P3-001","physiology and recommendation context","bibliography.bib: blume2019, spitschan2026, cies02, brown2020, brown2022; health_outcomes_discovery/evidence_matrix.csv HEALTH-CAN-009","Recommendations are contextual ranges, not individual risk functions.","mapped"
"P-I02","Introduction","NH-P3-002","population-health motivation","health_outcomes_discovery/evidence_matrix.csv HEALTH-CAN-001 to HEALTH-CAN-007","All cited studies are observational; most use wrist or bedside measurements and do not establish ocular dose or causality.","mapped"
"P-I03","Introduction","NH-P3-003","baseline and measurement gap","health_outcomes_discovery/evidence_matrix.csv HEALTH-CAN-008; first_largest_discovery/evidence_matrix.csv; bibliography.bib: savides1986, price2021, biller2024, biller2025, agbeshie2025, tengelin2025, vanduijnhoven2025, hartmeyer2022, devries2025, devries2026, devries2026a, gibaldi2024; references_additional.bib: huss2019corrected, zauner2026placementpreprint","The broad daily rhythm is established; absolute exposure and cross-site amplitude and architecture remain unresolved. Near-eye is not direct retinal measurement.","mapped"
"P-I04","Introduction","NH-P3-004","study aim and architecture","bibliography.bib: spitschan2024, guidolin2024; notebooks/descriptives.qmd; notebooks/placement_decision.qmd; author_decision_2026-08-13.md","Chest is complementary non-ocular evidence and a recruitment option, not a pooled ocular sample.","mapped"
"P-R01","Results: baseline","NH-P3-005","roster and screened samples","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/participant_site_characteristics_replica.csv; audit/descriptives/sample_count_contract.csv; notebooks/placement_decision.qmd","The 1,478 participant-days are recorded non-all-zero days across either position before main screens; 184 of 191 roster members contributed them.","mapped"
"P-R02","Results: baseline","NH-P3-006","metric architecture","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/metric_descriptive_summary_replica.csv; notebooks/preparation/04_metric_derivation.qmd","Metric streams describe different exposure properties and are not health-response estimates.","mapped"
"P-R03","Results: baseline","NH-P3-007","recommendation-context fractions","notebooks/descriptives.qmd; artifacts/09_tables/descriptives/recommendation_context_near_eye.csv; brown2022","Pooled valid-minute fractions; sleep is bedside environment.","mapped"
"P-R04","Results: baseline","NH-P3-008","recommendation interpretation","notebooks/descriptives.qmd; notebooks/placement_decision.qmd; brown2022","Do not infer participant-level adherence, adequacy or biological response.","mapped"
"P-R05","Results: temporal architecture","NH-P3-009","daily model fit and dispersion","notebooks/hypotheses/H02.qmd; artifacts/09_tables/H02 accepted R2 and dispersion tables; audit/handoffs/H02_worker_handoff.md","R2 is in-sample; curve dispersion is fitted variation and not response-variance attribution.","mapped"
"P-R06","Results: temporal architecture","NH-P3-010","conditional model-fit allocation","notebooks/hypotheses/H02.qmd; accepted H02 Shapley allocation tables","Conditional in-sample model-fit credit is not response variance explained, causal importance or predictive importance.","mapped"
"P-R07","Results: temporal architecture","NH-P3-011","site-specific clock departures","artifacts/09_tables/H02/figure4_pointwise_conditional_windows.csv; notebooks/hypotheses/H02.qmd","Ratios refer to fitted melanopic EDI + 0.1 lx relative to the equal-site pattern and describe clock-specific departures within each window.","mapped"
"P-R08","Results: temporal architecture","NH-P3-012","chest and common-sample hierarchy","notebooks/hypotheses/H02.qmd; accepted H02 chest and paired tables","Placements were fitted separately; similarity is not equivalence or substitution.","mapped"
"P-R09","Results: geography","NH-P3-013","metric-specific site support and R2","notebooks/hypotheses/H01.qmd; artifacts/09_tables/H01/H01_stage3_primary_publication_summary.csv; H01 R2 tables","Participant-associated R2 applies to participant-day metrics; part R2 values are non-additive and conditioned on supported tests.","mapped"
"P-R09A","Results: geography","NH-P3-014","linear civil-photoperiod associations","notebooks/hypotheses/H01.qmd; artifacts/09_tables/H01/H01_stage3_primary_publication_summary.csv; H01 R2 tables","Associations are per additional photoperiod hour, observational and metric-specific; latitude is a separate same-frame model.","mapped"
"P-R09B","Results: geography","NH-P3-015","nonlinear photoperiod transitions","notebooks/hypotheses/H07.qmd; artifacts/09_tables/H07/H07_revised_plateau_summary.csv","Descriptive fitted-slope rule only. No physiological or environmental ceiling, equivalence region, asymptote or mechanism.","mapped"
"P-R10","Results: immediate context","NH-P3-016","light-source interaction estimands","notebooks/hypotheses/H03.qmd; artifacts/09_tables/H03/H03_reader_heterogeneity_category_estimands.csv","Site-average gives sites equal weight. Recommendation comparisons are contextual and do not classify adherence.","mapped"
"P-R10A","Results: immediate context","NH-P3-017","light-source site deviations and model fit","notebooks/hypotheses/H03.qmd; H03_site_context_estimands.csv; H03 quasi-deviance allocation tables","Quasi-deviance allocation is an in-sample point description, not mixed-model R2, causal share or response variance.","mapped"
"P-R10B","Results: immediate context","NH-P3-062","exploratory participant heterogeneity and within/between sensitivity","notebooks/hypotheses/H03.qmd at commit c88c2d7; artifacts/09_tables/H03/H03_near_eye_participant_random_intercept_summary.csv; H03_near_eye_participant_random_intercept_marginal_r2_shapley.csv; H03_sensitivity_comparison.csv; artifacts/08_diagnostics/H03/H03_near_eye_participant_random_intercept_diagnostics.csv","R2 and Shapley values are model-dependent point descriptions without bootstrap intervals. The model has a common participant intercept, not participant-specific light-source slopes, and does not support individual prediction. Lag-one residual dependence and zero-mass mismatch remain. The within/between sensitivity is population mean with participant-clustered covariance.","mapped"
"P-R11","Results: immediate context","NH-P3-018","activity interaction estimands and exploratory participant heterogeneity","notebooks/hypotheses/H04.qmd at commit 2c8c097, SHA-256 cd58c2ff5708fd3c74336656056dc1459f59772e55a31abd6f90bd25ad11e6ac; H04 reader estimands and site-context tables; artifacts/09_tables/H04/H04_participant_random_intercept_summary.csv; H04_participant_random_intercept_marginal_r2_shapley.csv; artifacts/08_diagnostics/H04/H04_participant_random_intercept_diagnostics.csv","Population-mean category estimates remain primary. The exploratory assessment is restricted to five named activities and has a common participant intercept, no random activity slopes and point-only model-based R2. Its allocation is not raw response variance or causal importance; residual correlation and zero-mass mismatch remain.","mapped"
"P-R12","Results: routines","NH-P3-019","main hourly routine model","notebooks/hypotheses/H06.qmd; audit/handoffs/H06_worker_handoff.md; accepted H06 primary and interaction tables","Free versus Work varies by site and is working-variance and site-influence sensitive; activity is stable; sleep is inconclusive.","mapped"
"P-R13","Results: routines","NH-P3-020","complementary participant-day result","notebooks/hypotheses/H06_daily.qmd; audit/handoffs/H06_daily_worker_handoff.md; accepted H06_daily interaction tables","Hourly and daily analyses use different weighting, outcomes and model structures; neither substitutes for the other.","mapped"
"P-R14","Results: person-level","NH-P3-021","broad unsupported families","notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H08.qmd; accepted companions","Non-retained findings are inconclusive; four sleep-environment cells per position remain non-estimable.","mapped"
"P-R15","Results: person-level","NH-P3-022","chronotype timing associations","notebooks/hypotheses/H09.qmd; accepted H09 primary tables","Chronotype instruments are separate constructs; supported and unsupported timing outcomes remain distinct.","mapped"
"P-R16","Results: person-level","NH-P3-023","age, sex and activity sensitivity","notebooks/hypotheses/H10.qmd; notebooks/hypotheses/H11.qmd; H11_reader_activity_global_comparison.csv; H11_reader_activity_attenuation.csv; audit/hypotheses/H10/01_audit_and_plan.qmd","All-available results remain primary. Near-eye activity-complete restriction was unsupported before adjustment; attenuation cannot identify mechanism. Gender was recorded separately but not analysed.","mapped"
"P-R17","Results: placement","NH-P3-024","paired interpretation and recruitment reach","notebooks/descriptives.qmd; sample_count_contract.csv; notebooks/placement_decision.qmd; author feedback 2026-08-13","Chest broadened recruitment possibilities, especially San José, but did not enlarge the ocular sample.","mapped"
"P-R18","Results: placement","NH-P3-025","parallel placement analysis","references_additional.bib: zauner2026placementpreprint; first_largest_discovery/evidence_matrix.csv HEALTH-CAN-025; placement decisions","Overlapping MeLiDos data; related work, not independent replication; no pooling, equivalence or universal correction.","mapped"
"P-R19","Results: evidence boundary","NH-P3-026","non-estimable and diagnostic qualifications","notebooks/hypotheses/H05.qmd; H06_daily.qmd; H09.qmd; accepted report companions","Non-estimable targets are not zero or null; model checks remain outcome-specific.","mapped"
"P-D01","Discussion","NH-P3-027","overarching interpretation","accepted H01, H02, H03, H04, H06 and descriptive reports","The novelty is multiscale architecture and cross-site amplitude, not the existence of a 24-hour rhythm or global representativeness.","mapped"
"P-D02","Discussion","NH-P3-028","recommendation and context interpretation","descriptives recommendation table; H04 category estimands; brown2022","Pooled minute fractions and modelled hourly context means are different estimands; neither is participant-level adherence or risk.","mapped"
"P-D02A","Discussion","NH-P3-029","population-health bridge","health_outcomes_discovery/evidence_matrix.csv HEALTH-CAN-001 to HEALTH-CAN-007","Observational health associations largely use wrist or bedside light and do not create clinical risk markers for this study.","mapped"
