"old_number","old_reference","doi","library_key","library_title","current_key","current_title","disposition","reason_category","reason"
1,"Aschoff, J. Circadian rhythms in man. Science 148, 1427--1432 (1965).","10.1126/science.148.3676.1427","aschoff1965","Circadian rhythms in man",,,"dropped","redundant_background","Redundant broad circadian background; the revised introduction retains more direct light, sleep and circadian syntheses for the claim made."
2,"Krauchi, K. & Wirz-Justice, A. Circadian rhythm of heat production, heart rate, and skin and core temperature under unmasking conditions in men. American Journal of Physiology-Regulatory, Integrative and Comparative Physiology 267, R819--R829 (1994).","10.1152/ajpregu.1994.267.3.r819","krauchi1994","Circadian rhythm of heat production, heart rate, and skin and core temperature under unmasking conditions in men",,,"dropped","redundant_background","Redundant broad circadian physiology; it does not directly support the personal-light-exposure architecture developed here."
3,"Czeisler, C. A. & Gooley, J. J. Sleep and circadian rhythms in humans. Cold Spring Harbor Symposia on Quantitative Biology 72, 579--597 (2007).","10.1101/sqb.2007.72.064","czeisler2007","Sleep and circadian rhythms in humans","czeisler2007","Sleep and circadian rhythms in humans","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
4,"Dijk, D.-J. & Archer, S. N. Light, sleep, and circadian rhythms: Together again. PLoS Biology 7, e1000145 (2009).","10.1371/journal.pbio.1000145","dijk2009","Light, sleep, and circadian rhythms: Together again","dijk2009","Light, sleep, and circadian rhythms: Together again","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
5,"Blume, C., Garbazza, C. & Spitschan, M. Effects of light on human circadian rhythms, sleep and mood. Somnologie 23, 147--156 (2019).","10.1007/s11818-019-00215-x","blume2019","Effects of light on human circadian rhythms, sleep and mood","blume2019","Effects of light on human circadian rhythms, sleep and mood","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
6,"Wirz-Justice, A. How daylight controls the biological clock, organises sleep, and enhances mood and performance. in 191--200 (Springer International Publishing, 2022). doi:10.1007/978-3-031-04108-210.","10.1007/978-3-031-04108-2_10","wirz-justice2022","How daylight controls the biological clock, organises sleep, and enhances mood and performance",,,"dropped","redundant_background","Redundant general daylight overview after retaining primary and closer synthesis sources for circadian, sleep and mood relevance."
7,"Brown, T. M. Melanopic illuminance defines the magnitude of human circadian light responses under a wide range of conditions. Journal of Pineal Research 69, (2020).","10.1111/jpi.12655","brown2020","Melanopic illuminance defines the magnitude of human circadian light responses under a wide range of conditions","brown2020","Melanopic illuminance defines the magnitude of human circadian light responses under a wide range of conditions","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
8,"Spitschan, M. et al. Ocular light and optical radiation exposure as a modifiable environmental determinant of health: Expert consensus on research gaps and priorities. BMC Medicine 24, (2026).","10.1186/s12916-025-04608-8","spitschan2026","Ocular light and optical radiation exposure as a modifiable environmental determinant of health: Expert consensus on research gaps and priorities","spitschan2026","Ocular light and optical radiation exposure as a modifiable environmental determinant of health: Expert consensus on research gaps and priorities","retained","retained","Cited in the revised manuscript because it directly supports its context, methods, data provenance or interpretation."
9,"Argentieri, M. A. et al. Integrating the environmental and genetic architectures of aging and mortality. Nature Medicine 31, 1016--1025 (2025).","10.1038/s41591-024-03483-9","argentieri2025","Integrating the environmental and genetic architectures of aging and mortality",,,"dropped","removed_framing","The general exposome framing was removed; the revised manuscript defines and tests a measured multiscale architecture of personal light exposure."
10,"Lucock, M. D. A brief introduction to the exposome and human health. Exploratory Research and Hypothesis in Medicine 000, 1--6 (2020).","10.14218/erhm.2020.00070","lucock2020","A brief introduction to the exposome and human health",,,"dropped","removed_framing","The general exposome framing was removed; this introductory source no longer supports a claim made in the manuscript."
