"paragraph_id","manuscript_numbers","accepted_source","verification_note"
"ABSTRACT","191;184;1,478;9;7;141;816;154;902;24;78.9%;12.9%;6.2%;2.0%;9.49;24.0%;4.9;8.0;6.1","descriptives roster table; notebooks/descriptives.qmd; accepted H02 allocation tables; recommendation_context_near_eye.csv; accepted Brown integrated report SHA-256 80bd2167095dfcf025de7f79baa495c111641cbd02622345e9c5641225aa0997","Roster, contributing roster, screened samples, model-fit allocation, pooled daytime fraction and rounded main Free-minus-Work adherence differences are distinct accepted quantities; lower and higher in the prose preserve their directions."
"P-I01","250;10;1","Brown et al. 2022","Recommendation contexts are melanopic EDI in lx and retain population and risk-function qualifications."
"P-I03","24","Wallace et al. 2025; accepted H02 report","The daily rhythm is background; the unresolved claim concerns amplitude and layered contributions."
"P-I04","9;7","notebooks/descriptives.qmd; protocol","Accepted site and country scope."
"P-R01","191;184;1,478;141;816;154;902;112;643","participant_site_characteristics_replica.csv; sample_count_contract.csv","1,478 are recorded non-all-zero days before main screens across either position; position-specific samples remain separate."
"P-R02","24;17;10","descriptives metric table; preparation 04","Accepted daily cycle, metric count and window length."
"P-R03","573,712;137,792;24.0%;250;129,390;81,894;63.3%;10;383,366;336,052;87.7%;1","recommendation_context_near_eye.csv; notebooks/descriptives.qmd","Exact pooled valid-minute numerators, denominators, percentages and thresholds."
"P-R04","0%;100%","accepted Brown integrated report; descriptives recommendation table","The state-period model retains exact endpoints; the pooled fractions are a separate estimand."
"P-R04A","2,216;140;782;1,028,958;26.5%;61.9%;90.3%;21.6%;69.9%;84.1%;4.92;2.21;7.64;7.98;3.28;12.67;6.13;3.48;8.79;0.001;80%;0.88","accepted Brown stage3/source_data/table_sample_summary_source.csv; figure_adherence_levels_source.csv; table_primary_contrasts_source.csv; table_coverage_gate_source.csv","Main any-valid sample, equal-site levels, Free-minus-Work differences and at-least-80% coverage stability."
"P-R04B","0.003;0.002;0.526;27;15.0;6.9;23.1;0.004;9.2;-15.6;-2.8;0.042;6.3;3.4;9.1;0.001;80%","accepted Brown stage3/source_data/table_site_interactions_source.csv; stage2_boundary/site_free_work_vs_equal_site_amendment/ba_m6_primary_site_free_work_vs_equal_site.csv; ba_m6_support80_site_free_work_vs_equal_site.csv","Global and state interaction tests plus the three FDR-retained site-versus-equal-site localisations, kept distinct from tests against zero."
"P-R04C","58.4%;2.2;39.4%;60.6%;94.1%;4.8%;1.2%","accepted Brown stage3/source_data/table_random_effect_r2_partition_source.csv; table_shapley_global_source.csv","Point-only response-scale partition and fixed-predictor Shapley weights."
"P-R04D","10;2.52;1.48;3.55;0.001;3.59;1.25;5.94;0.005;80%;0.60","accepted Brown stage3_cross_state_association/source_data/table_association_effects.csv; table_coverage_gate.csv","Rounded observational between-participant associations and coverage stability; no within-participant claim."
"P-R05","0.775;0.739;0.804;1.80;1.16;4.33;1.99;1.29;4.77","accepted H02 R2 and dispersion tables","Rounded accepted in-sample R2 and bootstrap intervals; dispersion ratios are fitted-curve quantities."
"P-R06","78.9%;73.6%;82.6%;12.9%;10.1%;16.4%;6.2%;4.4%;8.6%;2.0%;0.9%;3.5%;6.41;3.85;15.14;9.49;5.77;21.81","accepted H02 Shapley allocation tables","Conditional in-sample model-fit credit and ratio intervals, not response variance."
"P-R07","0.1;2.04;4.64;06:00;11:00;1.80;2.73;15:00;19:00;0.15;0.47;05:30;10:30;0.40;0.57;17:30;20:30;0.51;0.59;06:00;08:30;1.98;4.28;21:00;24:00;0.11;0.38;11:30;23:00","artifacts/09_tables/H02/figure4_pointwise_conditional_windows.csv","Rounded clock-specific ratio ranges on fitted melanopic EDI + 0.1 lx scale."
"P-R08","0.737;79.1%;11.9%;7.0%;2.1%","accepted H02 chest allocation tables","Rounded chest in-sample R2 and allocation values; placements fitted separately."
"P-R09","8;17;250;36.4%;25.6%;9.0%","H01_stage3_primary_publication_summary.csv; H01 R2 grand-average table","Support counts and grand averages use accepted conditioning; participant-associated R2 applies to participant-day metrics."
