"feedback_id","reviewer","substantive_concern","lesson_for_new_manuscript","accepted_evidence_response","planned_manuscript_location","residual_limitation","phase1_disposition"
"NM-R1-00","Nature Medicine Reviewer 1","The study is valuable, but its central contribution and hierarchy are unclear.","Lead with a small set of claims and explicitly distinguish headline, supporting, complementary, null, exploratory, sensitivity, and limitation evidence.","The accepted corpus supports a hierarchy centred on the everyday ocular-exposure baseline, Brown recommendation contexts, multiscale daily architecture, participant and day variation, immediate context, geographic modulation, and selective person-level associations. The author approved Architecture 1 with the direct prose style of Architecture 3.","Title; final Introduction paragraph; Results opening; first and final Discussion paragraphs","The architecture is approved, but disciplined implementation remains necessary within the 4,000-word Article limit.","Address through the author-approved nested-scales architecture."
"NM-R1-01","Nature Medicine Reviewer 1","Eleven hypotheses receive similar narrative weight and obscure the main findings.","Do not use the preregistration sequence as the manuscript backbone. Preserve full traceability in Methods, Supplementary Information, and the claim audit.","All eleven accepted result families and the daily complement can now be regrouped conceptually without changing their scientific roles.","All Results subheadings; Methods analysis-strategy subsection; Supplementary crosswalk","Any regrouping can accidentally make exploratory or complementary evidence appear primary unless role labels remain explicit.","Address through five conceptual Results sections plus one short measurement and robustness section."
"NM-R1-02","Nature Medicine Reviewer 1","The many light metrics are difficult to interpret without names, inputs, units, rationale, and reference context.","Introduce melanopic equivalent daylight illuminance and each metric family in plain language, then place the full metric guide outside the main narrative.","Preparation 04 fixes definitions and support rules; Descriptives Table 2 supplies concise metric explanations and rationales that can be reused; Descriptives also provides distributions and recommendation-context denominators; the harmonization vocabulary provides first-use explanations.","Brief Results orientation; Methods; provisional supplementary metric table","Some diary-derived support retains an explicit incomplete independent-reconstruction qualification. Recommendation ranges are contextual, not proof of biological adequacy.","Address with concise first-use definitions and a supplementary metric guide derived from the accepted Descriptives table."
"NM-R1-03","Nature Medicine Reviewer 1","The paper needs a critical distinction among health associations, experimental physiological evidence, and the present descriptive exposure study, including seasonal modifiers.","Frame personal light as an environmental exposure of health relevance without implying that this study tested health effects or intervention efficacy.","The accepted analyses characterize exposure only. Site, collection period, photoperiod, and behavioural context are available, while weather, temperature, holidays, and complete seasonal coverage are not.","Introduction evidence ladder; Discussion limitations and implications","No health outcome was measured, and photoperiod cannot represent all seasonal, meteorological, cultural, or behavioural variation.","Adapt rather than claim resolution."
"NM-R1-04","Nature Medicine Reviewer 1","Expected contrasts are presented as novelty without separating replication, better quantification, and genuinely new contributions.","Claim distinctiveness in the combination of a harmonized international near-eye design, quantified multiscale variation, integrated context analysis, and placement-aware evidence, not in the unsurprising fact that outdoor daylight is brighter than indoor light.","The accepted daily-curve variation analysis, context-specific estimates, geographic models, sensitivity framework, and paired placement evidence support this separation. A bounded literature search found earlier near-eye studies and larger single-country spectacle-mounted samples, so it supports the conceptual architecture title but not an unqualified first or largest claim.","Final Introduction paragraph; Results hierarchy; Discussion opening","The study remains observational and does not establish mechanisms or effects on health. The bounded search cannot prove absolute priority.","Address explicitly in the contribution statement and avoid first, largest, or global priority language."
"NM-R1-05","Nature Medicine Reviewer 1","Near-eye coverage is uneven, placement availability differs by site, and primary claims need exact samples, paired comparisons, sparse-site checks, and selection qualifications.","Use model-specific denominators and state the sensor position for each claim. Never let the roster total stand in for an analytical sample. Separate the paired analytical role of chest measurement from its recruitment-feasibility role.","Descriptives and Preparation 02 provide fixed sample flow; every accepted report provides exact fitted samples; paired or common-sample placement analyses and site or participant influence checks are available where valid; PLACEMENT-001 to PLACEMENT-008 fix interpretation. The public bioRxiv v2 placement analysis shows that position differences are structured by context and outcome. Separately, the author confirms that reluctance to wear the light glasses constrained recruitment at some sites, especially Costa Rica, and that the chest option broadened recruitment possibilities.","Results notes and legends; Methods recruitment, sample flow, placement, and related-work citation; Supplementary Information","Uneven and sometimes sparse site support remains. Paired evidence does not establish equivalence or a universal conversion. The public placement analysis uses overlapping data and is not independent replication. Recruitment feasibility is not analytical eligibility and cannot be inferred from sample counts alone.","Substantively addressed, with analytical, related-work, and recruitment qualifications retained."
"NM-R1-06","Nature Medicine Reviewer 1","Light-source and activity results need all categories, estimates, intervals, null contrasts, and sparse-category handling.","Use a compact main summary but retain complete category reporting and support information in supplementary displays.","The accepted light-source and activity reports contain complete category support, primary estimates, intervals, omnibus tests, interactions, sparse cells, complementary chest results, diagnostics, and sensitivities.","Immediate-context Results section; one provisional composite or paired main display; Supplementary Information","Some categories and site-specific cells have sparse support; category associations remain observational and context-dependent.","Resolved in the evidence corpus; manuscript display selection remains provisional."
"NM-R1-07","Nature Medicine Reviewer 1","The exposome framing underplays social, occupational, behavioural, infrastructure, and built-environment pathways.","Use multiscale environmental exposure language and name unmeasured pathways without implying that they were observed.","Accepted analyses cover site, photoperiod, light source, activity, day type, sleep, selected questionnaires, age, biological sex, and chronotype.","Introduction conceptual model; Discussion alternative explanations and future work","Socioeconomic position, occupation, detailed built environment, weather, mobility, and many cultural factors were not comprehensively measured.","Adapt with explicit measured and unmeasured boundaries."
"NM-R1-08","Nature Medicine Reviewer 1","Additional occupational or socioeconomic analyses could strengthen the exposome interpretation.","Do not invent a covariate analysis after the fact. State what was unavailable and reserve richer multilevel contextual data for future work.","No accepted additional occupational or socioeconomic model exists, and no new analysis is authorized for this manuscript task.","Discussion limitations and future research","Residual confounding by unmeasured social and occupational context remains.","Do not add an analysis; disclose the limitation."
"NM-R1-09","Nature Medicine Reviewer 1","A composite index across level, timing, duration, spectrum, and variability was suggested.","Avoid an unvalidated score whose construction, weighting, missingness rules, and interpretation are not established.","No accepted composite analysis exists. The current metric families remain separately interpretable and traceable.","Discussion future research only","A future composite would require independent construct development and validation.","Omit from current analyses and main narrative."
