"claim_id","role","candidate_manuscript_claim","accepted_source","source_identity_sha256","evidence_locator","required_qualification","planned_location"
"NH-C001","headline","Across nine international sites, personal light exposure followed a shared daily architecture but varied more among people and days within sites than among sites.","notebooks/hypotheses/H02.qmd; audit/hypotheses/H02/H02_analysis_preparation.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20; 3d298f2f45165107bc69bbc3b35f1414a5d0cb905d8aa09c839d1e862618e808","Answer in brief; fitted-curve variation and Shapley-allocation sections; primary near-eye tables and figure","Fitted-curve dispersion and Shapley allocation are model-based in-sample summaries, not causal effects, predictive importance, or direct observed-variance decomposition.","Title or abstract candidate; Results section 2; Discussion opening"
"NH-C002","headline","Immediate light-source and activity contexts were among the most consistent correlates of hourly near-eye light exposure.","notebooks/hypotheses/H03.qmd; notebooks/hypotheses/H04.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093; 3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837","Primary category results, omnibus tests, site interactions, and descriptive allocation","Observational category associations do not identify causal effects or intervention efficacy. Light-source and activity categories overlap conceptually and are analysed separately.","Abstract; Results section 4; Discussion"
"NH-C003","headline","Geography and civil photoperiod shaped several dimensions of exposure, but did not produce a single north-to-south ranking or fully explain site differences.","notebooks/hypotheses/H01.qmd; notebooks/hypotheses/H07.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9; c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","H01 model-support, site, latitude, photoperiod, adequacy and influence sections; H07 nonlinear photoperiod sections","Site, latitude, collection period, and photoperiod are linked. Weather, temperature, season, culture, and routines are incompletely represented. Some findings are model- or site-sensitive.","Abstract; Results section 3; Discussion"
"NH-C004","headline","Person-level characteristics showed selective rather than universal associations with exposure, with informative null findings for two general self-report scales and more specific timing or age patterns.","notebooks/hypotheses/H05.qmd; notebooks/hypotheses/H08.qmd; notebooks/hypotheses/H09.qmd; notebooks/hypotheses/H10.qmd; notebooks/hypotheses/H11.qmd","b4167419ce0f22b635d41c98d3d7edda2717fc73e6c963371f79035a334d793c; 1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1; c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6; 3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f; 7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867","Primary effects, multiplicity families, whole-curve tests, and interaction sections","A non-supported adjusted test is not evidence of no association. Biological sex is distinct from gender. Chest findings are complementary.","Results section 5; Discussion"
"NH-C005","supporting","The normalized study roster included 191 participants, while the primary near-eye analytical sample comprised 141 participants and 816 retained participant-days.","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c","Study sample, fixed coverage, and placement sections","Do not substitute roster totals for model-specific samples. Each result must report its own support.","Results section 1; Methods"
"NH-C006","complementary","Chest-level data were available for 154 participants and 902 retained participant-days, and the paired placement sample contained 112 participants and 643 participant-days.","notebooks/descriptives.qmd; notebooks/placement_decision.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c; b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498","Placement coverage and decision sections","Chest is a separate complementary measure and not ocular exposure. Paired sample sizes vary further by model and metric.","Results section 1; Methods; placement limitation"
"NH-C007","supporting","Near-eye sensing is the primary measure for ocular exposure, whereas chest sensing provides separate complementary evidence.","audit/decisions/placement_decision.md; notebooks/placement_decision.qmd","86ea999e67b094361a955feaf101efc7c8331bb060f9dd61e24246bd5fd709eb; b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498","PLACEMENT-001 to PLACEMENT-008","Do not pool positions, infer equivalence, or derive a universal chest-to-near-eye correction.","Introduction; Methods; Results role statements; Discussion"
"NH-C008","limitation","Values recorded during sleep characterize the bedside sleep environment rather than light at the eye.","audit/decisions/placement_decision.md; notebooks/placement_decision.qmd; notebooks/preparation/01_import_state_alignment.qmd","86ea999e67b094361a955feaf101efc7c8331bb060f9dd61e24246bd5fd709eb; b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498; 93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872","Sleep and placement interpretation sections","Use sleep-environment language for every sleep-period value and metric.","Methods; Results notes; Discussion"
"NH-C009","supporting","Recommendation comparisons describe the fraction of valid measured minutes within contextual ranges, not adherence, compliance, or biological response.","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c","Recommendation-context section and table","Denominators and the hybrid wake or bedside-sleep construction must be explicit.","Results section 1 or Supplementary Information"
"NH-C010","supporting","The participant-to-site fitted-curve dispersion ratio was 1.797 with a 95% interval of 1.157 to 4.332 in the primary near-eye analysis.","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20","Primary near-eye variation table","This compares model-derived curve dispersion, not raw variance or causal contribution.","Results section 2; provisional display"
