"check_id","status","evidence_level","artifact_or_source","expected","observed","interpretation"
"historical_showcase_manifest","PASS","exact_static_identity","artifacts/12_manifests/prepared_day_showcase_artifacts.csv","c5ca66b2a6ec4fabbe57d08135db7f365bcd123365caab6c987bcb2b62f7a322","c5ca66b2a6ec4fabbe57d08135db7f365bcd123365caab6c987bcb2b62f7a322","The frozen-output manifest is unchanged and truthful."
"historical_solar_rds_pin","PASS","exact_static_identity","prepared_day_showcase_artifacts.csv::solar_context_input_sha256","b0e8de539572ee595cc91027e7a2d919ba01237f780e50a76e5e4468d497c4bf","b0e8de539572ee595cc91027e7a2d919ba01237f780e50a76e5e4468d497c4bf","The exact historical producer input remains recorded."
"current_solar_rds_pin","PASS","exact_static_identity","artifacts/06_model_data/context/site_solar_context.rds","39ffe488de86f5d7cdc56d65c582c9de31f9054f8565936b4ec74e01491f26d0","39ffe488de86f5d7cdc56d65c582c9de31f9054f8565936b4ec74e01491f26d0","The accepted current provenance-only repin is identified separately."
"context_csv_historical_current","PASS","exact_static_identity","artifacts/06_model_data/context/site_solar_context.csv","7dc64cc5026947ef96d6e4ab112bb767414420be97817f022082248db68d7028","7dc64cc5026947ef96d6e4ab112bb767414420be97817f022082248db68d7028","Historical and current tabular context files are byte-identical."
"independent_verifier_total","EXPECTED_PROVENANCE_FAIL_ONLY","direct_reproduction","scripts/pipeline/verify_prepared_day_showcase_artifacts.R","17 PASS and manifest::input_hashes FAIL","17 PASS and manifest::input_hashes FAIL","Only exact current-versus-historical input identity fails."
"fixed_seed_selection","PASS","direct_reproduction","selection::fixed_seed_reproduction","9 of 9 selected site-days reproduced","9 of 9 selected site-days reproduced","Solar context does not determine the fixed-seed participant-day selection."
"minute_grid","PASS","direct_reproduction","source_data::complete_minute_grid","12960 rows; 1440 minutes per day","12960 rows; 1440 minutes per day","The frozen display retains complete local-clock grids for all selected days."
"prepared_minute_parity","PASS","direct_reproduction","source_data::prepared_minute_parity","all minute-level fields equal","all minute-level fields equal","melEDI, timestamps, states, measurement context, and non-wear reproduce."
"solar_context_parity","PASS","direct_reproduction","source_data::solar_context_parity","all selected-day context fields equal","all selected-day context fields equal","Current civil dawn, civil dusk, photoperiod, and depression values match."
"full_context_frame","PASS","direct_reproduction","pre-METRIC-011 snapshot versus current site_solar_context.rds","618 rows; 47 columns; zero changed cells","618 rows; 47 columns; zero changed cells","All scientific site/daylight values are exactly preserved."
"stripped_context_digest","PASS","direct_reproduction","digest 0.6.39 serialized SHA-256 after removing frame provenance attributes","ce80f9418fbfe7e6a4dc774478305be41f880d666f366a491b4184d2ef2e9eaa","ce80f9418fbfe7e6a4dc774478305be41f880d666f366a491b4184d2ef2e9eaa","Old and current scientific frames have the same canonical audit digest."
"context_settings","PASS","direct_reproduction","site_solar_settings and site_metadata_sha256","identical","identical","Definitions, site metadata, and settings are unchanged."
"provenance_attribute_change","PASS","direct_reproduction","site_solar_context.rds::input_sha256","six primary metric input identities repinned; scientific frame unchanged","six primary metric input identities repinned; scientific frame unchanged","The RDS hash change is explained by provenance attributes."
"selected_day_context_strings","PASS","direct_reproduction","prepared_day_showcase.csv versus site_solar_context.csv","9 keys and 4 fields exactly equal as stored strings","9 keys and 4 fields exactly equal as stored strings","The exact values used by the frozen display match the accepted current context."
"chg100_context_preservation","PASS","exact_static_inconsistency_resolution","audit/ledgers/change_log.csv::CHG-100","618 by 47 context values unchanged","618 by 47 context values unchanged","Primary METRIC-010 repinning preserved the complete context."
"chg101_context_preservation","PASS","exact_static_inconsistency_resolution","audit/ledgers/change_log.csv::CHG-101","618 by 47 context values unchanged","618 by 47 context values unchanged","Gap METRIC-010 repair preserved the complete context."
"metric011_finalizer_guard","PASS","implementation_with_necessary_consequence","audit/scripts/finalize_l10_METRIC_011.R:297-313","abort unless stripped old/current context frames are identical","guard passed in the sealed METRIC-011 finalization","The final provenance repin could not complete with a scientific context change."
