placement,architecture,activity,standardized_mean_lx,mean_conf_low_lx,mean_conf_high_lx,ratio_to_home,ratio_conf_low,ratio_conf_high,ratio_statistic,ratio_denominator_df,ratio_p_raw,ratio_status,difference_from_home_lx,difference_conf_low_lx,difference_conf_high_lx,difference_status,inferential_role,model_source,sites_standardized,estimand,unique_participant_hours,long_rows,effective_weighted_hours,participants,participant_days,sites,activity_code,display_order,ratio_p_adjusted,reader_display_order,reader_label
Near-eye,five_named,At home,76.35806700009805,61.99273989492756,94.05221330552187,1,1,1,,125,,REFERENCE,0,0,0,REFERENCE,REFERENCE,site_heterogeneity,9,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,5105,5105,4889.166666666667,126,709,9,home,2,,1,At home
Near-eye,five_named,Working in the office/from home,198.87276185940593,173.86282619980878,227.4803434066775,2.604476117227412,2.120913214846505,3.198290150546729,9.224052225134972,125,8.941853068955652e-16,ESTIMABLE,122.51469485930788,96.54710547238429,148.48228424623147,ESTIMABLE,NAMED_VERSUS_HOME,site_heterogeneity,9,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,3624,3624,3498.0000000000005,124,511,9,working_indoor,4,8.941853068955652e-16,2,Office/home working
Near-eye,five_named,Outdoors,714.2213935747686,561.6677843074438,908.209823123238,9.35358137829565,6.946371724548044,12.594990315766827,14.871437739105279,125,1.9956617272122653e-29,ESTIMABLE,637.8633265746706,467.524211280579,808.2024418687622,ESTIMABLE,NAMED_VERSUS_HOME,site_heterogeneity,9,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,1422,1422,1248.6666666666667,121,480,9,outdoors,5,3.9913234544245307e-29,3,Outdoors
Near-eye,five_named,On the road with public transport/car,331.21672613667,274.40984697796745,399.78346579342,4.337678246048904,3.319606615936349,5.66797658370695,10.856534511933889,125,9.499333279473695e-20,ESTIMABLE,254.85865913657193,191.98894533098442,317.72837294215947,ESTIMABLE,NAMED_VERSUS_HOME,site_heterogeneity,9,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,818,818,679.4999999999998,111,369,9,road_vehicle,3,1.2665777705964925e-19,4,Vehicle/public transport
Near-eye,five_named,Sleeping,4.2807411444555425,3.0575728039363943,5.993232515099172,0.056061413189650876,0.04117298612048084,0.0763335950330157,-18.47458570596067,125,1.5269415929113276e-37,ESTIMABLE,-72.0773258556425,-87.41583418962068,-56.73881752166431,ESTIMABLE,NAMED_VERSUS_HOME,site_heterogeneity,9,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,5906,5906,5819.666666666668,126,714,9,sleeping,1,6.10776637164531e-37,5,Sleeping
Near-eye,additive_display_only,Other/unspecified activity,221.83143666878806,97.17895082675194,506.37700732401777,2.9699999864180078,1.228264319323886,7.181597462815288,,,,DISPLAY_ONLY,147.14071691012248,-38.99819755578346,333.2796313760284,DISPLAY_ONLY,DISPLAY_ONLY,additive_display_only,9,equal-site standardized display-only category mean from the additive primary model; Other is excluded from heterogeneity,391,391,391,72,159,9,other,6,,6,Other/unspecified
Chest,five_named,At home,78.03660872482348,64.30616557955915,94.69873139515752,1,1,1,,149,,REFERENCE,0,0,0,REFERENCE,REFERENCE,site_heterogeneity,8,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,6170,6170,5887.000000000001,150,859,8,home,2,,1,At home
Chest,five_named,Working in the office/from home,202.8654083818328,178.73247935235943,230.25682890458106,2.5996184572446857,2.0927791341249096,3.2292065670241334,8.704743666966154,149,5.53032338342953e-15,ESTIMABLE,124.82879965700931,96.79356979072062,152.864029523298,ESTIMABLE,NAMED_VERSUS_HOME,site_heterogeneity,8,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,4403,4403,4242.833333333333,148,609,8,working_indoor,4,5.53032338342953e-15,2,Office/home working
Chest,five_named,Outdoors,998.8541086836617,802.2887861370024,1243.5790549163416,12.799814407695113,9.586776485859193,17.089711970765322,17.42874522464903,149,8.709862642479844e-38,ESTIMABLE,920.8174999588382,701.7505060314184,1139.884493886258,ESTIMABLE,NAMED_VERSUS_HOME,site_heterogeneity,8,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,1656,1656,1435.5000000000002,143,553,8,outdoors,5,3.4839450569919377e-37,3,Outdoors
Chest,five_named,On the road with public transport/car,512.912480127602,407.7189564646255,645.2464573926991,6.572716171409486,5.058336016926903,8.540476102288176,14.207089773168796,149,1.6756762818772316e-29,ESTIMABLE,434.87587140277844,319.8744415269107,549.8773012786462,ESTIMABLE,NAMED_VERSUS_HOME,site_heterogeneity,8,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,1056,1056,891.9999999999998,135,460,8,road_vehicle,3,2.2342350425029752e-29,4,Vehicle/public transport
Chest,five_named,Sleeping,4.660380734970781,3.250485416035062,6.681816964242772,0.05972044161227513,0.04152556473238099,0.08588760127286212,-15.324985341795916,149,2.001710686710698e-32,ESTIMABLE,-73.3762279898527,-88.143537698180907,-58.60891828152448,ESTIMABLE,NAMED_VERSUS_HOME,site_heterogeneity,8,equal-site standardized category mean from the accepted site-by-activity heterogeneity model,7155,7155,7039.666666666668,150,868,8,sleeping,1,4.003421373421396e-32,5,Sleeping
Chest,additive_display_only,Other/unspecified activity,315.68684081723285,173.40756536985361,574.7049227789355,3.6051637671719456,1.8897972928405087,6.877566095246982,,,,DISPLAY_ONLY,228.12165343467132,37.061080550027896,419.18222631931474,DISPLAY_ONLY,DISPLAY_ONLY,additive_display_only,8,equal-site standardized display-only category mean from the additive primary model; Other is excluded from heterogeneity,631,631,631,94,232,8,other,6,,6,Other/unspecified
