run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,comparison_id,statistic,df,p_raw,log_lik_reduced,log_lik_full,n_obs_reduced,n_obs_full,comparison_status,scope_change,family_id,family_n,family_instance_id,p_adjusted,family_status
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,site_full_vs_no_site,22.798061816804193,8,0.0036334204627640953,-84.77114914819934,-73.37211823979725,141,141,PASS,photoperiod_omitted_for_non_duration_metric,H01-S1-registered-site,17,main__glasses__all_available::H01-S1-registered-site,0.006176814786698962,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,latitude_full_vs_no_latitude,0.7830625540593417,1,0.3762061354042984,-84.77114914819934,-84.37961787116967,141,141,PASS,photoperiod_omitted_for_non_duration_metric,H01-S2-registered-latitude,17,main__glasses__all_available::H01-S2-registered-latitude,0.5329586918227561,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,site_full_vs_latitude_full,22.01499926274485,7,0.002525332341523857,-84.37961787116967,-73.37211823979725,141,141,PASS,photoperiod_omitted_for_non_duration_metric,H01-S3-registered-adequacy,17,main__glasses__all_available::H01-S3-registered-adequacy,0.007155108300984261,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,site_full_vs_no_site,7.544130076745944,8,0.47921668868937456,-66.40302938823496,-62.63096434986198,141,141,PASS,photoperiod_omitted_for_non_duration_metric,H01-S1-registered-site,17,main__glasses__all_available::H01-S1-registered-site,0.47921668868937456,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,latitude_full_vs_no_latitude,3.9652211256749013,1,0.04644942083257794,-66.40302938823496,-64.4204188253975,141,141,PASS,photoperiod_omitted_for_non_duration_metric,H01-S2-registered-latitude,17,main__glasses__all_available::H01-S2-registered-latitude,0.08773779490598056,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,site_full_vs_latitude_full,3.5789089510710426,7,0.8267982410649322,-64.4204188253975,-62.63096434986198,141,141,PASS,photoperiod_omitted_for_non_duration_metric,H01-S3-registered-adequacy,17,main__glasses__all_available::H01-S3-registered-adequacy,0.8267982410649322,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_site,48.146163248472135,8,9.263770147589269e-8,-305.92372259477906,-281.850640970543,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S1-registered-site,17,main__glasses__all_available::H01-S1-registered-site,3.9371023127254396e-7,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,latitude_full_vs_no_latitude,26.698563902061778,1,2.3779818943986e-7,-305.92372259477906,-292.5744406437482,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S2-registered-latitude,17,main__glasses__all_available::H01-S2-registered-latitude,1.0967533821170023e-6,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full_vs_latitude_full,21.447599346410357,7,0.003161194099009181,-292.5744406437482,-281.850640970543,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S3-registered-adequacy,17,main__glasses__all_available::H01-S3-registered-adequacy,0.007656537377585831,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_site,36.18927962065936,8,1.6213002594530085e-5,-714.4039773569878,-696.3093375466581,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S1-registered-site,17,main__glasses__all_available::H01-S1-registered-site,5.512420882140229e-5,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,latitude_full_vs_no_latitude,26.540582633135273,1,2.580596193216476e-7,-714.4039773569878,-701.1336860404201,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S2-registered-latitude,17,main__glasses__all_available::H01-S2-registered-latitude,1.0967533821170023e-6,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full_vs_latitude_full,9.64869698752409,7,0.20937075298159671,-701.1336860404201,-696.3093375466581,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S3-registered-adequacy,17,main__glasses__all_available::H01-S3-registered-adequacy,0.23728685337914293,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_site,48.98054298968562,8,6.412614636458454e-8,-54.01475796906633,-29.524486474223522,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S1-registered-site,17,main__glasses__all_available::H01-S1-registered-site,3.633814960659791e-7,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,latitude_full_vs_no_latitude,6.284105872926247,1,0.012182552490465017,-54.01475796906633,-50.87270503260321,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S2-registered-latitude,17,main__glasses__all_available::H01-S2-registered-latitude,0.02958619890541504,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full_vs_latitude_full,42.69643711675937,7,3.8174079137527714e-7,-50.87270503260321,-29.524486474223522,816,816,PASS,photoperiod_omitted_for_non_duration_metric,H01-S3-registered-adequacy,17,main__glasses__all_available::H01-S3-registered-adequacy,6.489593453379712e-6,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,site_full_vs_no_site,15.506089028828683,8,0.05002040989049564,-1109.4341221964844,-1101.68107768207,816,816,PASS,none_duration_metric,H01-S1-registered-site,17,main__glasses__all_available::H01-S1-registered-site,0.0607390691527447,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,site_full_vs_no_photoperiod,27.405566422468382,1,1.6495573790350584e-7,-1115.3838608933042,-1101.68107768207,816,816,PASS,none_duration_metric,H01-S4-registered-photoperiod,5,main__glasses__all_available::H01-S4-registered-photoperiod,8.247786895175292e-7,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,latitude_full_vs_no_latitude,0.3708515063372033,1,0.5425404897294439,-1109.4341221964844,-1109.2486964433158,816,816,PASS,none_duration_metric,H01-S2-registered-latitude,17,main__glasses__all_available::H01-S2-registered-latitude,0.7094760250308113,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,site_full_vs_latitude_full,15.13523752249148,7,0.034304407421028485,-1109.2486964433158,-1101.68107768207,816,816,PASS,none_duration_metric,H01-S3-registered-adequacy,17,main__glasses__all_available::H01-S3-registered-adequacy,0.04485960970442186,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,7,duration_above_250_wake,participant_day,tweedie_log,identity,site_full_vs_no_site,23.25388511896972,8,0.0030531303432014953,-1511.039314806907,-1499.4123722474221,737,737,PASS,none_duration_metric,H01-S1-registered-site,17,main__glasses__all_available::H01-S1-registered-site,0.005767023981602824,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,7,duration_above_250_wake,participant_day,tweedie_log,identity,site_full_vs_no_photoperiod,17.72877478870805,1,2.5474390924110974e-5,-1508.2767596417762,-1499.4123722474221,737,737,PASS,none_duration_metric,H01-S4-registered-photoperiod,5,main__glasses__all_available::H01-S4-registered-photoperiod,4.2457318206851626e-5,COMPLETE
main__glasses__all_available,main,glasses,all_available,primary,7,duration_above_250_wake,participant_day,tweedie_log,identity,latitude_full_vs_no_latitude,7.958132130468584,1,0.004787179245652273,-1511.039314806907,-1507.0602487416727,737,737,PASS,none_duration_metric,H01-S2-registered-latitude,17,main__glasses__all_available::H01-S2-registered-latitude,0.013563674529348107,COMPLETE
