run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,model_name,estimation_stage,formula,engine,estimation_method,family,link,observations,log_likelihood,aic,converged,positive_definite_hessian,singular,max_gradient,warnings,error,status,sensitivity_id
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_full,comparison,response_value ~ site + photoperiod_centered_hours + (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1766.3072537441108,3554.6145074882215,TRUE,TRUE,FALSE,1.8053469830192626e-6,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,no_site,comparison,response_value ~ photoperiod_centered_hours + (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1787.9228253396914,3583.8456506793827,TRUE,TRUE,FALSE,4.167759470874444e-6,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,no_photoperiod,comparison,response_value ~ site + (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1769.715237883315,3559.43047576663,TRUE,TRUE,FALSE,5.552465154323727e-6,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,latitude_full,comparison,response_value ~ absolute_latitude_10deg_centered + photoperiod_centered_hours +      (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1779.0180930207555,3568.036186041511,TRUE,TRUE,FALSE,8.840288501232862e-6,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,random_site,comparison,response_value ~ photoperiod_centered_hours + (1 | site) + (1 |      participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1777.650615749825,3565.30123149965,TRUE,TRUE,FALSE,1.2174268704256974e-4,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_full,final,response_value ~ site + photoperiod_centered_hours + (1 | participant_key),lmer,restricted_maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1774.7209792407803,3571.4419584815605,TRUE,TRUE,FALSE,7.60337570682168e-6,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,no_site,final,response_value ~ photoperiod_centered_hours + (1 | participant_key),lmer,restricted_maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1791.7588653528219,3591.5177307056438,TRUE,TRUE,FALSE,1.1575593816814944e-5,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,no_photoperiod,final,response_value ~ site + (1 | participant_key),lmer,restricted_maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1775.8489641151432,3571.6979282302864,TRUE,TRUE,FALSE,3.112745616817847e-6,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,latitude_full,final,response_value ~ absolute_latitude_10deg_centered + photoperiod_centered_hours +      (1 | participant_key),lmer,restricted_maximum_likelihood,Gaussian,identity_after_declared_transformation,897,-1785.0710862594096,3580.1421725188193,TRUE,TRUE,FALSE,2.175966073991731e-6,,,FITTED,l10_midpoint_noon_conversion
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_full,comparison,response_value ~ site + photoperiod_centered_hours + (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,640,-1276.1320835698104,2574.264167139621,TRUE,TRUE,FALSE,5.002220859751105e-7,,,FITTED,l10_midpoint_noon_conversion
