run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,term,term_label,estimate_model,std_error,conf_low_model,conf_high_model,p_raw,effect_type,estimate_practical,conf_low_practical,conf_high_practical,interval_method,status,sensitivity_id
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,photoperiod_centered_hours,Photoperiod per hour,-0.1255509413736236,0.049028279301178465,-0.22164460302790395,-0.02945727971934324,0.010443560200666956,difference,-0.1255509413736236,-0.22164460302790395,-0.02945727971934324,wald_normal,PASS,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.21060879032157948,0.048918568398741175,0.11473015808478758,0.30648742255837136,1.6676455320214208e-5,difference,0.21060879032157948,0.11473015808478758,0.30648742255837136,wald_normal,PASS,l10_midpoint_noon_conversion
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,photoperiod_centered_hours,Photoperiod per hour,-0.12544208148705338,0.05322549112260369,-0.22976212714681293,-0.021122035827293814,0.018432944113537464,difference,-0.12544208148705338,-0.22976212714681293,-0.021122035827293814,wald_normal,PASS,l10_midpoint_noon_conversion
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.22542363931535353,0.06904944913679627,0.09008920585490257,0.3607580727758045,0.001095918207491503,difference,0.22542363931535353,0.09008920585490257,0.3607580727758045,wald_normal,PASS,l10_midpoint_noon_conversion
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,all_available,alternative_preprocessing_sensitivity,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,photoperiod_centered_hours,Photoperiod per hour,-0.14384971990695133,0.05355303272908639,-0.24881173531885536,-0.03888770449504729,0.007228773739236614,difference,-0.14384971990695133,-0.24881173531885536,-0.03888770449504729,wald_normal,PASS,l10_midpoint_noon_conversion
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,all_available,alternative_preprocessing_sensitivity,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.1926840157689307,0.0686799136142672,0.05807385862364492,0.3272941729142165,0.005023286611686583,difference,0.1926840157689307,0.05807385862364492,0.3272941729142165,wald_normal,PASS,l10_midpoint_noon_conversion
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,photoperiod_centered_hours,Photoperiod per hour,-0.1322658921476262,0.058137802079870224,-0.24621389036448965,-0.01831789393076276,0.02290346137777541,difference,-0.1322658921476262,-0.24621389036448965,-0.01831789393076276,wald_normal,PASS,l10_midpoint_noon_conversion
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.19153827291687062,0.0738514079767088,0.046792173074947346,0.33628437275879386,0.009498715833942071,difference,0.19153827291687062,0.046792173074947346,0.33628437275879386,wald_normal,PASS,l10_midpoint_noon_conversion
main__chest__all_available,main,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,photoperiod_centered_hours,Photoperiod per hour,-0.09686485655577398,0.04640624170432985,-0.18781941895412113,-0.005910294157426846,0.036858867458820804,difference,-0.09686485655577398,-0.18781941895412113,-0.005910294157426846,wald_normal,PASS,l10_midpoint_noon_conversion
main__chest__all_available,main,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.2091815308484844,0.046782609467678045,0.1174893011890329,0.3008737605079359,7.772651402902526e-6,difference,0.2091815308484844,0.1174893011890329,0.3008737605079359,wald_normal,PASS,l10_midpoint_noon_conversion
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,photoperiod_centered_hours,Photoperiod per hour,-0.09037085182538811,0.05034136768468337,-0.189038119419856,0.008296415769079787,0.07262807790170282,difference,-0.09037085182538811,-0.189038119419856,0.008296415769079787,wald_normal,PASS,l10_midpoint_noon_conversion
